reaction,gpr
2S6HCCi,BSU30820
26DPAi,BSU16730 and BSU16740
3AMBAt2,BSU06310
FDH,(BSU36710 and BSU12160) or (BSU36710 and BSU27220) or (BSU36710 and BSU18570)
FDMO_1,BSU08860
AAMYL_1,BSU03040
ABTA,BSU03900
FBA,BSU39670 or BSU37120
FBA2,BSU37120 or BSU39670
FBP,BSU40190
FCLT_2,BSU10130
FDMO1,BSU08860
FDMO2_1,BSU08860
FDMO3_1,BSU08860
AB6PGH,BSU38560 or BSU40110
ABUTD,BSU19310 or BSU38830 or BSU39860
MACCOAT,BSU32830
ACACT2r,BSU32830
ACACT3r,BSU32830
ACACT4r,BSU32830
ACACT5r_1,BSU32830
ACACT6r_1,BSU32830
ACACT7r,BSU32830
FDMO4_1,BSU08860
FDMO5_1,BSU08860
FDMO6_1,BSU08860
ACACT1r,BSU24170
ACCOAC,(BSU29200 and BSU29210) and BSU24350 and BSU24340 and BSU22440
ACGApts,BSU07700 and BSU13900 and BSU13910
ACGK,BSU11210
FE2abc,BSU01630 and BSU01620 and BSU01610
ACGS,BSU11200
FOLD3,BSU00770
ACKr,BSU29470
ACLDC,BSU36000
ACODA_1,BSU15350
ACOAD20,BSU18260 or BSU32820 or BSU04520
ACONT,BSU18000
ACOAD2,BSU37170 or BSU24150
ACOAD1,BSU32820 or BSU24150 or BSU37170 or BSU18260 or BSU04520
ACOADH2,BSU04520 or BSU18260 or BSU32820
ACOTA,BSU11220
ACPS1,BSU04620
APATi,BSU14180
APRAUR,BSU23280
APSR,BSU15570
ACPpds,BSU19230
ACS,BSU29680
ALKP,BSU09410 or BSU05740
APTA1i,BSU14000
ALCD19_L,BSU09530 or BSU39780
ACS2,BSU29680
ACTD2,(BSU29690 and BSU29700 and BSU29710) or (BSU08060 and BSU08070 and BSU08080 and BSU08090)
ACTNabc,BSU30450 and BSU30440 and BSU30430 and BSU30420 and BSU30410
ACTNabc1,BSU30450 and BSU30440 and BSU30430 and BSU30420 and BSU30410
ALCD2y,BSU26970 or BSU27010
ADADir,BSU00140
ADNK1,BSU00140
ADCL,BSU00760
ADD,BSU14520
ALLTN,BSU32410
ALTRH,BSU12390
ARABRr,BSU29050 or BSU33400
ARAI,BSU28800
ARBTpts,BSU39270 and BSU13900 and BSU13910
ADCS,BSU00740 and BSU00750
ADK1,BSU01370
AMAA,BSU25900 and BSU17410 and BSU01530 and BSU25710 and BSU35620
ADK2,BSU01370
AMAOTr,BSU30230
AMMQT7,BSU22750
ANPRT,BSU22670
ADMDC,BSU29010
ADNt2,BSU38710
ADPDA,BSU14190
ADPRDP,BSU23610
ANS,BSU00750 and BSU22680
ANTIMt1,BSU25790
AOXSr,BSU30220
ARBabc,BSU28750 and BSU28740 and BSU28730
ARBt2r,BSU33960
ARGDC,BSU14630
ADPT,BSU27610
ADSK,BSU15600
ADSL2r,BSU06440
ADSL1r,BSU06440
ADSS,BSU40420
AGDC,BSU35010
ARGN_1,BSU40320
ARGSL,BSU29440
ARGSS,BSU29450
AGMT,BSU37490
AGPATr_BS,BSU09540
AGPR,BSU11190
AHCYSNS,BSU27270
AHMMPS_1,BSU08790
AHSERL3,BSU00730
AHSERL4,BSU00730
AICART,BSU06520
AKGDH,BSU19370 and BSU19360 and BSU14610
AIRC1,BSU06420 and BSU06430
ALAALAr,BSU04560
AKGt2r,BSU07570 or BSU18540
AKP1,BSU09410 or BSU05740
ALAD_L,BSU31930
ALAR,BSU04640
ALATA_L,BSU31400
DALAt2r,BSU27810 or BSU02420 or BSU18120
ARSNAt1,BSU25790
ALAt2r,BSU27810 or BSU02420 or BSU18120
ALCD19y,BSU09530 or BSU39780
ARSt1,BSU36030 or BSU05340 or BSU25790
ARGabc,BSU23980 and BSU23970 and BSU23960
ARGt2r,BSU33330 or BSU40330 or BSU37760
ARSENBabc,(BSU33830 and BSU33820 and BSU33810 and BSU33800) or (BSU02980 and BSU02990 and BSU03000)
ARSENBt2,BSU30070
ASAD,BSU16750
ASNN,BSU23580
ASNS1,BSU30540 or BSU10790 or BSU39920
ASP1DC,BSU22410
ASPCT,BSU15490
ASPK,BSU16760 or BSU28470 or BSU03790
ASPO6,BSU27870
ASPO1,BSU27870
ASPT,BSU23570
ASPTA,BSU22370
ATPPRT,BSU34920
DADK,BSU01370
DADNt2,BSU38710
ATPS4r,BSU36880 and BSU36870 and BSU36860 and BSU36850 and BSU36840 and BSU36830 and BSU36820 and BSU36810 and BSU36800
BETALDHx,BSU31060
BG_CELLB,BSU39260
CYSS_2,BSU00730
DHPPDA,BSU23280
BG_MADG,BSU39260
BG_MBDG,BSU39260
BILEt4,BSU19350
DDPA,BSU29750
CRNabc,BSU33830 and BSU33820 and BSU33810 and BSU33800
BTDD_RR,BSU06240
BLACT,BSU18800 or BSU02090
CTPS1,BSU37150
BTS_1,BSU30200
CPPPGO,BSU25500 or BSU09840
CRO4t3,BSU36120 or BSU36130
CS,BSU09440 or BSU29140
CTPS2,BSU37150
CYOR3m,BSU22560 and BSU22550 and BSU22540
BUTKr,BSU24070
BUTSabc,BSU08840 and BSU08830 and BSU08850
CA2abc1,BSU15650
CAT,BSU08820 or BSU39050 or BSU38630
CAt4,BSU07920
CYOO3,BSU14890 and BSU14900 and BSU14910 and BSU14920
CYSTGL,BSU27250
CYSTL,BSU11880
CYSTS,BSU27260
DCYTD,BSU25300
CYTB_B2,(BSU30710 and BSU30720) or (BSU38760 and BSU38750)
CYTB_B3,BSU38170 and BSU38160 and BSU38150 and BSU38140
CBL2abc,BSU33160 and BSU33170 and BSU33180
CD2t4,BSU26650
CBPS,(BSU11230 and BSU11240) or (BSU15510 and BSU15520)
CYTD,BSU25300
CYTDK1,BSU27330
CD2abc1,BSU13850 or BSU33490
CDGPT_BS,BSU16920
CDPDSP_BS,BSU02270
CDPMEK,BSU00460
CHCOAL,BSU30240
CYTDK2,BSU27330
DCYTt2,BSU39410 or BSU39020 or BSU32180
CHOLD2,BSU31050
CHORM,BSU22690 or BSU27910 or BSU29750
CHORS,BSU22710
CYTK1,BSU22890
CYTK2,BSU22890
CYTOM,BSU20250
CITt10,BSU07610
CITt11,BSU07610
CITt12,BSU07610
D4DGCD,BSU02460
Cut1,BSU33500 or BSU03950
DAAOP,BSU12920
