	fluxes
EX_ac_e	1.6981766512061967
EX_fe3_e	-0.00015191959888937186
EX_glc__D_e	-0.6166436773785112
EX_glu__L_e	-1.0
EX_ca2_e	-0.00014113110563490925
EX_cit_e	0.0
EX_so4_e	-0.007499808233171672
EX_co2_e	3.714725202075701
EX_succ_e	0.01001875227228279
EX_glyclt_e	1.616072254851961e-05
EX_trp__L_e	-0.0023926676305080904
EX_h2o_e	2.4107849889884228
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	1.1713221247637796e-05
FDH	0.0003482261414667893
EX_k_e	-0.031102213255289862
FBA	0.5741662970090597
ACACT2r	0.0012319138256605808
ACACT3r	0.0012319138256605808
ACACT4r	0.0012319138256605808
ACACT5r_1	0.0012319138256605808
ACACT6r_1	0.0012319138256605808
ACACT7r	0.0009476260197389034
ACACT1r	0.0012319138256605805
ACCOAC	0.04482271073365105
ACGK	0.008499615332529114
FOLD3	1.616072254851961e-05
ACt2r	-1.6981766512061964
ACKr	-1.6793690048636924
ACLDC	0.0007544019038182442
ACOAD2	0.0012319138256605805
ACOAD1	0.0012319138256605805
ACOADH2	-1.2924697071141057e-26
ACOTA	-0.008499615332529116
APATi	0.018807646342504238
APSR	0.007499808233171671
APTA1i	0.018807646342504238
ACTD2	0.0007544019038182441
ADNK1	0.0
ADCL	1.616072254851961e-05
ADCS	1.616072254851961e-05
ADK1	0.06660282915840049
EX_mg2_e	-0.004478942052589442
AMMQT7	1.1713221247637796e-05
ADPDA	0.01880764634250424
ADSL2r	0.008020914474682912
ADSL1r	0.008048392106482033
ADSS	0.008048392106482033
ARGSL	0.008499615332529117
ARGSS	0.008499615332529116
AGPATr_BS	0.004738130098694613
AGPR	-0.008499615332529116
AICART	0.011620264067036062
AKGDH	0.9569857930131276
AIRC1	0.00802091447468291
ATPM	9.0
BIOMASS_BS_10	0.04403466634474547
EX_nh4_e	0.652047930309144
ALAALAr	0.004483477623222949
AKP1	1.616072254851961e-05
ALAR	0.015519974118539196
ALATA_L	-0.0317563922585074
CO2t	-3.714725202075701
ALCD19y	0.0
EX_o2_e	-3.1183700568688533
ASAD	-0.048720395190489846
ASNS1	0.006516558168359848
ASPCT	0.005371128427400323
ASPK	0.048720395190489846
ASPO6	0.000762416213093362
ASPTA	-0.0924571670173886
ATPPRT	0.0035993495923531496
DADK	0.0
ATPS4r	10.587797083055303
EX_pi_e	-0.0675837894205659
DDPA	0.012655386968814408
CTPS1	0.00252358269355108
CYOR3m	6.230606569097212
CAT	0.003066772320246842
CAt4	-0.00014113110563490925
CYOO3	6.230606569097213
CYSTGL	0.0025095356349870445
CYSTS	0.002509535634987045
CBPS	0.01387074375992944
CYTDK1	1.1713221247637798e-05
CDGPT_BS	0.0009159210599707057
CDPDSP_BS	0.0024659413153057456
CDPMEK	8.199254873346459e-05
CHORM	0.012627513025018246
CHORS	0.012655386968814407
CYTK1	0.023727463474536758
CYTOM	-1.1713221247637798e-05
CITt10	0.0
CLPNS2_BS	2.201733317237274e-05
DAPDC	0.014324168719281286
DAPE	0.018807646342504244
FRTT	1.1713221247637798e-05
DGK1	0.0007661151250658816
DGNSK	0.0007661151250658816
DHAD1	0.03188968519353295
G3POA_BS	0.0047381300986946125
DHAD2	0.016718069320447032
DHDPRy	0.018807646342504238
DHDPS	0.018807646342504238
G5SADs	0.0070738168709526044
DHFR	0.0010362237684244837
DHFS	1.616072254851961e-05
DHNAOT7	1.17132212476378e-05
GGTT	1.1713221247637798e-05
GCALDD	1.6160722548519607e-05
GAPD	1.1081485831065567
DHNPA_1	1.6160722548519607e-05
DHORTS	-0.005371128427400322
DHORDi	0.005371128427400322
GK1	0.0027836073983167394
FE3t	0.00015191959888937186
DHQTi	0.012655386968814407
GLYt2r	0.0
DHQS	0.012655386968814407
H2Ot	-2.410784988988423
HCO3E	0.05869345449358049
FTHFD	0.0003320654189182697
FUM	0.9715359626545391
G1PACT	0.014398190993406806
GRTT	1.1713221247637798e-05
G3PCT	0.020297779451610428
G3PD1ir	0.025929813277103368
G5SD	0.007073816870952605
G6PDH2r	0.004344019834897105
GLNS	0.06947846900937693
GLUPRT	0.00802091447468291
GLU5K	0.007073816870952605
GLUDxi	0.708106042125966
GALUi	0.011079782572333134
DMATT	1.17132212476378e-05
GLUR	-0.004483477623222949
GLUt2r	1.0
GARFT	0.00802091447468291
GF6PTA	0.014398190993406806
DMPPS	1.17132212476378e-05
GHMT2r	0.02599974032724635
GLYCTO1	0.0
GLYCLTt2r	-1.616072254851961e-05
GLYK	2.2017333172372743e-05
GMPS2	0.003571871960554028
IMPC	-0.011620264067036064
DRPA	-0.000754401903818244
IPDPS	7.027932748582681e-05
DTMPK	0.0010083498246283265
GTPCI	1.6160722548519613e-05
GUAPRT	-0.0007661151250658817
HACD2	0.0012319138256605805
HACD1_1	0.0012319138256605805
HEXTT	1.1713221247637798e-05
DXPRIi	8.199254873346457e-05
HISTD	0.00359934959235315
DXPS	8.199254873346457e-05
HISTP	0.003599349592353151
ECOAH1_1	0.0012319138256605805
ECOAH2	0.0012319138256605805
Kt1	0.031102213255289862
HPPK	1.616072254851961e-05
ECOAH2c	0.0
HSDy	-0.029912748847985598
HSK	0.008204406929353942
HSST	0.021708341918631663
ECOAH3	0.0012319138256605805
HSTPTr	0.0035993495923531504
ECOAH4	0.0012319138256605805
IG3PS_1	0.00359934959235315
IGPDH_1	0.00359934959235315
IMPD	0.0035718719605540277
ILETA	-0.011885176619778526
ECOAH5_1	0.0012319138256605805
ECOAH6	0.0012319138256605805
LIPO1S24_BS	3.0824266441321834e-07
IPMD	0.017814180235100438
ECOAH7	0.0009476260197389034
IPPS	0.017814180235100438
LIPO2S24_BS	2.6420799806847287e-07
LIPO4S24_BS	6.605199951711822e-07
IPPMIa	-0.017814180235100435
IPPMIb	-0.01781418023510043
KARA1	-0.031889685193532954
KARA2	0.016718069320447036
LYSLG_BS	9.687626595844004e-05
KAS1	9.476260197389227e-05
ENO	1.067652498514621
MECDPS	8.199254873346456e-05
LEUTA	-0.015255589981805345
