	fluxes
EX_ac_e	1.7124199755297997
EX_fe3_e	-0.00015417887236346246
EX_glc__D_e	-0.6230613178562455
EX_glu__L_e	-0.9991982602673728
EX_ca2_e	-0.0001432299379492456
EX_cit_e	0.0
EX_so4_e	-0.007611341688537822
EX_co2_e	3.737778834846348
EX_succ_e	6.02113609435602e-08
EX_glyclt_e	1.640105685721053e-05
EX_trp__L_e	-0.0024282502054322024
EX_h2o_e	2.435625873645069
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	1.188741450703991e-05
FDH	0.0003534047891688286
EX_k_e	-0.03156475005703824
FBA	0.5799522348004919
FBA2	0.0
ACACT2r	0.0012502342415189062
ACACT3r	0.0012502342415189065
ACACT4r	0.0012502342415189065
ACACT5r_1	0.0012502342415189065
ACACT6r_1	0.0012502342415189065
ACACT7r	0.0009617186473222354
ACACT1r	0.0012502342415189065
ACCOAC	0.04548929201834175
ACGK	0.00862601742680229
FOLD3	1.6401056857210533e-05
ACt2r	-1.7124199755297997
ACKr	-1.6933326311312034
ACLDC	0.0007656209974870241
ACOAD2	0.0012502342415189062
ACOAD1	0.0012502342415189062
ACOADH2	-1.440419662707858e-16
ACOTA	-0.008626017426802288
APATi	0.019087344398596662
APSR	0.007611341688537821
APTA1i	0.01908734439859666
ACTD2	0.0007656209974870241
ADADir	0.0
ADNK1	0.0
ADCL	1.640105685721053e-05
ADCS	1.640105685721053e-05
ADK1	0.06759331364047096
EX_mg2_e	-0.004545550673500644
AMMQT7	1.1887414507039911e-05
ADPDA	0.019087344398596655
ADSL2r	0.008140197565513591
ADSL1r	0.008168083831123683
ADSS	0.008168083831123683
ARGSL	0.008626017426802288
ARGSS	0.008626017426802288
AGPATr_BS	0.004808593236611177
AGPR	-0.008626017426802288
AICART	0.0117930749127939
AKGDH	0.9555443671730794
AIRC1	0.008140197565513591
ATPM	9.0
BIOMASS_BS_10	0.04468952822129347
EX_nh4_e	0.6460716187170081
ALAALAr	0.004550153694907437
AKP1	1.640105685721053e-05
ALAR	0.01575077953206666
ALATA_L	-0.03222865768829377
CO2t	-3.7377788348463477
ALCD19y	0.0
EX_o2_e	-3.135307770222788
ASAD	-0.04944494091932131
ASNS1	0.0066134692128845575
ASPCT	0.0054510052047922605
ASPK	0.04944494091932132
ASPO6	0.0007737544916237073
ASPTA	-0.09383214448220793
ATPPRT	0.0036528773472803066
DADK	0.0
ATPS4r	10.643599950908664
EX_pi_e	-0.06858886226062798
DDPA	0.01284359165268703
CTPS1	0.0025611121728339255
CS	0.0
CYOR3m	6.264390780749157
CAT	0.0031123798482079836
CAt4	-0.0001432299379492456
CYOO3	6.264390780749157
CYSTGL	0.002546856213331515
CYSTS	0.002546856213331515
DCYTD	0.0
CBPS	0.014077022631594549
CYTDK1	1.188741450703991e-05
CDGPT_BS	0.000929542187002904
CDPDSP_BS	0.002502613580392434
CDPMEK	8.321190154927938e-05
CHORM	0.01281530318132278
CHORS	0.012843591652687034
CYTK1	0.024080326628650294
CYTK2	0.0
CYTOM	-1.188741450703991e-05
CLPNS2_BS	2.234476411064674e-05
DAPDC	0.014537190703689216
DAPE	0.019087344398596655
FRTT	1.1887414507039911e-05
DGK1	0.000777508411994064
DGNSK	0.000777508411994064
DHAD1	0.03236393289021934
G3POA_BS	0.004808593236611178
DHAD2	0.016966692215911617
DHDPRy	0.01908734439859666
DHDPS	0.019087344398596662
G5SADs	0.007179015192524991
DHFR	0.0010516339781036495
DHFS	1.640105685721053e-05
DHNAOT7	1.1887414507039911e-05
GGTT	1.188741450703991e-05
GCALDD	1.6401056857210527e-05
GAPD	1.119122861864528
DHNPA_1	1.640105685721053e-05
DHORTS	-0.0054510052047922605
