gene_id	gene_name
BSU30820	menD
BSU16730,BSU16740	spoVFA and spoVFB
BSU06310	gabP
(BSU36710,BSU12160),(BSU36710,BSU27220),(BSU36710,BSU18570)	(fdhD and yjgC) or (fdhD and yrhE) or (fdhD and yoaE)
BSU08860	ssuD
BSU03040	amyE
BSU03900	gabT
BSU39670,BSU37120	iolJ or fbaA
BSU37120,BSU39670	fbaA or iolJ
BSU40190	fbp
BSU10130	hemH
BSU08860	ssuD
BSU08860	ssuD
BSU08860	ssuD
BSU38560,BSU40110	licH or bglA
BSU19310,BSU38830,BSU39860	dhaS or aldY or aldX
BSU32830	fadA
BSU32830	fadA
BSU32830	fadA
BSU32830	fadA
BSU32830	fadA
BSU32830	fadA
BSU32830	fadA
BSU08860	ssuD
BSU08860	ssuD
BSU08860	ssuD
BSU24170	mmgA
(BSU29200,BSU29210),BSU24350,BSU24340,BSU22440	(accA and accD) and accB and accC and birA
BSU07700,BSU13900,BSU13910	nagP and ptsH and ptsI
BSU11210	argB
BSU01630,BSU01620,BSU01610	feuA and feuB and feuC
BSU11200	argJ
BSU00770	folP
BSU29470	ackA
BSU36000	alsD
BSU15350	thiQ
BSU18260,BSU32820,BSU04520	yngJ or fadE or ydbM
BSU18000	citB
BSU37170,BSU24150	acdA or mmgC
BSU32820,BSU24150,BSU37170,BSU18260,BSU04520	fadE or mmgC or acdA or yngJ or ydbM
BSU04520,BSU18260,BSU32820	ydbM or yngJ or fadE
BSU11220	argD
BSU04620	acpS
BSU14180	dapH
BSU23280	ribD
BSU15570	cysH
BSU19230	rtbJ
BSU29680	acsA
BSU09410,BSU05740	phoA or phoB
BSU14000	dapX
BSU09530,BSU39780	yhdN or iolS
BSU29680	acsA
(BSU29690,BSU29700,BSU29710),(BSU08060,BSU08070,BSU08080,BSU08090)	(acuA and acuB and acuC) or (acoA and acoB and acoC and acoL)
BSU30450,BSU30440,BSU30430,BSU30420,BSU30410	ytrB and ytrC and ytrD and ytrE and ytrF
BSU30450,BSU30440,BSU30430,BSU30420,BSU30410	ytrB and ytrC and ytrD and ytrE and ytrF
BSU26970,BSU27010	adhB or adhA
BSU00140	dck
BSU00140	dck
BSU00760	pabC
BSU14520	adeC
BSU32410	pucH
BSU12390	uxaA
BSU29050,BSU33400	ytbE or yvgN
BSU28800	araA
BSU39270,BSU13900,BSU13910	bglP and ptsH and ptsI
BSU00740,BSU00750	pabB and pabA
BSU01370	adk
BSU25900,BSU17410,BSU01530,BSU25710,BSU35620	cwlA and cwlC and cwlD and cwlH and lytC
BSU01370	adk
BSU30230	bioK
BSU22750	menH
BSU22670	trpD
BSU29010	speD
BSU38710	yxlA
BSU14190	dapL
BSU23610	nudF
BSU00750,BSU22680	pabA and trpE
BSU25790	arsB
BSU30220	bioF
BSU28750,BSU28740,BSU28730	araN and araP and araQ
BSU33960	araE
BSU14630	speA
BSU27610	apt
BSU15600	cysC
BSU06440	purB
BSU06440	purB
BSU40420	purA
BSU35010	nagA
BSU40320	argI
BSU29440	argH
BSU29450	argG
BSU37490	speB
BSU09540	plsC
BSU11190	argC
BSU27270	mtnN
BSU08790	thiC
BSU00730	cysK
BSU00730	cysK
BSU06520	purH
BSU19370,BSU19360,BSU14610	odhA and odhB and pdhD
BSU06420,BSU06430	purE and purK
BSU04560	ddl
BSU07570,BSU18540	yflS or yoaB
BSU09410,BSU05740	phoA or phoB
BSU31930	ald
BSU04640	alrA
BSU31400	yugH
BSU27810,BSU02420,BSU18120	yrbD or glnT or alsT
BSU25790	arsB
BSU27810,BSU02420,BSU18120	yrbD or glnT or alsT
BSU09530,BSU39780	yhdN or iolS
BSU36030,BSU05340,BSU25790	ywrK or ydfA or arsB
BSU23980,BSU23970,BSU23960	artP and artQ and artR
BSU33330,BSU40330,BSU37760	lysP or rocE or rocC
(BSU33830,BSU33820,BSU33810,BSU33800),(BSU02980,BSU02990,BSU03000)	(opuCA and opuCB and opuCC and opuCD) or (opuAA and opuAB and opuAC)
BSU30070	opuD
BSU16750	asd
BSU23580	ansA
BSU30540,BSU10790,BSU39920	asnB or asnO or asnH
BSU22410	panD
BSU15490	pyrB
BSU16760,BSU28470,BSU03790	dapG or lysC or yclM
BSU27870	nadB
BSU27870	nadB
BSU23570	ansB
BSU22370	aspB
BSU34920	hisG
BSU01370	adk
BSU38710	yxlA
BSU36880,BSU36870,BSU36860,BSU36850,BSU36840,BSU36830,BSU36820,BSU36810,BSU36800	atpI and atpB and atpE and atpF and atpH and atpA and atpG and atpD and atpC
BSU31060	gbsA
BSU39260	bglH
BSU00730	cysK
BSU23280	ribD
BSU39260	bglH
BSU39260	bglH
BSU19350	yocS
BSU29750	aroX
BSU33830,BSU33820,BSU33810,BSU33800	opuCA and opuCB and opuCC and opuCD
BSU06240	bdhA
BSU18800,BSU02090	penP or ybxI
BSU37150	pyrG
BSU30200	bioB
BSU25500,BSU09840	hemN or hemZ
BSU36120,BSU36130	ywrB or ywrA
BSU09440,BSU29140	citA or citZ
BSU37150	pyrG
BSU22560,BSU22550,BSU22540	qcrA and qcrB and qcrC
BSU24070	buk
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU15650	yloB
BSU08820,BSU39050,BSU38630	katA or katE or katX
BSU07920	yfkE
BSU14890,BSU14900,BSU14910,BSU14920	ctaC and ctaD and ctaE and ctaF
BSU27250	mccB
BSU11880	metC
BSU27260	mccA
BSU25300	cdd
(BSU30710,BSU30720),(BSU38760,BSU38750)	(ythA and ythB) or (cydA and cydB)
BSU38170,BSU38160,BSU38150,BSU38140	qoxA and qoxB and qoxC and qoxD
BSU33160,BSU33170,BSU33180	yvrA and yvrB and yvrC
BSU26650	czcD
(BSU11230,BSU11240),(BSU15510,BSU15520)	(carA and carB) or (pyrAA and pyrAB)
BSU25300	cdd
BSU27330	udk
BSU13850,BSU33490	zosA or copB
BSU16920	pgsA
BSU02270	pssA
BSU00460	ispE
BSU30240	bioW
BSU27330	udk
BSU39410,BSU39020,BSU32180	nupC or nupG or yutK
BSU31050	gbsB
BSU22690,BSU27910,BSU29750	aroH or yszB or aroX
BSU22710	aroF
BSU22890	cmk
BSU22890	cmk
BSU20250	mtbP
BSU07610	citM
BSU07610	citM
BSU07610	citM
BSU02460	ycbC
BSU33500,BSU03950	copA or ycnJ
