gene_id	value
BSU36850	0.5274
BSU07840	1.1
BSU16730	1.18
BSU16740	0.882
BSU36830	0.0
BSU36800	0.7191
BSU36820	0.6412
BSU36860	0.7191
BSU33310	0.8913
BSU36870	0.6903
BSU36880	1.33
BSU30820	1.21
BSU31060	0.901
BSU39260	0.8655
BSU06310	0.8405
BSU07490	0.9475
BSU19350	0.496
BSU39610	0.7911
BSU38040	0.716
BSU39380	1.39
BSU02090	1.04
BSU03040	1.33
BSU18800	0.9242
BSU38560	1.56
BSU40110	2.31
BSU30200	0.544
BSU39860	0.9229
BSU38830	1.05
BSU19310	1.07
BSU15730	1.09
BSU16670	1.11
BSU27200	1.35
BSU06170	0.5825
BSU08850	0.5278
BSU14400	0.9999
BSU24170	0.9033
BSU24340	0.6257
BSU29200	1.22
BSU22440	0.9105
BSU24350	0.7373
BSU13910	1.17
BSU13900	1.12
BSU27070	0.903
BSU27040	0.6154
BSU27050	0.7713
BSU27060	0.0
BSU15650	0.9699
BSU08820	5.3
BSU38630	0.0
BSU11210	0.0
BSU11200	0.1347
BSU07920	0.9809
BSU33170	0.9579
BSU33180	1.01
BSU36010	1.08
BSU33160	0.8859
BSU03930	0.9644
BSU15510	0.9093
BSU28310	0.1015
BSU11230	0.0
BSU15520	0.9133
BSU29470	0.6307
BSU11240	0.8122
BSU36000	1.23
BSU24150	1.18
BSU26650	1.29
BSU18260	0.9649
BSU16920	1.21
BSU04520	0.9674
BSU02270	1.7
BSU37170	1.15
BSU18000	0.9451
BSU11220	0.1528
BSU00500	1.22
BSU38580	1.33
BSU29680	0.0
BSU29710	0.0
BSU38590	0.6033
BSU29700	1.06
BSU38390	0.734
BSU08070	1.05
BSU29690	0.8012
BSU08710	1.16
BSU38570	0.4071
BSU08090	1.07
BSU30240	0.8769
BSU33710	0.8242
BSU08060	0.0
BSU28120	1.11
BSU33700	0.9054
BSU08080	0.0
BSU35740	0.7647
BSU33720	1.07
BSU31050	1.01
BSU30440	1.42
BSU30430	1.32
BSU30450	1.28
