gene_id	value
BSU36850	1.23
BSU07840	0.8582
BSU16730	0.9569
BSU16740	1.11
BSU36830	1.55
BSU36800	0.7839
BSU36820	0.996
BSU36860	1.02
BSU33310	0.7781
BSU36870	1.26
BSU36880	2.29
BSU30820	1.3
BSU31060	1.09
BSU39260	1.24
BSU06310	0.6505
BSU07490	0.9923
BSU19350	0.5124
BSU39610	0.0
BSU38040	1.07
BSU39380	0.0
BSU02090	1.04
BSU03040	0.9544
BSU18800	0.7237
BSU38560	0.8904
BSU40110	1.38
BSU30200	0.8115
BSU39860	0.8611
BSU38830	0.0
BSU19310	1.08
BSU15730	1.83
BSU16670	1.34
BSU27200	1.12
BSU06170	0.5427
BSU08850	1.18
BSU14400	1.14
BSU24170	0.0
BSU24340	0.7485
BSU29200	1.12
BSU22440	0.0
BSU24350	0.5337
BSU13910	0.0
BSU13900	1.04
BSU27070	0.0
BSU27040	0.8201
BSU27050	0.8656
BSU27060	0.8792
BSU15650	1.03
BSU08820	3.3
BSU38630	0.0
BSU11210	0.4087
BSU11200	0.276
BSU07920	0.9658
BSU33170	1.51
BSU33180	1.13
BSU36010	1.13
BSU33160	0.9785
BSU03930	0.8084
BSU15510	0.7076
BSU28310	0.2427
BSU11230	0.4056
BSU15520	0.9151
BSU29470	0.9363
BSU11240	0.0
BSU36000	0.9755
BSU24150	0.7091
BSU26650	1.15
BSU18260	0.0
BSU16920	0.9736
BSU04520	0.905
BSU02270	1.17
BSU37170	0.9553
BSU18000	0.0
BSU11220	0.3354
BSU00500	2.14
BSU38580	0.9864
BSU29680	0.7724
BSU29710	0.9687
BSU38590	0.0
BSU29700	1.26
BSU38390	1.11
BSU08070	0.8459
BSU29690	0.5692
BSU08710	0.771
BSU38570	0.0
BSU08090	0.8882
BSU30240	1.03
BSU33710	1.0
BSU08060	0.0
BSU28120	1.36
BSU33700	0.0
BSU08080	0.0
BSU35740	0.9664
BSU33720	0.8094
BSU31050	0.8158
BSU30440	1.39
BSU30430	1.07
BSU30450	1.02
BSU22830	1.41
BSU22690	0.74
BSU30410	0.9446
BSU30420	1.09
BSU09300	0.5691
BSU22710	1.06
BSU07610	0.7852
BSU13130	0.8882
BSU39060	0.48
BSU26860	0.9736
BSU00760	0.991
BSU00740	0.8124
BSU00750	1.12
BSU37240	0.9414
BSU14520	2.24
BSU25500	1.2
BSU01370	1.56
BSU31350	0.5189
BSU36130	1.14
BSU36120	0.9782
BSU09440	0.7643
BSU29140	0.8972
BSU38710	0.0
BSU14900	0.8413
BSU38200	0.0
BSU14910	0.5296
BSU14920	0.6711
BSU30300	0.0
BSU14890	0.668
BSU38190	0.0
BSU22540	0.89
BSU22560	0.7936
BSU22550	0.7567
BSU11880	0.3399
BSU27610	1.24
BSU38750	0.7302
BSU30710	0.8666
BSU30720	1.16
BSU06440	1.93
BSU38760	0.8668
BSU38160	1.23
BSU29020	1.12
BSU38140	1.1
BSU38170	1.01
BSU38150	0.9344
BSU06510	1.26
BSU25300	0.8143
BSU02230	0.6886
BSU27330	1.56
BSU30980	0.6547
BSU39410	0.7579
BSU01780	4.42
BSU40420	1.27
BSU32180	1.41
BSU18410	0.0
BSU22890	1.58
BSU36900	0.4143
BSU35010	0.0
BSU20250	0.7111
BSU40070	1.61
BSU03950	0.7321
BSU19520	0.7533
BSU30940	0.8123
BSU11190	0.4329
BSU08790	1.06
BSU00730	0.4729
BSU30950	0.8004
BSU02460	0.0
BSU13890	1.23
BSU06520	1.39
BSU12920	0.368
BSU06420	2.84
BSU06430	2.48
BSU30960	1.08
BSU25310	0.0
BSU30970	1.09
BSU17460	0.357
BSU14610	0.9464
BSU23380	0.6914
BSU19370	1.3
BSU19360	0.6845
BSU27460	0.726
BSU27430	1.03
BSU18540	0.8297
BSU30210	0.6398
BSU27450	1.08
BSU25580	1.42
BSU27440	0.8271
BSU07570	1.14
BSU22090	0.8686
BSU09410	0.9134
BSU22110	0.8696
BSU12330	0.8482
BSU05740	0.8203
BSU13120	0.8011
BSU21870	0.4044
BSU18470	0.9381
BSU32000	0.4742
BSU31930	0.5302
BSU31980	0.5889
BSU22490	0.8344
BSU16770	0.7346
BSU31400	0.8856
BSU21810	0.7332
BSU28080	0.9142
BSU18120	0.7432
BSU15540	0.9564
BSU27810	1.12
BSU09530	1.2
BSU15500	1.05
BSU39780	0.7182
BSU23080	0.9218
BSU22700	0.7579
BSU26970	1.06
BSU12940	0.0
BSU27010	1.0
BSU12950	0.4724
BSU12960	0.3765
BSU12930	0.9869
BSU22130	0.9735
BSU22140	1.45
BSU01530	0.0
BSU25900	0.8982
BSU24280	0.9186
BSU35620	1.98
BSU17410	1.31
BSU35920	0.9823
BSU35940	0.7998
BSU35960	0.8732
BSU22670	1.15
BSU35950	1.09
BSU22680	1.02
BSU35930	1.01
BSU00280	1.17
BSU06490	1.26
BSU30220	0.9608
BSU37060	1.34
BSU26810	1.23
BSU39400	0.0
BSU17660	0.9548
BSU28390	1.28
BSU18450	0.4487
BSU15570	0.6018
BSU20020	1.01
BSU18440	0.2483
BSU28170	1.57
BSU33400	0.8198
BSU18220	0.9793
BSU29050	1.14
BSU00920	0.9938
BSU02340	0.0
BSU28800	0.0
BSU22100	1.05
BSU39270	0.9188
BSU10220	1.0
BSU33900	1.11
BSU39450	0.0
BSU28740	0.0
BSU28750	0.8721
BSU28730	0.8001
BSU04340	1.07
BSU18250	0.8238
BSU02140	0.9181
BSU33960	1.08
BSU28560	0.9934
BSU17000	0.8533
BSU10360	1.06
BSU37120	0.9655
BSU34190	1.08
BSU39670	0.9714
BSU03060	0.7535
BSU29440	0.6601
BSU29450	0.419
BSU40190	1.27
BSU10130	0.9222
BSU09280	0.8611
BSU12160	0.8689
BSU40330	1.32
BSU09290	0.9378
BSU18570	0.5719
BSU06360	0.8803
BSU40060	1.0
BSU37760	1.15
BSU27220	1.17
BSU33800	1.21
BSU21900	0.7761
BSU01620	0.8013
BSU33830	0.8149
BSU01610	0.0
BSU01630	0.9831
BSU03000	1.81
BSU02990	0.0
BSU33820	1.07
BSU00680	1.73
BSU33810	0.7133
BSU02980	2.18
BSU08450	0.7532
BSU30070	1.14
BSU08460	0.729
BSU08440	0.4423
BSU05340	1.12
BSU24160	1.28
BSU14870	0.8175
BSU33320	0.6274
BSU14880	1.0
BSU36030	1.02
BSU03800	1.16
BSU16750	0.314
BSU23580	1.14
BSU07500	1.1
BSU39920	0.9181
BSU33290	0.7246
BSU24850	1.16
BSU03810	0.0
BSU07510	1.02
BSU30540	1.85
BSU03820	0.8751
BSU22410	0.917
BSU03830	0.8038
BSU07520	0.7135
BSU07990	0.665
BSU33300	1.14
BSU39350	0.5776
BSU15490	1.12
BSU03790	1.08
BSU28470	0.987
BSU16760	0.8004
BSU34910	1.17
BSU31322	1.33
BSU39390	0.917
BSU27870	0.7566
BSU28510	0.9436
BSU02400	0.8568
BSU28720	1.36
BSU28150	1.4
BSU23570	0.8431
BSU22370	0.6838
BSU34920	0.9027
BSU36810	1.14
BSU17150	0.4966
BSU18230	0.803
BSU36840	1.03
BSU06970	0.9387
BSU11710	1.08
BSU38500	1.74
BSU13960	0.3707
BSU38530	0.0
BSU37780	0.9731
BSU38510	0.0
BSU38520	1.63
BSU00790	1.04
BSU00270	1.19
BSU32260	0.3552
BSU32240	0.4073
BSU22600	0.4286
BSU02290	1.2
BSU10870	0.5849
BSU10020	0.5998
BSU22620	0.9645
BSU34890	0.892
BSU03990	0.747
BSU35780	1.28
BSU04740	1.04
BSU31990	0.6572
BSU30830	0.0
BSU31970	0.5038
BSU30280	0.0
BSU19630	0.9079
BSU03070	1.37
BSU34870	0.9377
BSU34900	0.8001
BSU22660	0.9794
BSU30290	0.7071
BSU30270	0.7356
BSU29600	1.76
BSU26700	0.7924
BSU26690	1.16
BSU26710	0.0
BSU27850	0.7315
BSU00090	0.7731
BSU24130	0.7742
BSU39700	0.6587
BSU24140	0.9075
BSU39720	0.6819
BSU23250	0.6883
BSU28790	0.9588
BSU39750	0.0
BSU39730	0.9646
BSU28780	0.0
BSU04000	0.9634
BSU39740	0.6803
BSU29220	1.13
BSU39710	0.9363
BSU17390	1.28
BSU28270	0.1818
BSU30550	1.77
BSU28260	0.2327
BSU17380	1.04
BSU28250	0.2657
BSU28280	0.2353
BSU39370	1.33
BSU36920	1.13
BSU28290	0.1724
BSU04030	0.8164
BSU06150	1.17
BSU15910	1.26
BSU00930	0.9425
BSU00380	0.8284
BSU08000	1.22
BSU15900	1.11
BSU24740	0.0
BSU25660	1.56
BSU03981	0.9895
BSU34660	0.9642
BSU01580	1.52
BSU33390	0.0
BSU25020	0.7745
BSU33370	1.53
BSU26600	0.8455
BSU33380	0.939
BSU22430	0.9181
BSU26590	1.5
BSU24310	0.8369
BSU30790	1.22
BSU28430	0.9512
BSU32100	0.8862
BSU28440	0.8661
BSU28450	0.9566
BSU16090	0.9365
BSU32200	1.14
BSU16100	0.5764
BSU03130	0.6772
BSU38050	0.9137
BSU02750	1.05
BSU01680	0.8433
BSU02760	0.9782
BSU09850	1.61
BSU37110	0.6991
BSU11640	1.04
BSU35710	1.65
BSU35760	1.29
BSU22730	1.29
BSU35720	0.0
BSU27860	0.5749
BSU35530	1.27
BSU38060	0.9455
BSU35750	1.64
BSU35730	1.11
BSU37320	1.03
BSU35690	1.74
BSU03330	1.21
BSU35680	1.42
BSU30800	0.9765
BSU35590	0.9757
BSU03320	0.8989
BSU35600	1.08
BSU03310	0.9421
BSU37280	0.0
BSU35570	0.9857
BSU37260	1.04
BSU35550	1.17
BSU37270	1.08
BSU35540	0.0
BSU03290	0.7639
BSU35609	1.1
BSU03300	0.8867
BSU16990	0.8808
BSU11250	0.2836
BSU21770	0.4332
BSU32250	0.3417
BSU17890	1.06
BSU21820	0.9726
BSU17680	1.01
BSU15550	0.9746
BSU11650	0.956
BSU40340	1.05
BSU15560	0.8296
BSU18670	1.54
BSU18480	0.0
BSU03270	0.8898
BSU22420	1.08
BSU15190	1.27
BSU34790	1.21
BSU32110	0.868
BSU37660	0.5874
BSU07810	0.8631
BSU07800	1.1
BSU22640	0.902
BSU14860	1.06
BSU22630	1.65
BSU14590	0.9317
BSU14580	1.28
BSU14600	1.15
BSU15180	1.13
BSU39540	0.0
BSU38860	0.7539
BSU30870	0.0
BSU23070	0.642
BSU33930	0.8835
BSU15220	1.33
BSU15200	0.0
BSU33910	1.02
BSU16540	1.72
BSU29790	1.01
BSU15230	1.51
BSU35580	0.9943
BSU04570	1.08
BSU03280	1.1
BSU28140	1.58
BSU25420	0.8277
BSU10120	0.841
BSU36890	1.29
BSU03010	0.6471
BSU38240	0.8309
BSU15480	1.68
BSU39360	1.04
BSU36650	0.432
BSU28130	1.22
BSU36660	0.828
BSU36640	0.8358
BSU30560	1.03
BSU23920	1.15
BSU18210	0.9525
BSU23500	1.08
BSU22610	1.1
BSU27900	1.36
BSU10140	0.863
BSU18830	1.15
BSU06530	1.35
BSU22650	1.15
BSU06500	1.43
BSU34860	0.7796
BSU06450	1.41
BSU22060	1.27
BSU06470	1.48
BSU22070	0.8576
BSU06480	1.41
BSU17600	1.07
BSU17610	1.2
BSU34880	0.7943
BSU06660	1.19
BSU30530	1.49
BSU19580	0.2665
BSU00510	1.14
