,ybeF,0.0
0,glpQ,0.0
1,ybdT,0.0
2,ybxH,0.0
3,ybdM,0.9769
4,ybdK,0.9339
5,ybxF,0.8038
6,rplJ,0.8017
7,rplK,0.8575
8,rpmG,0.7645
9,yacP,0.4982
10,rplL,1.04
11,ybdE,0.0
12,ybcT,0.613
13,ybcQ,0.0
14,ybcO,0.7794
15,ybcL,1.26
16,ybcH,2.67
17,cysE,0.5638
18,yacN,0.9309
19,yacL,0.8648
20,sms,0.879
21,yacH,0.9825
22,glpT,0.8031
23,ybyB,1.49
24,ybxI,0.0
25,csgA,0.0
26,ybdL,0.0
27,ybdJ,0.9113
28,ybxB,1.1
29,rplA,1.1
30,nusG,1.13
31,sigH,0.9743
32,yacO,0.6263
33,ybdA,0.9459
34,ybcS,0.8897
35,ybcP,0.9416
36,ybcM,1.3
37,ybcI,3.56
38,ybcF,3.05
39,gltX,1.01
40,yacM,1.09
41,yacK,0.8435
42,yacI,1.03
43,ctsR,0.9452
44,ydbB,0.8225
45,ydbA,0.9036
46,ydaS,0.9516
47,ydaQ,0.0
48,mutT,1.08
49,ydaN,0.7768
50,yciB,0.7179
51,nasA,0.0
52,nasD,0.0
53,nasF,0.9103
54,ycgS,0.9967
55,ycgQ,1.02
56,ydaL,0.0
57,ydaJ,0.0
58,lrpC,0.0
59,ydaH,1.12
60,ydaF,1.15
61,ydaD,1.02
62,ycgO,1.02
63,ycgM,0.8446
64,cah,0.9129
65,ycgJ,0.8686
66,tmrB,0.0
67,ycgH,0.7369
68,gsiB,1.1
69,ydaT,0.8203
70,ydaR,1.32
71,ydaP,0.0
72,ydaO,0.9816
73,ydaM,0.799
74,yciA,0.9293
75,nasC,0.0
76,nasE,0.0
77,ycgT,1.44
78,ycgR,1.27
79,ycgP,1.09
80,ydaK,0.0
81,ydzA,0.9408
82,ydaG,1.67
83,ydaE,0.0
84,ydaC,1.09
85,ycgN,1.08
86,ycgL,1.09
87,ycgK,1.26
88,aroI,1.04
89,nadE,1.01
90,ycgG,0.0
91,purL,0.7476
92,purC,0.6674
93,purK,0.7674
94,yebG,0.0
95,yebE,0.0
96,yebC,0.947
97,ydfK,0.0
98,ydfJ,0.0
99,ydfH,1.26
100,ydfF,0.9763
101,ydfD,0.0
102,ydfB,0.9032
103,guaA,0.852
104,yeaD,0.9022
105,yeaB,0.8182
106,yeaA,0.4484
107,ydjO,0.9614
108,ydjM,1.3
109,ydeT,0.0
110,ydeR,0.0
111,ydeP,0.0
112,ydzF,1.04
113,ydeM,0.0
114,ydeK,0.8207
115,yexA,0.7775
116,purB,0.7622
117,purE,0.843
118,yebF,1.05
119,yebD,0.0
120,yebB,0.9601
121,nap,1.19
122,ydfI,0.9468
123,ydfG,1.12
124,ydfE,0.0
125,ydfC,0.0
126,ydfA,1.02
127,yebA,0.0
128,yeaC,1.11
129,gabP,1.23
130,ydjP,0.5786
131,ydjN,1.44
132,ydjL,1.13
133,ydeS,0.0
134,ydeQ,0.0
135,ydeO,0.9102
136,ydeN,1.37
137,ydeL,0.0
138,ydeJ,0.0
139,yfhS,0.961
140,yfhO,1.49
141,yfhM,0.8381
142,yfhK,1.56
143,yfhI,0.7731
144,yfhG,0.817
145,yflS,0.9865
146,yflT,0.0
147,yfmC,1.17
148,yfmE,1.07
149,yfmG,1.51
150,yfmI,1.19
151,yfhE,0.0
152,yfhC,1.14
153,yfhA,1.03
154,yfiY,1.24
155,yfiV,0.0
156,yfiT,0.0
157,yfmK,0.0
158,yfmM,0.895
159,yfmO,0.816
160,yfmQ,0.0
161,yfmS,1.02
162,yfnA,0.0
163,yfhP,1.15
164,csbB,1.5
165,yfhL,0.7741
166,yfhJ,0.9903
167,yfhH,0.9115
168,yfhF,0.9714
169,pel,1.75
170,yfmA,0.0
171,yfmD,1.34
172,yfmF,1.3
173,yfmH,1.3
174,yfmJ,1.1
175,yfhD,0.0
176,yfhB,1.06
177,yfiZ,1.27
178,yfiW,1.18
179,yfiU,0.0
180,yfiS,0.0
181,yfmL,1.4
182,yfmN,0.0
183,yfmP,0.0
184,yfmR,1.06
185,yfmT,0.0
186,yfnD,0.0
187,yisK,1.04
188,yisI,1.4
189,yisG,0.0
190,yisE,0.0
191,yisB,0.6433
192,addA,0.0
193,yhdY,0.9693
194,yhdW,0.8561
195,yhdU,0.8394
196,yhdS,1.05
197,yhdQ,1.1
198,yhdO,1.07
199,yhjQ,0.0
200,yhjM,0.0
201,yhjK,0.8317
202,yhjI,0.0
203,yhjG,0.8618
204,yhjE,0.8757
205,yhdL,0.9722
206,yhdJ,0.8885
207,yhdH,1.04
208,yhdF,0.8249
209,citR,0.9006
210,phoA,0.8427
211,yisJ,0.0
212,yisH,0.0
213,yisF,0.8233
214,yisC,0.0
215,sbcD,0.9792
216,yhjR,0.0
217,yhdX,1.15
218,yhdV,1.09
219,yhdT,1.69
220,yhdR,1.38
221,yhdP,1.36
222,yhdM,1.17
223,yhjO,1.05
224,yhjL,1.23
225,yhjJ,1.09
226,yhjH,1.19
227,sipV,1.2
228,yhjD,0.0
229,yhdK,1.01
230,yhdI,1.07
231,yhdG,0.0
232,citA,0.899
233,lytE,1.26
234,spoVR,0.0
235,xkdU,0.0
236,xkdS,0.0
237,xkdQ,0.9223
238,xkdN,0.0
239,xkdK,0.9494
240,xkdI,0.8998
241,yjbX,0.676
242,yjbV,0.9444
243,yjbT,0.9756
244,yjbR,0.9271
245,tenA,0.9332
246,yjbP,1.3
247,xkdG,0.9432
248,xkdE,0.8436
249,xpf,0.0
250,xkdD,0.8006
251,xkdB,0.0
252,xkdA,0.7233
253,yjbN,0.9321
254,yjbL,1.25
255,yjbJ,0.9102
256,yjbH,1.12
257,yjbF,1.27
258,yjbE,0.8364
259,xkdT,0.0
260,xkdR,0.0
261,xkdP,0.8742
262,xkdM,0.8505
263,xkdJ,1.36
264,xkdH,0.9786
265,yjbW,1.31
266,yjbU,1.24
267,yjbS,1.04
268,tenI,1.15
269,yjbQ,1.16
270,yjbO,1.22
271,xkdF,1.2
272,xtmA,1.05
273,xtrA,0.0
274,xkdC,1.22
275,xre,1.27
276,yjqC,1.24
277,yjbM,0.9948
278,yjbK,1.14
279,yjbI,1.14
280,yjbG,1.21
281,mecA,1.16
282,yjbD,0.7109
283,ylaM,0.825
284,ylaK,0.8517
285,ylaH,0.833
286,ylaF,0.872
287,ylaD,0.0
