gene_id	value
BSU36850	0.8423
BSU07840	1.03
BSU16730	1.17
BSU16740	0.7468
BSU36830	0.9902
BSU36800	0.7937
BSU36820	0.8256
BSU36860	0.7823
BSU33310	1.37
BSU36870	0.9177
BSU36880	1.03
BSU30820	1.06
BSU31060	0.0
BSU39260	0.303
BSU06310	1.23
BSU07490	1.3
BSU19350	1.42
BSU39610	1.33
BSU38040	0.6114
BSU39380	0.0
BSU02090	0.0
BSU03040	0.941
BSU18800	1.23
BSU38560	0.8655
BSU40110	0.7475
BSU30200	1.38
BSU39860	0.9253
BSU38830	1.07
BSU19310	0.9948
BSU15730	0.856
BSU16670	0.9251
BSU27200	0.94
BSU06170	0.8245
BSU08850	0.0
BSU14400	0.6977
BSU24170	0.6963
BSU24340	1.0
BSU29200	1.05
BSU22440	0.8811
BSU24350	0.991
BSU13910	0.0
BSU13900	0.8114
BSU27070	0.0
BSU27040	0.6267
BSU27050	0.637
BSU27060	0.0
BSU15650	0.8479
BSU08820	2.42
BSU38630	0.0
BSU11210	0.9363
BSU11200	1.06
BSU07920	0.0
BSU33170	0.9678
BSU33180	0.9079
BSU36010	0.9854
BSU33160	0.8329
BSU03930	0.8177
BSU15510	1.1
BSU28310	1.38
BSU11230	0.7952
BSU15520	1.16
BSU29470	0.7425
BSU11240	0.6966
BSU36000	1.3
BSU24150	0.0
BSU26650	0.0
BSU18260	0.9052
BSU16920	0.9256
BSU04520	0.9273
BSU02270	1.07
BSU37170	1.06
BSU18000	0.0
BSU11220	1.01
BSU00500	1.09
BSU38580	0.8343
BSU29680	0.9752
BSU29710	0.787
BSU38590	0.0
BSU29700	0.0
BSU38390	1.03
BSU08070	0.9376
BSU29690	1.0
BSU08710	0.9678
BSU38570	1.18
BSU08090	0.9319
BSU30240	1.31
BSU33710	1.24
BSU08060	0.0
BSU28120	1.02
BSU33700	0.0
BSU08080	0.0
BSU35740	0.9384
BSU33720	1.48
BSU31050	0.9911
BSU30440	0.8784
BSU30430	0.9506
BSU30450	1.22
BSU22830	0.8122
BSU22690	0.8978
BSU30410	0.703
BSU30420	0.7178
BSU09300	0.5121
BSU22710	0.9628
BSU07610	0.9501
BSU13130	0.9266
BSU39060	0.9945
BSU26860	0.7916
BSU00760	1.1
BSU00740	0.9257
BSU00750	0.7648
BSU37240	1.06
BSU14520	0.966
BSU25500	1.08
BSU01370	0.7517
BSU31350	1.27
BSU36130	0.0
BSU36120	0.7844
BSU09440	0.899
BSU29140	1.01
BSU38710	1.01
BSU14900	0.9264
BSU38200	0.0
BSU14910	0.933
BSU14920	0.6872
BSU30300	0.0
BSU14890	0.9507
BSU38190	0.0
BSU22540	0.76
BSU22560	0.8384
BSU22550	1.12
BSU11880	1.02
BSU27610	0.9207
BSU38750	0.0
BSU30710	1.48
BSU30720	1.2
BSU06440	0.7622
BSU38760	0.9419
BSU38160	1.04
BSU29020	0.7972
BSU38140	0.925
BSU38170	0.8918
BSU38150	0.8371
BSU06510	0.878
BSU25300	0.8783
BSU02230	1.12
BSU27330	0.755
BSU30980	0.0
BSU39410	0.7958
BSU01780	1.56
BSU40420	0.8325
BSU32180	0.0
BSU18410	0.0
BSU22890	1.09
BSU36900	0.8519
BSU35010	1.1
BSU20250	0.0
BSU40070	0.7287
BSU03950	0.7362
BSU19520	0.859
BSU30940	0.8711
BSU11190	1.01
BSU08790	0.8362
BSU00730	1.01
BSU30950	1.15
BSU02460	0.0
BSU13890	0.9222
BSU06520	0.7599
BSU12920	1.22
BSU06420	0.843
BSU06430	0.7674
BSU30960	0.0
BSU25310	0.8776
BSU30970	0.0
BSU17460	0.6908
BSU14610	0.8276
BSU23380	1.14
BSU19370	1.03
BSU19360	0.9971
BSU27460	0.7373
BSU27430	0.9131
BSU18540	0.9253
BSU30210	1.52
BSU27450	0.0
BSU25580	1.17
BSU27440	0.9544
BSU07570	0.9865
BSU22090	0.0
BSU09410	0.8427
BSU22110	0.0
BSU12330	1.02
BSU05740	0.9858
BSU13120	1.15
BSU21870	1.25
BSU18470	1.01
BSU32000	3.28
BSU31930	0.7458
BSU31980	2.29
BSU22490	1.15
BSU16770	0.9026
BSU31400	0.9497
BSU21810	1.02
BSU28080	0.8299
BSU18120	0.9575
BSU15540	1.24
BSU27810	1.07
BSU09530	1.7
BSU15500	0.9904
BSU39780	1.11
BSU23080	1.04
BSU22700	1.15
BSU26970	1.02
BSU12940	0.0
BSU27010	0.0
BSU12950	0.9518
BSU12960	1.2
BSU12930	0.9441
BSU22130	1.14
BSU22140	1.07
BSU01530	0.0
BSU25900	0.0
BSU24280	0.0
BSU35620	1.11
BSU17410	1.01
BSU35920	0.8704
BSU35940	1.15
BSU35960	0.9681
BSU22670	0.9129
BSU35950	0.8614
BSU22680	1.21
BSU35930	1.03
BSU00280	0.9586
BSU06490	0.8303
BSU30220	1.36
BSU37060	1.03
BSU26810	0.0
BSU39400	0.9185
BSU17660	1.01
BSU28390	1.01
BSU18450	0.6767
BSU15570	0.8694
BSU20020	0.0
BSU18440	0.6678
BSU28170	1.18
BSU33400	1.53
BSU18220	0.0
BSU29050	1.05
BSU00920	1.01
BSU02340	1.15
BSU28800	0.6428
BSU22100	0.0
BSU39270	0.6363
BSU10220	1.06
BSU33900	0.8878
BSU39450	1.06
