	fluxes
EX_ac_e	1.7007123577516698
EX_fe3_e	-0.00015190165080044763
EX_glc__D_e	-0.6165309912187883
EX_glu__L_e	-1.0
EX_ca2_e	-0.00014111443212041588
EX_cit_e	0.0
EX_so4_e	-0.007498922190646099
EX_co2_e	3.714165471180337
EX_succ_e	0.008767544374516307
EX_glyclt_e	1.61588132880464e-05
EX_trp__L_e	-0.002392384955911051
EX_h2o_e	2.4088929999190336
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	1.1711837424042367e-05
FDH	0.00034818500130856685
EX_k_e	-0.031098538776859648
FBA	0.5755064647542238
FBA2	0.0
ACACT2r	0.0012317682848676128
ACACT3r	0.0012317682848676128
ACACT4r	0.0012317682848676128
ACACT5r_1	0.0012317682848676128
ACACT6r_1	0.0012317682848676128
ACACT7r	0.000947514065282775
ACACT1r	0.0012317682848676128
ACCOAC	0.04481741528787609
ACGK	0.00849861117076905
FOLD3	1.6158813288046402e-05
ACt2r	-1.7007123577516696
ACKr	-1.6819069333825745
ACLDC	0.0007543127772502157
ACOAD2	0.001231768284867613
ACOAD1	0.0012317682848676128
ACOADH2	0.0
ACOTA	-0.008498611170769048
ARGPt6	0.0
APATi	0.018805424369095426
APSR	0.0074989221906460995
APTA1i	0.018805424369095422
ACTD2	0.0007543127772502156
ADNK1	0.0
ADCL	1.6158813288046402e-05
ADCS	1.6158813288046402e-05
ADK1	0.06659496056538301
EX_mg2_e	-0.0044784129013091985
AMMQT7	1.1711837424042322e-05
ADPDA	0.018805424369095422
ADSL2r	0.008019966867628086
ADSL1r	0.008047441253164166
ADSS	0.008047441253164166
ARGSL	0.008498611170769046
ARGSS	0.008498611170769046
AGPATr_BS	0.004737570326413962
AGPR	-0.008498611170769046
AICART	0.01161889122553469
AKGDH	0.9569908747986089
AIRC1	0.008019966867628087
ATPM	9.0
BIOMASS_BS_10	0.044029464000129755
EX_nh4_e	0.6520890380708864
ALAALAr	0.0044829479361012115
AKP1	1.6158813288046402e-05
ALAR	0.015518140557381732
ALATA_L	-0.031752640494045574
CO2t	-3.714165471180337
ALCD19y	0.0
EX_o2_e	-3.1171966974343768
ASAD	-0.04871463926438357
ASNS1	0.006515788288987203
ASPCT	0.005370493871415825
ASPK	0.048714639264383575
ASPO6	0.0007623261396991734
ASPTA	-0.09244624394056229
ATPPRT	0.0035989243579066057
ATPS4r	10.583386856611355
EX_pi_e	-0.06757580493491222
DDPA	0.012653891835781299
CTPS1	0.0025232845523834304
CYOR3m	6.228260574857639
CAT	0.0030664100055574992
CAt4	-0.00014111443212041588
CYOO3	6.22826057485764
CYSTGL	0.0025092391533673947
CYSTS	0.0025092391533673947
CBPS	0.013869105042184873
CYTDK1	1.1711837424042325e-05
CDGPT_BS	0.0009158128512026989
CDPDSP_BS	0.0024656499840072666
CDPMEK	8.198286196829659e-05
CHORM	0.012626021185069211
CHORS	0.0126538918357813
CYTK1	0.023724660263973976
CYTOM	-1.1711837424042156e-05
CITt10	0.0
CLPNS2_BS	2.2014732000064878e-05
DAPDC	0.014322476432994209
DAPE	0.018805424369095422
FRTT	1.171183742404237e-05
DGK1	0.0007660246146742577
DGNSK	0.0007660246146742577
DHAD1	0.031885917681573964
G3POA_BS	0.004737570326413962
DHAD2	0.016716094213897265
DHDPRy	0.018805424369095422
DHDPS	0.018805424369095426
G5SADs	0.0070729811559088465
DHFR	0.0010361013468510596
DHFS	1.6158813288046402e-05
DHNAOT7	1.171183742404237e-05
GGTT	1.171183742404237e-05
GCALDD	1.6158813288046402e-05
GAPD	1.109385830476066
DHNPA_1	1.61588132880464e-05
DHORTS	-0.005370493871415825
DHORDi	0.005370493871415825
GK1	0.002783278537304201
FE3t	0.00015190165080044763
DHQTi	0.0126538918357813
GLYt2r	0.0
DHQS	0.0126538918357813
H2Ot	-2.4088929999190336
HCO3E	0.05868652033006098
FTHFD	0.0003320261880205204
FUM	0.9727893497156546
G1PACT	0.014396489961978428
GRTT	1.171183742404237e-05
G3PCT	0.02029538143085981
G3PD1ir	0.02592674987647641
G5SD	0.007072981155908848
GLNS	0.06947026068244563
GLUPRT	0.008019966867628087
GLU5K	0.007072981155908847
GLUDxi	0.7081405270689413
GALUi	0.01107847358439265
DMATT	1.1711837424042372e-05
GLUR	-0.0044829479361012115
GLUt4	0.0
GLUt2r	0.9999999999999997
GARFT	0.008019966867628086
GF6PTA	0.01439648996197843
DMPPS	1.171183742404237e-05
GHMT2r	0.025996668665313066
GLYCTO1	0.0
GLYCLTt2r	-1.61588132880464e-05
GLYK	2.2014732000064885e-05
GMPS2	0.003571449972370524
IMPC	-0.011618891225534693
DRPA	-0.0007543127772502154
IPDPS	7.027102454425422e-05
DTMPK	0.0010082306961389713
HXPRT	0.0
GTPCI	1.6158813288046406e-05
DURIK1	0.0
GUAPRT	-0.0007660246146742578
HACD2	0.001231768284867613
HACD1_1	0.0012317682848676128
HEXTT	1.171183742404237e-05
DXPRIi	8.19828619682966e-05
HISTD	0.003598924357906606
DXPS	8.19828619682966e-05
HISTP	0.0035989243579066066
ECOAH1_1	0.0012317682848676128
ECOAH2	0.001231768284867613
Kt1	0.031098538776859648
HPPK	1.6158813288046406e-05
ECOAH2c	0.0
HSDy	-0.02990921489528815
HSK	0.008203437644112176
HSST	0.021705777251175975
ECOAH3	0.001231768284867613
HSTPTr	0.003598924357906606
ECOAH4	0.001231768284867613
IG3PS_1	0.0035989243579066053
IGPDH_1	0.0035989243579066053
IMPD	0.003571449972370524
ILETA	-0.011883772480955025
ECOAH5_1	0.001231768284867613
ECOAH6	0.001231768284867613
LIPO1S24_BS	3.0820624800090836e-07
IPMD	0.017812075631788493
ECOAH7	0.000947514065282775
IPPS	0.017812075631788497
LIPO2S24_BS	2.6417678400077864e-07
LIPO4S24_BS	6.604419600019464e-07
IPPMIa	-0.017812075631788497
IPPMIb	-0.017812075631788493
KARA1	-0.03188591768157397
KARA2	0.016716094213897265
LYSLG_BS	9.686482080028546e-05
KAS1	9.475140652827924e-05
ENO	1.0688945301735182
MECDPS	8.198286196829659e-05
LEUTA	-0.015253787655524953
METS	0.004989683037278705
O2t	3.117196697434377
LIPO3S24_BS	7.925303520023357e-07
METabc	0.0
OMCDC	0.017812075631788493
MGt5	-0.0044784129013091985
PAP_BS	0.0013561074912039968
MTHFC	0.019987043094471347
MTHFD	0.019987043094471347
PGPPH_BS	0.0009158128512026989
MTHFR3	0.004989683037278704
MCSNAH	-1.1711837424042149e-05
NADK	5.063388360016804e-05
NADH4	5.280037244433546
MDH	0.6784071205857993
ORNTAC_1	0.008498611170769048
ME2	0.2943822291298553
NADS1	0.0007623261396991733
MECDPDH2	8.198286196829659e-05
MEPCT	8.19828619682966e-05
NDPK7	0.0007652320843222553
NDPK3	0.02294837678418769
NDPK4	0.0010082306961389713
NDPK5	0.0007660246146742576
NDPK1	0.010822794486948345
NDPK2	0.02982551488422389
PPTGS_BS	0.004482947936101212
PPTT	1.171183742404237e-05
PGI	0.6054525176343957
PYNP1	1.171183742404242e-05
PHETA1	-0.00774649986671883
NDPK8	0.001011885141650982
NH4t	-0.6520890380708864
PTAr	1.681906933382574
NNATr	0.0007623261396991734
SO4t2	0.007498922190646099
PIt2r	0.0675758049349122
NNDPR	0.0007623261396991735
NPHS	1.1711837424042369e-05
SUCCt2r	-0.008767544374516307
QULNS	0.0007623261396991733
PPA	0.11238974189513055
PPCK	0.585960876645237
OCBT_1	0.008498611170769048
PPM	-1.1711837424042418e-05
PPM2	-0.0007543127772502154
PPND	0.00487952131835038
RNDR4	0.0010199425335630137
RPE	-0.015549562918193397
RPI	-0.015549562918193397
SADT	0.007498922190646098
PPNDH	0.00774649986671883
PRAGSr	0.008019966867628087
PRAIS_1	0.008019966867628087
PRATPP	0.0035989243579066044
