	fluxes
EX_ac_e	0.8570959109549893
EX_fe3_e	-1.275562058086649e-11
EX_glc__D_e	-1.3477859814841722e-09
EX_glu__L_e	-0.8551241924706808
EX_ca2_e	-1.1849786655558584e-11
EX_cit_e	-0.001971759579198399
EX_so4_e	-6.297061666234368e-10
EX_co2_e	2.5732596273163986
EX_trp__L_e	-2.0089547822665562e-10
EX_h2o_e	0.8590677540384914
EX_h_e	-0.8590677462617362
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	9.834768331914454e-13
FDH	9.236822549943819e-10
EX_k_e	-2.6114341691921664e-09
FBA	1.130411448735824e-09
ACACT2r	1.0343514242618003e-10
ACACT3r	1.0343514242618003e-10
ACACT4r	1.0343514242618003e-10
ACACT5r_1	1.0343514242618003e-10
ACACT6r_1	1.0343514242618003e-10
ACACT7r	7.956549417398462e-11
ACACT1r	1.0343514242618004e-10
ACCOAC	3.763447874429473e-09
ACGK	7.136529391708495e-10
FOLD3	-1.714595729354763e-09
ACt2r	-0.8570959109549892
ACKr	-0.8570959093758435
ACLDC	-1.4281811505816607e-09
ACONT	0.001971776390709271
ACOAD2	1.0343514242618004e-10
ACOAD1	1.0343514242618004e-10
ACOADH2	-1.2457874394682035e-16
ACOTA	-7.136529391708495e-10
APATi	1.5791458279112715e-09
APSR	6.297061666234369e-10
APTA1i	1.5791458279112715e-09
ACTD2	-1.4281811505816605e-09
ADCL	-1.7145957293547634e-09
ADCS	-1.7145957293547634e-09
ADK1	-1.8516210205585562e-09
EX_mg2_e	-3.7606527294059497e-10
AMMQT7	9.834768331914456e-13
ADPDA	1.5791458279112719e-09
ADSL2r	0.0
ADSL1r	0.0
ADSS	0.0
ARGSL	7.136529391708497e-10
ARGSS	7.136529391708496e-10
AGPATr_BS	3.9782747086992317e-10
AGPR	-7.136529391708495e-10
AICART	-3.772153988521687e-09
AKGDH	0.8570959669657425
AIRC1	0.0
ATPM	9.0
BIOMASS_BS_10	3.697281327787389e-09
EX_nh4_e	0.8551241731038317
ALAALAr	3.764460929513285e-10
AKP1	-1.714595729354763e-09
ALAD_L	0.8551241748952243
ALAR	1.303103106697337e-09
ALATA_L	-0.8551241775615852
CO2t	-2.5732596273163986
ALCD19y	0.0
EX_o2_e	-2.1427398817201126
ASAD	-2.8977183596840715e-09
ASNS1	5.471495718552723e-10
ASPCT	1.8626800123533105e-09
ASPK	2.897718359684072e-09
ASPO6	6.401552624627538e-11
ASPTA	-6.632465606749265e-09
ATPPRT	-3.772153988521687e-09
DADK	-3.0927286899557497e-26
ATPS4r	7.285808525200005
EX_pi_e	-1.1795971996128536e-08
DDPA	-6.533687671212764e-10
CTPS1	2.488174975544398e-09
CS	1.6811510872333217e-08
CYOR3m	4.2854797632281265
CAT	1.0604990462241156e-10
CAt4	-1.1849786655558584e-11
CYOO3	4.2854797632281265
CYSTGL	2.1070806287060335e-10
CYSTS	2.1070806287060338e-10
CBPS	2.5763329515241597e-09
CYTDK1	-2.2753040030970393e-09
CDGPT_BS	7.690345161797771e-11
CDPDSP_BS	2.070477543560938e-10
CDPMEK	6.884337832340117e-12
DTMPt6	0.0
CHORM	1.0602434854002952e-09
CHORS	-6.533687671212763e-10
CYTK1	-2.8405919839058503e-10
CYTOM	-9.834768331914456e-13
CITt10	0.001971759579198399
CLPNS2_BS	1.8486406638936944e-12
DAPDC	1.2026997349599431e-09
DAPE	1.5791458279112719e-09
FRTT	9.834768331914456e-13
DGK1	6.4325300540845e-11
DGNSK	6.432530054084499e-11
DHAD1	2.6775524020195007e-09
G3POA_BS	3.9782747086992317e-10
DHAD2	4.0578402028732164e-10
DHDPRy	1.5791458279112715e-09
DHDPS	1.5791458279112712e-09
G5SADs	5.93938667058422e-10
DHFR	5.098377698246029e-10
DHFS	-1.714595729354763e-09
DHNAOT7	9.834768331914456e-13
GGTT	9.834768331914456e-13
GCALDD	-1.7145957293547626e-09
GAPD	0.8590677032730953
DHNPA_1	-1.7145957293547628e-09
DHORTS	-1.8626800123533105e-09
DHORDi	1.8626800123533105e-09
GK1	-1.397261770272099e-09
GK2	-8.497091947520978e-11
FE3t	1.2755620580866492e-11
DHQTi	-6.533687671212764e-10
GLYt2r	0.0
DHQS	-6.533687671212765e-10
H2Ot	-0.8590677540384914
HCO3E	6.339780825953633e-09
FTHFD	4.3528737137039074e-09
HEX7	4.1749454019294787e-10
FUM	0.8570959676793956
G1PACT	1.2089148648719537e-09
GRTT	9.834768331914456e-13
G3PCT	1.7042618280435972e-09
G3PD1ir	2.1789927505314977e-09
G5SD	5.939386670584221e-10
GLCt2	4.1749454019294787e-10
GLNS	-3.963974583677222e-09
GLUPRT	0.0
GLU5K	5.939386670584221e-10
GALUi	9.302914412912242e-10
DMATT	9.834768331914456e-13
GAPDi_nadp	0.8590677005463835
GLUR	-3.7644609295132855e-10
GLUt4	0.0
GLUt2r	0.8551241924706809
GARFT	0.0
GF6PTA	1.2089148648719537e-09
DMPPS	9.834768331914456e-13
GHMT2r	1.5095555987596577e-09
