	fluxes
EX_ac_e	3.651366992058981
EX_fe3_e	-0.000603568982294141
EX_glc__D_e	-1.9195206749804203
EX_glu__L_e	-1.0
EX_ca2_e	-0.0005607068371747023
EX_cit_e	-0.9236293613389711
EX_so4_e	-0.02979636370678521
EX_co2_e	8.60322447614364
EX_glyclt_e	6.420574391355119e-05
EX_trp__L_e	-0.009505949049836074
EX_h2o_e	7.481572535718733
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	4.653604327260668e-05
FDH	0.0013834850759460082
EX_k_e	-0.12356754058612737
FBA	1.7256205529940487
FBA2	0.0
ACACT2r	0.004894332130046636
ACACT3r	0.004894332130046636
ACACT4r	0.004894332130046636
ACACT5r_1	0.004894332130046636
ACACT6r_1	0.004894332130046636
ACACT7r	0.003764870869266643
ACACT1r	0.004894332130046637
ACCOAC	0.1780783921163122
ACGK	0.03376854740040504
FOLD3	6.420574391355122e-05
ACt2r	-3.6513669920589806
ACKr	-3.576645152050967
ACLDC	0.0029972011028008634
ACONT	0.923629361338971
ACOAD2	0.004894332130046637
ACOAD1	0.004894332130046636
ACOADH2	-2.16818115947995e-16
ACOTA	-0.03376854740040504
APATi	0.07472184000801468
APSR	0.0297963637067852
APTA1i	0.07472184000801468
ACTD2	0.002997201102800863
ADNK1	2.5849394142282115e-26
ADCL	6.420574391355122e-05
ADCS	6.420574391355122e-05
ADK1	0.2646097153161362
EX_mg2_e	-0.017794613178280155
AMMQT7	4.65360432726067e-05
ADPDA	0.07472184000801468
ADSL2r	0.03186669278981041
ADSL1r	0.031975860049216716
ADSS	0.031975860049216716
ARGSL	0.03376854740040504
ARGSS	0.03376854740040504
AGPATr_BS	0.018824354346333214
AGPR	-0.03376854740040504
AICART	0.04616672903437295
AKGDH	1.7527360643249263
AIRC1	0.0318666927898104
ATPM	9.0
BIOMASS_BS_10	0.17494753109975103
EX_nh4_e	-0.38239620250322093
ALAALAr	0.01781263277398335
AKP1	6.420574391355122e-05
ALAR	0.061660082388576155
ALATA_L	-0.12616656110814523
CO2t	-8.60322447614364
ALCD19y	0.0
EX_o2_e	-6.315064251134599
ASAD	-0.19356369788407554
ASNS1	0.025889960284858855
ASPCT	0.021339225105892156
ASPK	0.19356369788407554
ASPO6	0.0030290415534617154
ASPTA	-0.367327708935919
ATPPRT	0.01430003624456255
DADK	0.0
ATPS4r	21.538850682424272
EX_pi_e	-0.26850702146643957
DDPA	0.05027922064794408
CTPS1	0.010026068059795551
CYOR3m	12.605760235609845
CAT	0.012184133329676933
CAt4	-0.0005607068371747023
CYOO3	12.605760235609845
CYSTGL	0.009970259797374812
CYSTS	0.009970259797374814
CBPS	0.0551077725062972
CYTDK1	4.6536043272606686e-05
CDGPT_BS	0.0036389086468748217
CDPDSP_BS	0.009797061741586057
CDPMEK	0.00032575230290824683
CHORM	0.05016847886075791
CHORS	0.05027922064794408
CYTK1	0.09426802786766604
CYTOM	-4.65360432726067e-05
CITt10	0.9236293613389711
CLPNS2_BS	8.747376554987555e-05
DAPDC	0.05690920723403131
DAPE	0.0747218400080147
FRTT	4.653604327260669e-05
DGK1	0.003043737146073469
DGNSK	0.0030437371460734688
DHAD1	0.12669612728478377
G3POA_BS	0.018824354346333214
DHAD2	0.01920084143325988
DHDPRy	0.07472184000801467
DHDPS	0.07472184000801468
G5SADs	0.028103921290926186
DHFR	0.004116865301839357
DHFS	6.420574391355122e-05
DHNAOT7	4.653604327260669e-05
GGTT	4.653604327260669e-05
GCALDD	6.42057439135512e-05
GAPD	3.316731647016866
DHNPA_1	6.42057439135512e-05
DHORTS	-0.021339225105892153
DHORDi	0.02133922510589215
GK1	0.015079777390674084
GK2	-0.004020644159734478
FE3t	0.0006035689822941411
DHQTi	0.05027922064794407
GLYt2r	0.0
DHQS	0.05027922064794408
H2Ot	-7.481572535718732
HCO3E	0.23318616462260944
FTHFD	0.001319279332032457
FUM	1.8503471645643588
G1PACT	0.05720329403381001
GRTT	4.653604327260669e-05
G3PCT	0.08064206446043025
G3PD1ir	0.10301785368808843
G5SD	0.02810392129092619
G6PDH2r	0.09267740491489804
GLNS	0.27603448888707294
GLUPRT	0.03186669278981041
GLU5K	0.02810392129092619
GLUDxi	0.0018111440233263046
GALUi	0.04401942303766386
DMATT	4.65360432726067e-05
GLUR	-0.017812632773983355
GLUt4	0.0
GLUt2r	1.0000000000000002
GARFT	0.03186669278981041
GF6PTA	0.05720329403381
DMPPS	4.653604327260669e-05
GHMT2r	0.10329567036746559
GLYCTO1	0.0
GLYCLTt2r	-6.420574391355119e-05
GLYK	8.747376554987556e-05
GMPS2	0.014190868985156249
IMPC	-0.04616672903437295
DRPA	-0.0029972011028008626
IPDPS	0.0002792162596356402
DTMPK	0.004006123514653199
HXPRT	0.0
GTPCI	6.420574391355122e-05
DURIK1	0.0
GUAPRT	-0.003043737146073469
HACD2	0.004894332130046636
HACD1_1	0.004894332130046636
HEXTT	4.653604327260669e-05
DXPRIi	0.00032575230290824683
HISTD	0.014300036244562553
DXPS	0.00032575230290824683
HISTP	0.014300036244562553
ECOAH1_1	0.004894332130046637
ECOAH2	0.004894332130046637
Kt1	0.12356754058612737
HPPK	6.420574391355122e-05
ECOAH2c	-4.3363623189850536e-16
HSDy	-0.11884185787606087
HSK	0.032595699151912315
HSST	0.08624615872414856
ECOAH3	0.004894332130046636
HSTPTr	0.014300036244562553
ECOAH4	0.004894332130046637
ICDHyr	0.923629361338971
IG3PS_1	0.014300036244562553
IGPDH_1	0.014300036244562555
ILEDHr	-0.0472192133814783
IMPD	0.014190868985156249
ECOAH5_1	0.004894332130046636
ECOAH6	0.004894332130046637
LIPO1S24_BS	1.2246327176982574e-06
IPMD	0.07077484875887319
ECOAH7	0.003764870869266643
IPPS	0.07077484875887317
LIPO2S24_BS	1.0496851865985062e-06
LIPO4S24_BS	2.624212966496266e-06
IPPMIa	-0.07077484875887317
IPPMIb	-0.07077484875887317
KARA1	-0.1266961272847838
KARA2	0.06642005481473819
LYSLG_BS	0.0003848845684194523
KAS1	0.0003764870869266643
ENO	3.1558427245687692
MECDPS	0.0003257523029082468
LLEUDr	-0.06060969741185324
METS	0.019826103909410385
O2t	6.315064251134599
LIPO3S24_BS	3.149055559795519e-06
OMCDC	0.07077484875887319
MGt5	0.905834748160691
PAP_BS	0.005388383957872333
PGL	0.09267740491489805
MTHFC	0.07941690690012944
MTHFD	0.07941690690012944
PGPPH_BS	0.0036389086468748212
MTHFR3	0.019826103909410385
MCSNAH	-4.653604327260669e-05
NADK	0.0002011896607639447
NADH4	10.853024171284918
MDH	0.367327708935919
ORNTAC_1	0.033768547400405045
ME2	1.4830194556284395
NADS1	0.003029041553461716
MECDPDH2	0.00032575230290824683
MEPCT	0.0003257523029082468
NDPK7	0.0030405880905136733
NDPK3	0.09118352794684634
NDPK4	0.004006123514653199
NDPK5	0.003043737146073469
NDPK1	0.043003502724558364
NDPK2	0.11850928261944021
PPTGS_BS	0.017812632773983355
PPTT	4.653604327260669e-05
PGI	1.7828238470278581
PYNP1	4.653604327260669e-05
PHETA1	-0.030780093674159098
NH4t	0.382396202503221
PTAr	3.5766451520509666
NNATr	0.003029041553461716
SO4t2	0.029796363706785206
PIt2r	0.26850702146643957
NNDPR	0.003029041553461716
NPHS	4.6536043272606686e-05
QULNS	0.0030290415534617154
PPA	0.44657159272781144
OCBT_1	0.03376854740040504
PPM	-4.653604327260669e-05
PPM2	-0.0029972011028008626
PPND	0.01938838518659881
RNDR4	0.0040526595579258055
RPI	-0.09267740491489805
SADT	0.029796363706785203
PPNDH	0.0307800936741591
PRAGSr	0.03186669278981041
PRAIS_1	0.03186669278981041
PRATPP	0.014300036244562548
PRASCSi	0.0318666927898104
PRFGS_1	0.03186669278981041
PRMICI	0.014300036244562551
OMPDC	0.021339225105892153
SHK3Dr	0.05027922064794408
SHKK	0.05027922064794409
PRO1x	1.4222995353333898
PRPPS	0.0674912585476534
SHSL2	0.029796363706785196
SHSL4r	0.056449795017363365
PSCVT	0.05027922064794407
PSDC_BS	0.009797061741586057
PSERT	0.16088892244809694
ORPT	-0.021339225105892153
PYK	1.117950975518477
OIVD1r	0.010165151347019938
SUCBZL	4.653604327260668e-05
SUCBZS	4.653604327260668e-05
SUCD1	1.7527360643249268
OIVD2	0.002258922521559552
SUCD5_BS	1.7527360643249268
SUCOAS	-1.6664899056007778
OIVD3	0.01920084143325988
P5CR	1.4504034566243158
TMDPP	4.653604327260669e-05
UAGDP	0.05720329403381001
TYRTA	-0.01938838518659881
TECA1S45	0.0006340098527054976
SULR_1	-0.029796363706785196
TALA	0.025139610323972036
TECA4S_BS	0.0005444367167824253
THRS	0.032595699151912315
TKT1	0.02513961032397204
TKT2	-0.025139610323972036
TMDS	0.0040526595579258055
TPI	1.6195736577524986
TRDR	0.04091025551495916
TRPt2r	0.009505949049836072
UAAGDS	0.017812632773983355
UAG2E	0.0013628412672670605
UAGPT3	0.017812632773983355
UAG4E	0.01633310150347276
UAGCVT	0.017812632773983355
UAMAGS	0.017812632773983355
UAMAS	0.017812632773983355
UAPGR	0.017812632773983355
UDCPDP	0.01781263277398336
UGMDDS	0.017812632773983355
UGT1_BS	0.0015045487674578588
UGT2_BS	0.0011546537052583572
UGT_BS	0.0027291814851561165
ACLS	0.12969332838758463
ACHBS	0.06642005481473819
3NUCLE1	0.0
NTD5	4.6536043272606686e-05
URIK1	0.0
XPPT	0.0
URIDK2r_copy2	-0.004052659557925805
VALDHr	-0.05366235600435105
UMPK	0.05684780065061533
GLXO1	0.0
FACOAL140_ISO	0.00037648708692666433
FACOAL150_ISO	0.007529741738533286
ACOAD3	-0.004894332130046637
ACOAD4_1	-0.004894332130046636
ACOAD5_1	-0.004894332130046636
ACOAD6	-0.004894332130046637
ACOAD7	-0.0037648708692666435
DHAD3	0.0472192133814783
GLCpts	1.9195206749804201
HACD3	0.004894332130046636
HACD4	0.004894332130046636
HACD5	0.004894332130046636
HACD6	0.004894332130046636
HACD7	0.003764870869266643
ICHORS	4.653604327260668e-05
FACOAL170_ISO	0.002635409608486651
FACOAL170_anteiso	0.006400280477753292
FACOAL180_2	0.0011294612607799929
KAS13	0.0011294612607799929
FACOAL150_anteiso	0.012800560955506586
FACOAL160_ISO	0.0018824354346333213
KAS3	0.007529741738533286
KAS4	0.012800560955506588
KAS6	0.0018824354346333217
KAS11	0.002635409608486651
PUNP1	0.0
PUNP2	0.0
KAS12	0.006400280477753292
PAPPT3	0.017812632773983355
PDH	3.9935809829055486
PUNP4	-0.003043737146073469
PFK	1.7256205529940485
PRAMPC_1	0.014300036244562551
PSP_L	0.16088892244809694
PGAMT	-0.057203294033810005
TECA2S45	0.0004106018554911157
RNDR1	0.0040206441597344785
PGMT	-0.04401942303766387
PGCD	0.16088892244809697
RNDR3	0.0030405880905136733
TECA3S45	0.0003182295590704471
GND	0.09267740491489805
PGK	-3.3167316470168666
PGM	-3.155842724568769
PHCYT_BS	0.01343597038846088
