	fluxes
EX_ac_e	3.316148053175338
EX_fe3_e	-0.0005190313438708375
EX_glc__D_e	-1.6752479978725736
EX_glu__L_e	-1.0
EX_ca2_e	-0.0004821725962626187
EX_cit_e	-0.7596219146463414
EX_so4_e	-0.025622997786291474
EX_co2_e	7.685780644535646
EX_glyclt_e	5.521289947837419e-05
EX_trp__L_e	-0.00817451800016401
EX_h2o_e	6.51038713319595
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	4.0018068831909684e-05
FDH	0.0011897101064313577
EX_k_e	-0.10626030914553594
FBA	1.5301245774682284
ACACT2r	0.004208817645255234
ACACT3r	0.004208817645255234
ACACT4r	0.004208817645255234
ACACT5r_1	0.004208817645255234
ACACT6r_1	0.004208817645255234
ACACT7r	0.003237552034811718
ACACT1r	0.004208817645255234
ACCOAC	0.15313621124659424
ACGK	0.029038825804432733
FOLD3	5.521289947837421e-05
ACt2r	-3.316148053175338
ACKr	-3.251891972804129
ACLDC	0.0025774043429549983
ACONT	0.7596219146463414
ACOAD2	0.004208817645255234
ACOAD1	0.004208817645255234
ACOADH2	9.925182617990754e-17
ACOTA	-0.02903882580443273
APATi	0.06425608037120971
APSR	0.02562299778629147
APTA1i	0.06425608037120971
ACTD2	0.0025774043429549983
ADNK1	0.0
ADCL	5.521289947837422e-05
ADCS	5.521289947837422e-05
ADK1	0.22754770402522592
EX_mg2_e	-0.015302247568254606
AMMQT7	4.001806883190969e-05
ADPDA	0.06425608037120971
ADSL2r	0.02740335051774348
ADSL1r	0.027497227491243666
ADSS	0.027497227491243666
ARGSL	0.029038825804432736
ARGSS	0.029038825804432736
AGPATr_BS	0.01618776017405859
AGPR	-0.029038825804432736
AICART	0.03970048182691983
AKGDH	1.6126644330498268
AIRC1	0.027403350517743476
ATPM	9.0
BIOMASS_BS_10	0.15044386778864857
EX_nh4_e	-0.1887737438397242
ALAALAr	0.015317743286636827
AKP1	5.5212899478374215e-05
ALAR	0.053023790758241394
