	fluxes
EX_ac_e	3.44854006426041
EX_fe3_e	-0.0004366107083661008
EX_for_e	0.0010007876758755803
EX_glc__D_e	-1.9438407980445431
EX_glu__L_e	-1.0000000048435362
EX_ca2_e	-0.0004056050203806821
EX_cit_e	-0.06995123661785912
EX_so4_e	-0.021554141856835025
EX_co2_e	5.7337463378197935
EX_glyclt_e	4.6445255063861816e-05
EX_trp__L_e	-0.0068764288260233205
EX_h2o_e	5.565497705304836
EX_h_e	2.0495281138401253
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	3.366331838414773e-05
EX_k_e	-0.08938648772390649
FBA	1.8217625456779563
FBA2	0.0
ACACT2r	0.0035404699064492864
ACACT3r	0.003540469906449287
ACACT4r	0.003540469906449287
ACACT5r_1	0.0035404699064492864
ACACT6r_1	0.0035404699064492864
ACACT7r	0.0027234383895763737
ACACT1r	0.0035404699064492864
ACCOAC	0.1288186358269625
ACGK	0.024427546533198008
FOLD3	4.644525506386182e-05
ACt2r	-3.4485400642604094
ACKr	-3.3944876585646866
ACLDC	0.00216812019006612
ALLTAHr	0.0
ACONT	0.06995123661785912
ACOAD2	0.003540469906449287
ACOAD1	0.003540469906449287
ACOADH2	-6.467904459590864e-17
ACOTA	-0.024427546533198008
ARGPt6	0.0
APATi	0.0540524056957233
APSR	0.021554141856835025
APTA1i	0.05405240569572329
ACTD2	0.00216812019006612
ADNK1	0.0
ADCL	4.644525506386183e-05
ADCS	4.644525506386183e-05
ADK1	0.1914138046087193
EX_mg2_e	-0.012872296113260745
AMMQT7	3.3663318384147733e-05
ADPDA	0.05405240569572329
ADSL2r	0.023051779863441667
ADSL1r	0.023130749452433114
ADSS	0.023130749452433114
ARGSL	0.024427546533198015
ARGSS	0.024427546533198008
AGPATr_BS	0.013617191947881867
AGPR	-0.024427546533198008
AICART	0.033396163252176946
AKGDH	0.9463301713714171
AIRC1	0.02305177986344167
ATPM	9.0
BIOMASS_BS_10	0.12655382851191327
ALAALAr	0.01288533115759747
