	fluxes
EX_ac_e	0.34259259259259267
EX_fe3_e	0.0
EX_glc__D_e	-5.1049308694983e-16
EX_glu__L_e	-1.0
EX_ca2_e	0.0
EX_cit_e	0.3148148148148143
EX_so4_e	0.0
EX_co2_e	2.4259259259259283
EX_trp__L_e	0.0
EX_h2o_e	1.0555555555555602
EX_h_e	-0.712962962962959
PHEt2r	0.0
2S6HCCi	0.0
EX_k_e	0.0
FBA	2.55246543474915e-16
FBA2	0.0
ACACT2r	0.0
ACACT3r	0.0
ACACT4r	0.0
ACACT5r_1	0.0
ACACT6r_1	0.0
ACACT7r	0.0
ACACT1r	0.0
ACCOAC	0.0
ACGK	0.0
FOLD3	0.0
ACt2r	-0.34259259259259267
ACLDC	0.3425925925925928
ACONT	0.027777777777778432
ACOAD2	0.0
ACOAD1	0.0
ACOADH2	0.0
ACOTA	0.0
APATi	0.0
APSR	0.0
APTA1i	0.0
ACTD2	0.3425925925925928
ADNK1	0.0
ADCL	0.0
ADCS	0.0
ADK1	6.381163586872876e-16
EX_mg2_e	0.0
AMMQT7	0.0
ADPDA	0.0
ADSL2r	0.0
ADSL1r	0.0
ADSS	0.0
ARGSL	0.0
ARGSS	0.0
AGPATr_BS	0.0
AGPR	0.0
AICART	1.2762327173745753e-16
AKGDH	1.0277777777777783
AIRC1	0.0
ATPM	9.0
BIOMASS_BS_10	0.0
EX_nh4_e	0.9999999999999992
ALAALAr	0.0
AKP1	0.0
ALAR	0.0
ALATA_L	0.0
CO2t	-2.4259259259259283
ALCD19y	0.0
EX_o2_e	-2.39814814814815
ASAD	0.0
ASNS1	0.0
ASPCT	0.0
ASPK	0.0
ASPO6	2.55246543474915e-16
ASPTA	-2.5524654347491507e-16
ATPPRT	1.276232717374575e-16
ATPS4r	7.972222222222225
EX_pi_e	-2.133708325337942e-15
DDPA	0.0
CTPS1	0.0
CS	0.3425925925925928
CYOR3m	4.796296296296299
CAT	1.276232717374575e-16
CYOO3	4.796296296296299
CYSTGL	0.0
CYSTS	0.0
CBPS	0.0
CYTDK1	0.0
CDGPT_BS	0.0
CDPDSP_BS	0.0
CDPMEK	0.0
CHORM	0.0
CHORS	0.0
CYTK1	0.0
CYTOM	0.0
CITt10	0.0
CLPNS2_BS	0.0
CITt14	0.0
CITt2r	-0.3148148148148143
DAPDC	0.0
DAPE	0.0
FRTT	0.0
DGK1	0.0
DGNSK	0.0
DHAD1	0.0
G3POA_BS	0.0
DHAD2	0.0
DHDPRy	0.0
DHDPS	0.0
G5SADs	0.0
DHFR	0.0
DHFS	0.0
DHNAOT7	0.0
GGTT	0.0
GCALDD	0.0
GAPD	1.276232717374575e-16
DHNPA_1	0.0
DHORTS	0.0
DHORDi	0.0
GK1	0.0
FE3t	0.0
DHQTi	0.0
GLYt2r	-1.276232717374575e-16
DHQS	0.0
H2Ot	-1.0555555555555602
HCO3E	0.0
FUM	1.0277777777777788
G1PACT	0.0
GRTT	0.0
G3PCT	0.0
G3PD1ir	0.0
G5SD	0.0
G6PDH2r	2.5524654347491507e-16
GLNS	2.5524654347491507e-16
GLUPRT	0.0
GLU5K	0.0
GLUDxi	0.9999999999999999
GALUi	0.0
DMATT	0.0
GLUR	0.0
GLUt2r	1.0
GARFT	0.0
GF6PTA	0.0
DMPPS	0.0
GHMT2r	1.2762327173745753e-16
GLYCTO1	0.0
GMPS2	1.2762327173745756e-16
IMPC	-1.2762327173745753e-16
DRPA	-1.2762327173745753e-16
IPDPS	0.0
DTMPK	0.0
GTPCI	0.0
DURIK1	0.0
GUAPRT	-1.2762327173745756e-16
DURIPP	0.0
HACD2	0.0
HACD1_1	0.0
HEXTT	0.0
DXPRIi	0.0
HISTD	0.0
DXPS	0.0
HISTP	0.0
ECOAH1_1	0.0
ECOAH2	0.0
HPPK	0.0
ECOAH2c	0.0
HSDy	0.0
HSK	0.0
HSST	0.0
ECOAH3	0.0
HSTPTr	0.0
ECOAH4	0.0
ICDHyr	0.027777777777778432
IG3PS_1	1.2762327173745753e-16
IGPDH_1	1.2762327173745753e-16
IMPD	1.2762327173745753e-16
ILETA	0.0
ECOAH5_1	0.0
ECOAH6	0.0
LIPO1S24_BS	0.0
IPMD	0.0
ECOAH7	0.0
IPPS	0.0
LIPO2S24_BS	0.0
LIPO4S24_BS	0.0
IPPMIa	0.0
IPPMIb	0.0
KARA1	0.0
KARA2	0.0
LYSLG_BS	0.0
KAS1	0.0
MECDPS	0.0
LEUTA	0.0
METS	0.0
O2t	2.39814814814815
LIPO3S24_BS	0.0
OMCDC	0.0
PAP_BS	0.0
PGL	2.5524654347491507e-16
MTHFC	1.2762327173745753e-16
MTHFD	1.2762327173745753e-16
PGPPH_BS	0.0
MTHFR3	0.0
MCSNAH	0.0
NADK	-8.160836337125704e-17
NADH4	3.7685185185185204
MDH	0.3425925925925934
ORNTAC_1	0.0
ME2	0.6851851851851851
NADS1	2.5524654347491497e-16
NAt3_1	6.401124976013827e-15
MECDPDH2	0.0
MEPCT	0.0
NDPK7	0.0
NDPK3	0.0
NDPK4	0.0
NDPK5	0.0
NDPK1	0.0
NDPK2	0.0
PPTGS_BS	0.0
PPTT	0.0
PSER_Lt6	0.0
PGI	2.55246543474915e-16
PYNP1	0.0
PHETA1	0.0
NDPK8	0.0
PYNP2r	0.0
NH4t	-0.9999999999999992
PTAr	0.0
NNATr	2.55246543474915e-16
SO4t2	0.0
PIt7	2.133708325337942e-15
NNDPR	2.55246543474915e-16
NPHS	0.0
QULNS	2.55246543474915e-16
PPA	1.02098617389966e-15
PPCK	5.1049308694983e-16
OCBT_1	0.0
PPM	0.0
PPM2	-1.2762327173745753e-16
PPND	0.0
RPE	0.0
RPI	-2.55246543474915e-16
SADT	0.0
PPNDH	0.0
PRAGSr	0.0
PRAIS_1	0.0
PRATPP	1.276232717374575e-16
PRASCSi	0.0
PRFGS_1	0.0
PRMICI	1.276232717374575e-16
OMPDC	0.0
SHK3Dr	0.0
SHKK	0.0
PRO1x	0.7129629629629639
PRPPS	2.55246543474915e-16
SHSL2	0.0
SHSL4r	0.0
PSCVT	0.0
PSDC_BS	0.0
PSERT	1.276232717374575e-16
ORPT	0.0
OIVD1r	0.0
SUCBZL	0.0
SUCBZS	0.0
SUCD1	1.0277777777777788
OIVD2	0.0
SUCD5_BS	1.0277777777777788
SUCOAS	-1.0277777777777786
OIVD3	0.0
P5CR	0.7129629629629639
OXADC	0.0
TMDPP	0.0
UAGDP	0.0
TYRTA	0.0
TECA1S45	0.0
SULR_1	0.0
TALA	0.0
TECA4S_BS	0.0
THRS	0.0
TKT1	0.0
TMDS	0.0
TRDR	0.0
TRPt2r	0.0
UAAGDS	0.0
UAG2E	0.0
UAGPT3	0.0
UAG4E	0.0
UAGCVT	0.0
UAMAGS	0.0
UAMAS	0.0
UAPGR	0.0
UDCPDP	0.0
UGMDDS	0.0
UGT1_BS	0.0
UGT2_BS	0.0
UGT_BS	0.0
ACLS	0.3425925925925928
ACHBS	0.0
NTD5	0.0
VALTA	0.0
UMPK	0.0
ALDD2x	0.34259259259259267
GLXO1	0.0
FACOAL140_ISO	0.0
FACOAL150_ISO	0.0
ACOAD3	0.0
ACOAD4_1	0.0
ACOAD5_1	0.0
ACOAD6	0.0
ACOAD7	0.0
DADNK	0.0
GLCpts	5.1049308694983e-16
HACD3	0.0
HACD4	0.0
HACD5	0.0
HACD6	0.0
HACD7	0.0
ICHORS	0.0
FACOAL170_ISO	0.0
FACOAL170_anteiso	0.0
FACOAL180_2	0.0
KAS13	0.0
FACOAL150_anteiso	0.0
FACOAL160_ISO	0.0
KAS3	0.0
KAS4	0.0
KAS6	0.0
KAS11	0.0
PUNP1	0.0
PUNP2	0.0
KAS12	0.0
PAPPT3	0.0
PUNP4	-1.2762327173745753e-16
PFK	2.55246543474915e-16
PRAMPC_1	1.2762327173745753e-16
PSP_L	1.2762327173745756e-16
PGAMT	0.0
TECA2S45	0.0
RNDR1	0.0
PGMT	0.0
PGCD	1.2762327173745753e-16
RNDR3	0.0
TECA3S45	0.0
GND	2.55246543474915e-16
