	fluxes
EX_ac_e	1.414227143087021
EX_fe3_e	-0.000315808517175235
EX_glc__D_e	-1.057369922281375
EX_alltn_e	0.0
EX_glu__L_e	-0.9999999742325756
EX_ca2_e	-0.00029338153552076185
EX_so4_e	-0.015590505336584733
EX_co2_e	5.2963296112977485
EX_succ_e	0.0
EX_glyclt_e	3.359470313135643e-05
EX_trp__L_e	-0.004973846837459006
EX_h2o_e	4.722462982398455
3AMPt6	0.0
EX_urea_e	-2.5849394142282115e-26
PHEt2r	0.0
2S6HCCi	2.4349294367713775e-05
FDH	0.0007238880445850776
EX_k_e	-0.06465488271973177
FBA	0.972140587617629
FBA2	-4.576935031525146e-05
ACACT2r	0.00256088668883961
ACACT3r	0.0025608866888396095
ACACT4r	0.0025608866888396095
ACACT5r_1	0.0025608866888396095
ACACT6r_1	0.0025608866888396095
ACACT7r	0.0019699128375690825
ACACT1r	0.0025608866888396095
ACCOAC	0.09317687721698642
ACGK	0.017668891534400297
FOLD3	3.359470313135643e-05
ALLTNt2r	0.0
ACt2r	-1.4142271430870212
ACKr	-1.375130048660727
ACLDC	0.00159259031356949
ALLTAHr	0.0
ACONT	0.6119602312110352
ACOAD2	0.00256088668883961
ACOAD1	0.00256088668883961
ACOADH2	0.0
ACOTA	-0.017668891534400297
APATi	0.039097094426294096
APSR	0.015590505336584733
APTA1i	0.03909709442629409
ACTD2	0.0015925903135694899
ADNK1	0.0
ADCL	3.359470313135644e-05
ALLTN	0.0
ADCS	3.359470313135644e-05
ADK1	0.13845310855194307
EX_mg2_e	-0.009310767395930971
AMMQT7	2.4349294367713775e-05
ADPDA	0.039097094426294096
ADSL2r	0.016673774319847047
ADSL1r	0.016730894469040518
ADSS	0.016730894469040518
ARGSL	0.017668891534400304
ARGSS	0.0176688915344003
AGPATr_BS	0.009849564187842117
AGPR	-0.0176688915344003
AICART	0.024156056170683723
AKGDH	1.5225428226615187
AIRC1	0.016673774319847047
ATPM	9.0
BIOMASS_BS_10	0.09153870063050291
EX_nh4_e	0.2766816665192784
ALAALAr	0.009320195882095914
AKP1	3.359470313135643e-05
ALAR	0.032262723498520114
ALATA_L	-0.06601478165629851
CO2t	-5.2963296112977485
ALCD19y	-4.576935031525146e-05
EX_o2_e	-4.585614354963235
ASAD	-0.10127933376459472
ASNS1	0.013546537690206233
ASPCT	0.011165433009405576
ASPK	0.10127933376459472
ASPO6	0.0015849010627164905
ASPTA	-0.19219877508533412
ATPPRT	0.007482281850836676
ATPS4r	15.329440115597645
EX_pi_e	-0.14049231618587793
DDPA	0.026307856406403977
CTPS1	0.0052703406888011985
CS	0.611960231211035
CYOR3m	9.15847837585435
CAT	0.006375167036061034
CAt4	-0.0002933815355207619
CYOO3	9.15847837585435
CYSTGL	0.005216790548932361
CYSTS	0.00521679054893236
CBPS	0.02883432454380587
CYTD	2.434929436771377e-05
CYTDK1	2.7404019281783084e-22
CDGPT_BS	0.0019040049731144607
CDPDSP_BS	0.005126167235308163
CDPMEK	0.00017044506057399642
CHORM	0.026249912408904907
CHORS	0.02630785640640398
CYTK1	0.049299997998569954
CYTOM	-2.434929436771377e-05
CITt10	0.009310767395930971
CLPNS2_BS	4.576935031525145e-05
CITt2r	-0.009310767395930971
DAPDC	0.02977689854419818
DAPE	0.039097094426294096
FRTT	2.434929436771377e-05
DGK1	0.0015925903135694897
DGNSK	0.0015925903135694897
DHAD1	0.06629186930310707
G3POA_BS	0.009849564187842115
DHAD2	0.03475330846527485
DHDPRy	0.03909709442629409
DHDPS	0.039097094426294096
G5SADs	0.014704959946685256
DHFR	0.0021540887032369563
DHFS	3.359470313135643e-05
DHNAOT7	2.4349294367713775e-05
GGTT	2.434929436771377e-05
GCALDD	3.3594703131356426e-05
GAPD	1.8576292986508145
DHNPA_1	3.359470313135643e-05
DHORTS	-0.011165433009405578
DHORDi	0.011165433009405578
GK1	0.005786527421656572
FE3t	0.000315808517175235
DHQTi	0.02630785640640398
GLYt2r	0.0
