	fluxes
EX_ac_e	3.4764857718288615
EX_fe3_e	-0.0004366107081566607
EX_for_e	0.001000787675395246
EX_glc__D_e	-2.0042555214501308
EX_glu__L_e	-1.0000000043638415
EX_ca2_e	-0.00040560502018611506
EX_cit_e	0.0
EX_so4_e	-0.021554141846495598
EX_co2_e	5.620728733656444
EX_trp__L_e	-0.006876428822724728
EX_h2o_e	5.592382574390786
EX_h_e	2.287281086577565
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	3.366331836802076e-05
EX_k_e	-0.0893864876810282
FBA	1.857053423456482
ACACT2r	0.0035404699047509387
ACACT3r	0.0035404699047509387
ACACT4r	0.0035404699047509387
ACACT5r_1	0.0035404699047509383
ACACT6r_1	0.0035404699047509383
ACACT7r	0.0027234383882699525
ACACT1r	0.0035404699047509387
ACCOAC	0.12881863576516875
ACGK	0.04475740663153887
FOLD3	4.644525504158458e-05
ACt2r	-3.4764857718288615
ACKr	-3.422433366159067
ACOAD2	0.0035404699047509383
ACOAD1	0.0035404699047509383
ACOADH2	-2.508466808307755e-16
ACOTA	-0.04475740663153886
ARGKr	0.0
ARGPt6	0.0
APATi	0.05405240566979457
APSR	0.021554141846495595
APTA1i	0.05405240566979457
ADNK1	-2.0549954635019612e-26
ADCL	4.644525504158457e-05
ADCS	4.644525504158457e-05
ADK1	0.19358192470592564
EX_mg2_e	-0.012872296107085962
AMMQT7	3.366331836802078e-05
ADPDA	0.05405240566979458
ADSL2r	0.023051779852384057
ADSL1r	0.023130749441337597
ADSS	0.023130749441337597
ARGSL	0.024427546521480225
ARGSS	0.024427546521480225
AGPATr_BS	0.013617191941349763
AGPR	-0.04475740663153886
AICART	0.03339616323615716
AKGDH	0.8763789343331638
AIRC1	0.02305177985238406
ATPM	9.0
BIOMASS_BS_10	0.12655382845120597
ALAALAr	0.012885331151416435
AKP1	4.6445255041584565e-05
ALAR	0.04460377028379908
ALATA_L	-0.0912665713564993
CO2t	-5.620728733656444
ALCD19y	0.0
EX_o2_e	-4.829888417850235
ASAD	-0.14002042133669876
ASNS1	0.01872832141100862
ASPCT	0.015436403225335852
ASPK	0.14002042133669873
ASPO6	0.002191152985804516
ASPTA	-0.26571811313842647
ATPPRT	0.010344383383773125
DADK	0.0
ATPS4r	16.427477357433553
EX_pi_e	-0.19423304415329518
DDPA	0.03637106408156278
CTPS1	0.007252673354710152
CYOR3m	9.642102834234286
CAT	0.008837000733090978
CAt4	-0.0004056050201861151
CYOO3	9.642102834234288
CYSTGL	0.007212302683434227
CYSTS	0.007212302683434228
CBPS	0.03986394974681607
CYTDK1	3.366331836802079e-05
CDGPT_BS	0.0026323196317850845
CDPDSP_BS	0.007087014393267535
CDPMEK	0.00023564322857614546
CHORM	0.036290955508153186
CHORS	0.03637106408156278
CYTK1	0.06819175870733403
CYTOM	-3.366331836802078e-05
CLPNS2_BS	6.3276914225603e-05
CITt14	0.0
DAPDC	0.041167074518378144
DAPE	0.05405240566979458
FRTT	3.366331836802078e-05
DGK1	3.3663318368020775e-05
DGNSK	3.3663318368020775e-05
DHAD1	0.09164964979522061
G3POA_BS	0.013617191941349763
DHAD2	0.04804704684829951
DHDPRy	0.054052405669794565
DHDPS	0.05405240566979457
G5SADs	0.020329860110058634
DHFR	0.002978064691113796
DHFS	4.644525504158457e-05
DHNAOT7	3.366331836802078e-05
GGTT	3.366331836802078e-05
GCALDD	4.644525504158457e-05
GAPD	3.623743490230124
DHNPA_1	4.644525504158457e-05
DHORTS	-0.015436403225335854
DHORDi	0.015436403225335852
GK1	0.010168093900740593
FE3t	0.0004366107081566606
DHQTi	0.03637106408156278
GLYt2r	0.0
DHQS	0.036371064081562786
H2Ot	-5.5923825743907845
HCO3E	0.16868258551198484
FORt2	-0.001000787675395246
FTHFD	0.02400612227273772
FUM	0.9469890101483657
G1PACT	0.04137981150400461
GRTT	3.366331836802078e-05
G3PCT	0.0583349872245834
G3PD1ir	0.07452122188349265
G6PDH2r	0.0835198318555246
GLNS	0.19967827573007635
GLUPRT	0.023051779852384064
GLUDxi	0.1611087185406596
GALUi	0.03184284154575019
DMATT	3.366331836802078e-05
GLUR	-0.012885331151416435
GLUt4	0.0
GLUt2r	1.0000000043638415
GLXCBL	2.3222627520792286e-05
GART	0.023051779852384057
GF6PTA	0.041379811504004604
DMPPS	3.366331836802078e-05
GLYCK	2.322262752079229e-05
GHMT2r	0.07472218936307004
GLYCTO1	4.644525504158457e-05
GLYK	6.3276914225603e-05
GMPS2	0.010265413794819572
IMPC	-0.03339616323615717
IPDPS	0.00020197991020812472
DTMPK	0.0028979561177041656
GTPCI	4.644525504158457e-05
DURIK1	0.0
GUAPRT	-3.366331836802078e-05
HACD2	0.003540469904750939
HACD1_1	0.0035404699047509387
HEXTT	3.366331836802078e-05
DXPRIi	0.0002356432285761454
HISTD	0.010344383383773127
DXPS	0.00023564322857614538
HISTP	0.010344383383773127
ECOAH1_1	0.0035404699047509387
HOXPRx	-2.3222627520792286e-05
ECOAH2	0.0035404699047509396
Kt1	0.0893864876810282
HPPK	4.644525504158457e-05
ECOAH2c	-5.016933616579039e-16
HSDy	-0.0859680156669042
HSK	0.02357912965554334
HSST	0.06238888601136087
ECOAH3	0.003540469904750939
HSTPTr	0.010344383383773128
ECOAH4	0.003540469904750939
IG3PS_1	0.010344383383773127
IGPDH_1	0.010344383383773127
IMPD	0.010265413794819569
ILETA	-0.034157511068122745
ECOAH5_1	0.0035404699047509396
ECOAH6	0.003540469904750939
LIPO1S24_BS	8.858767991584418e-07
IPMD	0.05119722474610694
ECOAH7	0.002723438388269953
IPPS	0.05119722474610693
LIPO2S24_BS	7.593229707072357e-07
LIPO4S24_BS	1.8983074267680896e-06
IPPMIa	-0.05119722474610695
IPPMIb	-0.05119722474610694
KARA1	-0.09164964979522063
KARA2	0.0480470468482995
LYSLG_BS	0.0002784184225926531
KAS1	0.0002723438388269953
ENO	3.5073826235069516
MECDPS	0.00023564322857614549
LEUTA	-0.04384394109777805
