	fluxes
EX_ac_e	13.535473451870583
EX_fe3_e	-0.002301828183194357
EX_glc__D_e	-10.00000000000001
EX_glu__L_e	-1.0
EX_ca2_e	-0.002138365022358816
EX_cit_e	-0.9948018887578551
EX_so4_e	-0.11363425184026962
EX_co2_e	20.432419446046314
EX_glyclt_e	0.0002448611429657492
EX_trp__L_e	-0.03625279309044887
EX_h2o_e	26.8374494084047
EX_h_e	12.820580097768097
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	0.00017747428890761956
FDH	0.005276190513811794
EX_k_e	-0.47124894716764426
FBA	8.85306462536546
ACACT2r	0.01866549137769569
ACACT3r	0.01866549137769569
ACACT4r	0.01866549137769569
ACACT5r_1	0.01866549137769569
ACACT6r_1	0.01866549137769569
ACACT7r	0.01435807029053546
ACACT1r	0.01866549137769569
ACCOAC	0.6791367247422618
ACGK	0.12878295007198784
FOLD3	0.00024486114296574924
ALLTNt2r	0.0
ACt2r	-13.535473451870583
ACKr	-13.250507122791124
ACLDC	0.01143041172014033
ALLTAHr	0.0
ACONT	0.9948018887578551
ACOAD2	0.01866549137769569
ACOAD1	0.01866549137769569
ACOADH2	0.0
ACOTA	-0.12878295007198784
APATi	0.2849663290794614
APSR	0.11363425184026962
APTA1i	0.2849663290794614
ACTD2	0.01143041172014033
ADNK1	0.0
ADCL	0.00024486114296574924
ADCS	0.00024486114296574924
ADK1	1.0091408242131061
EX_mg2_e	-0.06786323241316841
AMMQT7	0.00017747428890761956
ADPDA	0.2849663290794614
ADSL2r	0.12152985610692779
ADSL1r	0.12194618676962743
ADSS	0.12194618676962743
ARGSL	0.12878295007198784
ARGSS	0.12878295007198784
AGPATr_BS	0.07179035145267038
AGPR	-0.12878295007198784
AICART	0.17606583693768824
AKGDH	1.343066927344228
AIRC1	0.12152985610692779
ATPM	9.0
BIOMASS_BS_10	0.667196574838944
EX_nh4_e	-4.272037882344644
ALAALAr	0.06793195366037676
AKP1	0.00024486114296574924
ALAR	0.23515276560541098
ALATA_L	-0.48116081948345146
CO2t	-20.432419446046318
ALCD19y	0.0
EX_o2_e	-16.904379803775136
ASAD	-0.7381929623675562
ASNS1	0.0987364195206908
ASPCT	0.08138130221598022
ASPK	0.7381929623675563
ASPO6	0.011551841496762104
ASPTA	-1.4008759523777436
ATPPRT	0.054535980830760444
DADK	0.0
