	fluxes
EX_ac_e	3.1147435349747927
EX_fe3_e	-0.0003728612791746855
EX_glc__D_e	-1.6999700644417257
EX_glu__L_e	-1.0
EX_ca2_e	-0.0003463827245666282
EX_cit_e	0.0
EX_so4_e	-0.018407026557656737
EX_co2_e	5.169286871725549
EX_glyclt_e	3.966379404552379e-05
EX_trp__L_e	-0.005872403033401657
EX_h2o_e	4.853059996539223
EX_h_e	1.806339820827402
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	2.8748145002929114e-05
FDH	0.000854662897318919
EX_k_e	-0.07633518719316826
FBA	1.5992703200050722
FBA2	0.0
ACACT2r	0.0030235267090408724
ACACT3r	0.0030235267090408724
ACACT4r	0.003023526709040872
ACACT5r_1	0.003023526709040871
ACACT6r_1	0.00302352670904087
ACACT7r	0.0023257897761852844
ACACT1r	0.0030235267090408724
ACCOAC	0.11000985641356399
ACGK	0.02086088607755855
FOLD3	3.9663794045523794e-05
ACt2r	-3.1147435349747927
ACKr	-3.0685833086129666
ACLDC	0.001851553459368428
ACOAD2	0.003023526709040872
ACOAD1	0.003023526709040872
ACOADH2	-1.584305820944456e-16
ACOTA	-0.020860886077558552
APATi	0.04616022636182609
APSR	0.018407026557656737
APTA1i	0.04616022636182608
ACTD2	0.0018515534593684278
ADNK1	0.0
ADCL	3.966379404552379e-05
ADCS	3.966379404552379e-05
ADK1	0.16346551898642186
EX_mg2_e	-0.010992815115934484
AMMQT7	2.8748145002929043e-05
ADPDA	0.04616022636182608
ADSL2r	0.019685994783081872
ADSL1r	0.01975343404053261
ADSS	0.019753434040532612
ARGSL	0.02086088607755855
ARGSS	0.020860886077558552
AGPATr_BS	0.011628948880926426
AGPR	-0.02086088607755855
AICART	0.02851999713046147
AKGDH	0.8944288139446115
AIRC1	0.019685994783081875
ATPM	9.0
BIOMASS_BS_10	0.10807573309411175
EX_nh4_e	0.1460097660545939
ALAALAr	0.011003946916443177
AKP1	3.9663794045523794e-05
ALAR	0.03809118405328659
ALATA_L	-0.07794076028401437
CO2t	-5.16928687172555
ALCD19y	0.0
EX_o2_e	-4.420504585784995
ASAD	-0.1195760718526562
ASNS1	0.015993803513398314
ASPCT	0.013182537544154254
ASPK	0.11957607185265623
ASPO6	0.0018712232427920805
ASPTA	-0.22692067261236581
ATPPRT	0.0088340023473796
DADK	0.0
ATPS4r	15.027866864143618
EX_pi_e	-0.1658731220925474
DDPA	0.03106053338831524
CTPS1	0.006193712187890544
CYOR3m	8.825955410783044
CAT	0.007526880393473167
CAt4	-0.0003463827245666282
CYOO3	8.825955410783044
CYSTGL	0.0061592360290334295
CYSTS	0.00615923602903343
CBPS	0.03404342362171281
CYTDK1	2.8748145002929084e-05
CDGPT_BS	0.002247975248357524
CDPDSP_BS	0.006052241053270257
CDPMEK	0.00020123701502049754
CHORM	0.030992121449266778
CHORS	0.031060533388315235
CYTK1	0.058235095717497964
CYTOM	-2.874814500292903e-05
CITt10	0.0
CLPNS2_BS	5.4037866547055883e-05
DAPDC	0.0351562794453829
DAPE	0.04616022636182608
FRTT	2.874814500292887e-05
DGK1	0.0018803016043713566
DGNSK	0.0018803016043713566
DHAD1	0.07826790552808996
G3POA_BS	0.011628948880926426
DHAD2	0.0410317085993112
DHDPRy	0.04616022636182608
DHDPS	0.04616022636182609
G5SADs	0.017361501915704305
DHFR	0.0025432381511705173
DHFS	3.966379404552378e-05
DHNAOT7	2.874814500292879e-05
GGTT	2.874814500292887e-05
GCALDD	3.9663794045523794e-05
GAPD	3.101572885761258
DHNPA_1	3.9663794045523794e-05
DHORTS	-0.013182537544154256
DHORDi	0.013182537544154256
GK1	0.009315695889780045
GK2	-0.0024837964979688766
FE3t	0.0003728612791746855
DHQTi	0.03106053338831524
GLYt2r	0.0
DHQS	0.03106053338831524
H2Ot	-4.853059996539223
HCO3E	0.14405328003527682
FTHFD	0.0008149991032733935
FUM	0.954729128845785
G1PACT	0.035337954752714104
GRTT	2.874814500292887e-05
G3PCT	0.049817509169730816
G3PD1ir	0.0636403954324677
G5SD	0.017361501915704305
G6PDH2r	0.0
GLNS	0.17052329666039853
GLUPRT	0.019685994783081875
GLU5K	0.017361501915704305
GLUDxi	0.2835950376913668
GALUi	0.027193475582474928
DMATT	2.874814500292887e-05
GAPDi_nadp	0.0052110786456522
GLUR	-0.011003946916443179
GLUt4	0.0
GLUt2r	1.0
GARFT	0.019685994783081872
GF6PTA	0.0353379547527141
DMPPS	2.8748145002929016e-05
GHMT2r	0.06381201969661057
GLYCTO1	0.0
GLYCLTt2r	-3.966379404552379e-05
GLYK	5.403786654705589e-05
GMPS2	0.008766563089928863
IMPC	-0.028519997130461473
DRPA	-0.0018515534593684278
IPDPS	0.00017248887001757303
DTMPK	0.0024748262121220654
HXPRT	0.0
GTPCI	3.9663794045523794e-05
DURIK1	0.0
GUAPRT	-0.0018803016043713568
HACD2	0.0030235267090408724
HACD1_1	0.0030235267090408724
HEXTT	2.874814500292879e-05
DXPRIi	0.00020123701502049705
HISTD	0.008834002347379603
DXPS	0.00020123701502049708
HISTP	0.008834002347379601
ECOAH1_1	0.0030235267090408724
ECOAH2	0.0030235267090408724
Kt1	0.07633518719316826
