	fluxes
EX_ac_e	3.329636559674131
EX_fe3_e	-0.0005204615808444652
EX_glc__D_e	-1.6792933819956986
EX_alltn_e	0.0
EX_glu__L_e	-1.0
EX_ca2_e	-0.00048350126568304686
EX_cit_e	-0.765002368184269
EX_so4_e	-0.025693604232784335
EX_co2_e	7.700778443715581
EX_glyclt_e	5.536504352746765e-05
EX_trp__L_e	-0.008197043610656485
EX_h2o_e	6.52108271305498
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	4.0128342175254344e-05
FDH	0.0011929884583498588
EX_k_e	-0.10655311886649739
FBA	1.5387307891296673
FBA2	0.0
ACACT2r	0.004220415416146309
ACACT3r	0.004220415416146309
ACACT4r	0.004220415416146309
ACACT5r_1	0.004220415416146309
ACACT6r_1	0.004220415416146309
ACACT7r	0.0032464733970356215
ACACT1r	0.00422041541614631
ACCOAC	0.15355819167978493
ACGK	0.02911884486845783
FOLD3	5.536504352746764e-05
ALLTNt2r	0.0
ACt2r	-3.329636559674131
ACKr	-3.265203415965586
ACLDC	0.0025845066095731544
ALLTAHr	0.0
ACONT	0.7650023681842689
ACOAD2	0.00422041541614631
ACOAD1	0.00422041541614631
ACOADH2	2.3341050799167003e-17
ACOTA	-0.029118844868457838
APATi	0.06443314370854482
APSR	0.025693604232784335
APTA1i	0.06443314370854482
ACTD2	0.0025845066095731544
ADNK1	0.0
ADCL	5.536504352746766e-05
ALLTN	0.0
ADCS	5.536504352746765e-05
ADK1	0.2281747319366686
EX_mg2_e	-0.015344414270728676
AMMQT7	4.012834217525435e-05
ADPDA	0.06443314370854482
ADSL2r	0.027478862884298665
ADSL1r	0.027572998544138395
ADSS	0.027572998544138395
ARGSL	0.02911884486845784
ARGSS	0.029118844868457835
AGPATr_BS	0.016232366985178107
AGPR	-0.029118844868457838
AICART	0.0398098800311525
AKGDH	1.6176399321929718
AIRC1	0.02747886288429867
ATPM	9.0
BIOMASS_BS_10	0.15085842923027978
EX_nh4_e	-0.1920495154895401
ALAALAr	0.015359952688939398
AKP1	5.5365043527467644e-05
ALAR	0.053169902523782876
ALATA_L	-0.1087942716911424
CO2t	-7.700778443715581
ALCD19y	0.0
EX_o2_e	-5.7060100263040585
ASAD	-0.1669112746846739
ASNS1	0.022325086366501413
ASPCT	0.01840095690536339
ASPK	0.1669112746846739
ASPO6	0.0026119628436935415
ASPTA	-0.3167491466412178
ATPPRT	0.012331017146853838
ATPS4r	19.450258392288195
EX_pi_e	-0.23153540516463897
DDPA	0.04335610912706546
CTPS1	0.008645545720758086
CYOR3m	11.391007132859057
CAT	0.010506459874528465
CYOO3	11.391007132859059
CYSTGL	0.008597421881833649
CYSTS	0.008597421881833649
CBPS	0.047519801773821216
CYTDK1	4.012834217525436e-05
CDGPT_BS	0.0031378553279898195
CDPDSP_BS	0.00844807203689567
CDPMEK	0.00028089839522678047
CHORM	0.04326061574136274
CHORS	0.04335610912706546
CYTK1	0.08128795257272707
CYTOM	-4.012834217525435e-05
CITt10	0.015344414270728678
CLPNS2_BS	7.542921461513992e-05
CITt14	0.0004835012656830468
CITt2r	0.7491744526478573
DAPDC	0.0490731910196054
DAPE	0.06443314370854482
FRTT	4.012834217525435e-05
DGK1	0.0026246349517484078
DGNSK	0.0026246349517484073
DHAD1	0.10925092015642254
G3POA_BS	0.01623236698517811
DHAD2	0.05727445866628034
DHDPRy	0.0644331437085448
DHDPS	0.0644331437085448
G5SADs	0.024234199788410616
DHFR	0.0035500005566468985
DHFS	5.5365043527467644e-05
DHNAOT7	4.012834217525436e-05
GGTT	4.012834217525435e-05
GCALDD	5.536504352746764e-05
GAPD	4.076254565380255
DHNPA_1	5.5365043527467644e-05
DHORTS	-0.018400956905363395
DHORDi	0.01840095690536339
GK1	0.009536364745362862
FE3t	0.0005204615808444652
DHQTi	0.04335610912706546
GLYt2r	0.0
DHQS	0.04335610912706546
H2Ot	-6.52108271305498
HCO3E	0.20107799345360616
FTHFD	0.0011376234148223912
FUM	1.7018106384898672
G1PACT	0.04932678403914153
GRTT	4.012834217525436e-05
G3PCT	0.06953819295369748
G3PD1ir	0.08883298605225026
G5SD	0.024234199788410613
GLNS	0.23802639079912186
GLUPRT	0.027478862884298665
GLU5K	0.024234199788410616
GLUDxi	5.3549928278630684e-08
GALUi	0.03795824367077685
DMATT	4.012834217525436e-05
GAPDi_nadp	1.1414201781632525
GLUR	-0.015359952688939398
GLUt2r	1.0
GARFT	0.02747886288429867
GF6PTA	0.04932678403914153
DMPPS	4.012834217525436e-05
GHMT2r	0.08907254923787117
GLYCLTt2r	-5.536504352746765e-05
GLYK	7.542921461513992e-05
GMPS2	0.0122368814870141
IMPC	-0.03980988003115251
DRPA	-0.002584506609573154
IPDPS	0.00024077005305152616
DTMPK	0.003454507170944177
HXPRT	0.0
GTPCI	5.536504352746765e-05
DURIK1	0.0
GUAPRT	-0.002624634951748408
HACD2	0.00422041541614631
HACD1_1	0.00422041541614631
HEXTT	4.012834217525436e-05
DXPRIi	0.0002808983952267805
HISTD	0.012331017146853841
DXPS	0.0002808983952267805
HISTP	0.012331017146853843
ECOAH1_1	0.00422041541614631
