	fluxes
EX_ac_e	0.2665600367277413
EX_fe3_e	-0.0021531505389962946
EX_glc__D_e	-6.543410410772099
EX_glu__L_e	-1.0
EX_ca2_e	-0.002000245645647283
EX_cit_e	-1.0
EX_so4_e	-0.10629448904338926
EX_co2_e	27.7780147065629
EX_trp__L_e	-0.03391118483678339
EX_h2o_e	33.50124748435411
EX_h_e	-0.7399292484351663
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	0.0001660110270641624
FDH	0.00045809057844151883
EX_k_e	-0.44081045318827566
FBA	0.37893202720555774
FBA2	-0.00031205080275308625
ACACT2r	0.017459866515640687
ACACT3r	0.017459866515640684
ACACT4r	0.017459866515640684
ACACT5r_1	0.017459866515640684
ACACT6r_1	0.017459866515640684
ACACT7r	0.01343066655049283
ACACT1r	0.017459866515640687
ACCOAC	0.6352705278383111
ACGK	0.1204647159964069
FOLD3	0.0002290452892207594
ACt2r	-0.26656003672774126
ACLDC	0.010692108705532225
ACONT	2.8200992447024538
ACOAD2	0.017459866515640687
ACOAD1	0.017459866515640687
ACOADH2	-9.55245228874443e-17
ACOTA	-0.12046471599640689
APATi	0.26656003672774126
APSR	0.10629448904338924
APTA1i	0.26656003672774126
ACTD2	0.010692108705532225
ADADir	0.0
ADNK1	0.0
ADCL	0.0002290452892207594
ADCS	0.0002290452892207594
ADK1	0.9439592952425739
EX_mg2_e	-0.06347987070245481
AMMQT7	0.0001660110270641624
ADPDA	0.26656003672774126
ADSL2r	0.11368010744296089
ADSL1r	0.11406954684479677
ADSS	0.11406954684479678
ARGSL	0.12046471599640689
ARGSS	0.12046471599640687
AGPATr_BS	0.06715333275246416
AGPR	-0.12046471599640689
AICART	0.16469354857542995
AKGDH	3.210460569802282
AIRC1	0.11368010744296092
ATPM	9.0
BIOMASS_BS_10	0.6241016055061723
EX_nh4_e	-3.9315110879502146
ALAALAr	0.06354415316782194
AKP1	0.00022904528922075942
ALAR	0.21996398675904494
ALATA_L	-0.4500821066396752
CO2t	-27.778014706562903
ALCD19y	-0.00031205080275308625
EX_o2_e	-24.341264783612736
ASAD	-0.6952186075551952
ASNS1	0.09235892429404192
ASPCT	0.07612479333161529
ASPK	0.6952186075551952
ASPO6	0.010805695197741843
ASPTA	-1.3150981657001486
ATPPRT	0.051013441132469015
ATPS4r	80.79948883006868
EX_pi_e	-0.9578624067084223
DDPA	0.1793643050160514
CTPS1	0.035766638909953685
CS	1.8200992447024542
CYOR3m	48.595370033406894
CAT	0.043579766909288935
CAt4	-0.002000245645647283
CYOO3	48.595370033406894
