	fluxes
EX_ac_e	1.1249999999999993
EX_fe3_e	0.0
EX_glc__D_e	-0.28124999999999917
EX_glu__L_e	-0.5625000000000009
EX_ca2_e	0.0
EX_cit_e	0.0
EX_so4_e	0.0
EX_co2_e	2.2500000000000013
EX_trp__L_e	0.0
EX_h2o_e	1.1249999999999984
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	0.0
FDH	0.0
EX_k_e	0.0
FBA	0.28124999999999895
FBA2	0.0
ACACT2r	0.0
ACACT3r	0.0
ACACT4r	0.0
ACACT5r_1	0.0
ACACT6r_1	0.0
ACACT7r	0.0
ACACT1r	0.0
ACCOAC	0.0
ACGK	0.0
FOLD3	0.0
ACt2r	-1.1249999999999993
ACKr	-1.1249999999999993
ACLDC	0.0
ACONT	0.0
ACOAD2	0.0
ACOAD1	0.0
ACOADH2	0.0
ACOTA	0.0
APATi	0.0
APSR	0.0
APTA1i	0.0
ACTD2	0.0
ADNK1	0.0
ADCL	0.0
ADCS	0.0
ADK1	0.0
EX_mg2_e	0.0
AMMQT7	0.0
ADPDA	0.0
ADSL2r	0.0
ADSL1r	0.0
ADSS	0.0
ARGSL	0.0
ARGSS	0.0
AGPATr_BS	0.0
AGPR	0.0
AICART	0.0
AKGDH	0.5625000000000009
AIRC1	0.0
ATPM	9.0
BIOMASS_BS_10	0.0
EX_nh4_e	0.5625000000000009
ALAALAr	0.0
AKP1	0.0
ALAR	0.0
ALATA_L	0.0
CO2t	-2.2500000000000013
ALCD19y	0.0
EX_o2_e	-1.9687500000000004
ASAD	0.0
ASNS1	0.0
ASPCT	0.0
ASPK	0.0
ASPO6	0.0
ASPTA	0.0
ATPPRT	0.0
ATPS4r	6.750000000000001
EX_pi_e	0.0
DDPA	0.0
CTPS1	0.0
CYOR3m	3.9375000000000013
CAT	0.0
CYOO3	3.9375000000000013
CYSTGL	0.0
CYSTS	0.0
CBPS	0.0
CYTDK1	0.0
CDGPT_BS	0.0
CDPDSP_BS	0.0
CDPMEK	0.0
