	fluxes
EX_ac_e	1.7129803406876802
EX_fe3_e	-0.0001538104843348265
EX_glc__D_e	-0.6218344753624485
EX_glu__L_e	-1.0
EX_ca2_e	-0.00014288771080959973
EX_cit_e	0.0
EX_so4_e	-0.007593155492745019
EX_co2_e	3.7336083662775685
EX_cobalt2_e	0.0
EX_succ_e	0.0008632669363520576
EX_glyclt_e	1.6361868913301416e-05
EX_trp__L_e	-0.002422448254149894
EX_h2o_e	2.42905155958978
3AMPt6	0.0
PHEt2r	1.2924697071141057e-26
2S6HCCi	1.1859011255953227e-05
FDH	1.636186891330142e-05
EX_k_e	-0.03148933067
FBA	0.5802944246001949
ACACT2r	0.0012472469883336547
ACACT3r	0.0012472469883336545
ACACT4r	0.0012472469883336545
ACACT5r_1	0.0012472469883336543
ACACT6r_1	0.001247246988333654
ACACT7r	0.000959420760256657
ACACT1r	0.0012472469883336547
ACCOAC	0.045380601960139884
ACGK	0.00860540681066451
FOLD3	1.636186891330142e-05
ACt2r	-1.7129803406876802
ACKr	-1.6939386027270287
ACLDC	0.0007637916572823984
ACOAD2	0.0012472469883336547
ACOAD1	0.0012472469883336547
ACOADH2	-1.8840393546366505e-16
ACOTA	-0.008605406810664509
APATi	0.01904173796065153
APSR	0.007593155492745017
APTA1i	0.01904173796065153
ACTD2	0.0007637916572823982
ADNK1	-1.2924697071141057e-26
ADCL	1.636186891330142e-05
ADCS	1.636186891330142e-05
ADK1	0.06743180923210601
EX_mg2_e	-0.004534689740183347
AMMQT7	1.1859011255953222e-05
ADPDA	0.01904173796065153
ADSL2r	0.008120747745385237
ADSL1r	0.00814856738081275
ADSS	0.00814856738081275
ARGSL	0.008605406810664509
ARGSS	0.008605406810664507
AGPATr_BS	0.004797103801283285
AGPR	-0.008605406810664509
AICART	0.011764897072644479
AKGDH	0.956450411544681
AIRC1	0.008120747745385237
ATPM	9.0
BIOMASS_BS_10	0.044582749082558416
EX_nh4_e	0.6477171032854315
ALAALAr	0.0045392817633388505
AKP1	1.636186891330142e-05
ALAR	0.015713145331398625
ALATA_L	-0.03215165199037048
CO2t	-3.7336083662775685
ALCD19y	0.0
EX_o2_e	-3.1314138327724956
ASAD	-0.049662997923267824
ASNS1	0.006597667288480572
ASPCT	0.005437980819345058
ASPK	0.049662997923267824
