	fluxes
EX_ac_e	0.5745511536768113
EX_acac_e	0.22896276793646347
EX_fe3_e	-0.00014317198656499386
EX_glc__D_e	-0.7427157540391534
EX_glu__L_e	-1.0
EX_ca2_e	-0.0001330047005625523
EX_cit_e	-0.9879843034437726
EX_so4_e	-0.007067965235885072
EX_co2_e	4.069956837263407
EX_succ_e	1.9474468776616458
EX_trp__L_e	-0.0022548965397088433
EX_h2o_e	2.916936298354403
3AMPt6	0.0
3CMPt6	0.0
PHEt2r	0.0
ACACt2	-0.22896276793646347
2S6HCCi	1.1038767659793732e-05
FDH	0.0003434052721219797
EX_k_e	-0.02931133106512869
FBA	0.7040488737197579
FBA2	0.0
ACACT2r	0.0011609795640992089
ACACT3r	0.0011609795640992089
ACACT4r	0.0011609795640992087
ACACT5r_1	0.0011609795640992087
ACACT6r_1	0.0011609795640992085
ACACT7r	0.0008930612031532373
ACACT1r	0.2301237475005627
ACCOAC	0.042241794909148124
ACGK	0.008010202903988892
FOLD3	1.5230179440397796e-05
ACt2r	-0.5745511536768113
ACKr	0.0
ACLDC	0.5575374247759582
ACONT	0.9879843034437725
ACOAD2	0.0011609795640992089
ACOAD1	0.001160979564099209
ACOADH2	5.0804946685710414e-17
ACOTA	-0.008010202903988895
ARGKr	0.0
ARGPt6	0.0
APATi	0.01772469193674624
APSR	0.007067965235885072
APTA1i	0.017724691936746244
ACTD2	0.5575374247759582
ADNK1	0.0
ADCL	1.5230179440397794e-05
ADCS	1.5230179440397794e-05
ADK1	0.0627678023847657
EX_mg2_e	-0.0042210421569483444
AMMQT7	1.1038767659793732e-05
ADPDA	0.017724691936746244
ADSL2r	0.007559065899367592
ADSL1r	0.007584961354328907
ADSS	0.007584961354328907
ARGSL	0.008010202903988893
ARGSS	0.008010202903988892
AGPATr_BS	0.004465306015766186
AGPR	-0.008010202903988893
AICART	0.01095116300366789
AKGDH	1.9474468776616458
AIRC1	0.007559065899367591
ATPM	9.0
BIOMASS_BS_10	0.041499126540577934
EX_nh4_e	0.6720831978806917
ALAALAr	0.004225316566982024
AKP1	1.5230179440397794e-05
ALAR	0.014626325650100153
ALATA_L	-0.029927842089015503
CO2t	-4.069956837263407
ALCD19y	0.0
EX_o2_e	-2.9661683082273713
ASAD	-0.045915048595760836
ASNS1	0.006141331239360507
ASPCT	0.005061855959786985
ASPK	0.045915048595760836
ASPO6	0.0007185158769236132
ASPTA	-0.08713343354529443
ATPPRT	0.0033920971043003
ATPS4r	10.543970365349887
EX_pi_e	-0.06369227842671286
DDPA	0.011926682971255941
CTPS1	0.0023782734429139774
CYOR3m	5.926541014438593
CAT	0.002897801008075498
CAt4	-0.0001330047005625523
CYOO3	5.926541014438592
CYSTGL	0.002365035221547537
CYSTS	0.002365035221547537
CBPS	0.013072058863775878
CYTD	0.0
CYTDK1	1.1038767659793734e-05
CDGPT_BS	0.0008631818320440209
CDPDSP_BS	0.002323951086272364
CDPMEK	7.727137361855615e-05
CHORM	0.011900414024155752
CHORS	0.011926682971255943
CYTK1	0.022361223348618856
CYTOM	-1.1038767659793732e-05
CLPNS2_BS	2.0749563270288973e-05
CITt2r	0.9879843034437725
DAPDC	0.013499375369764218
DAPE	0.017724691936746244
FRTT	1.1038767659793734e-05
DGK1	0.000722001803552975
DGNSK	0.000722001803552975
DHAD1	0.030053459945053946
G3POA_BS	0.004465306015766187
DHAD2	0.00455461213608151
DHDPRy	0.017724691936746237
DHDPS	0.017724691936746237
G5SADs	0.00666650268573149
DHFR	0.0009765574457528853
DHFS	1.5230179440397794e-05
DHNAOT7	1.1038767659793732e-05
GGTT	1.1038767659793734e-05
GCALDD	1.5230179440397794e-05
GAPD	1.3688629239073287
DHNPA_1	1.523017944039779e-05
DHORTS	-0.005061855959786986
DHORDi	0.005061855959786986
GK1	0.0026233257851360995
FE3t	0.00014317198656499386
DHQTi	0.011926682971255943
GLYt2r	0.0
DHQS	0.011926682971255945
H2Ot	-2.916936298354403
HCO3E	0.11929305716053303
FTHFD	0.00031294491324118407
FUM	0.023154230157685397
G1PACT	0.013569135401478931
GRTT	1.1038767659793734e-05
G3PCT	0.019129022378879403
G3PD1ir	0.02443676066341932
G5SD	0.006666502685731491
GLNS	0.06547786134437154
GLUPRT	0.007559065899367594
GLU5K	0.006666502685731491
GLUDxi	0.7632206331511273
GALUi	0.010441802724507517
DMATT	1.1038767659793734e-05
GLUR	-0.0042253165669820245
GLUt2r	1.0
GARFT	0.007559065899367593
GF6PTA	0.013569135401478935
DMPPS	1.1038767659793734e-05
GHMT2r	0.024502661276367077
GLYCTO1	1.5230179440397794e-05
GLYK	2.0749563270288973e-05
GMPS2	0.0033662016493389854
IMPC	-0.010951163003667892
DRPA	-0.0007109630358931813
IPDPS	6.62326059587624e-05
DTMPK	0.0009502884986526942
GTPCI	1.5230179440397794e-05
DURIK1	0.0
GUAPRT	-0.0007220018035529751
HACD2	0.0011609795640992089
HACD1_1	0.0011609795640992089
HEXTT	1.1038767659793734e-05
DXPRIi	7.727137361855614e-05
HISTD	0.0033920971043003
DXPS	7.727137361855614e-05
HISTP	0.0033920971043002995
ECOAH1_1	0.0011609795640992089
ECOAH2	0.0011609795640992089
Kt1	0.02931133106512869
HPPK	1.5230179440397797e-05
ECOAH2c	1.0160989337142083e-16
HSDy	-0.0281903566590146
HSK	0.007731992759660861
HSST	0.02045836389935374
ECOAH3	0.0011609795640992087
HSTPTr	0.0033920971043002995
ECOAH4	0.0011609795640992087
ICDHyr	0.9879843034437726
IG3PS_1	0.0033920971043003
IGPDH_1	0.0033920971043003
ILEDHr	-0.011200821748934688
IMPD	0.003366201649338986
ECOAH5_1	0.0011609795640992085
ECOAH6	0.0011609795640992085
LIPO1S24_BS	2.904938857840455e-07
IPMD	0.016788430142864262
ECOAH7	0.0008930612031532373
IPPS	0.016788430142864262
LIPO2S24_BS	2.4899475924346767e-07
LIPO4S24_BS	6.224868981086692e-07
IPPMIa	-0.016788430142864266
IPPMIb	-0.01678843014286426
KARA1	-0.030053459945053946
KARA2	0.0157554338850162
LYSLG_BS	9.129807838927147e-05
KAS1	8.930612031532375e-05
ENO	1.3306986256764235
MECDPS	7.727137361855614e-05
LLEUDr	-0.014377164894350522
METS	0.004702930014337535
O2t	2.9661683082273713
LIPO3S24_BS	7.469842777304029e-07
OMCDC	0.016788430142864262
MGt5	-0.0042210421569483444
PAP_BS	0.0012781730974498005
MTHFC	0.018838403995717058
MTHFD	0.018838403995717058
PGPPH_BS	0.0008631818320440209
MTHFR3	0.004702930014337535
MCSNAH	-1.1038767659793734e-05
NADK	4.772399552154962e-05
NADH4	5.926541014438593
MDH	0.023154230157685397
ORNTAC_1	0.008010202903988892
NADS1	0.0007185158769236132
MECDPDH2	7.727137361855615e-05
MEPCT	7.727137361855612e-05
NDPK7	0.0007212548192752446
NDPK3	0.02162955224858193
NDPK4	0.0009502884986526941
NDPK5	0.000722001803552975
NDPK1	0.010200817296687701
NDPK2	0.02811146681946095
PPTGS_BS	0.0042253165669820245
PPTT	1.1038767659793734e-05
PGI	0.7322739513146458
PYNP1	1.1038767659793734e-05
PHETA1	-0.0073013148244227425
NDPK8	0.0009537329261555622
NH4t	-0.6720831978806918
NNATr	0.0007185158769236133
SO4t2	0.007067965235885072
PIt2r	0.06369227842671288
NNDPR	0.0007185158769236133
NPHS	1.1038767659793734e-05
SUCCt2r	-1.9474468776616458
QULNS	0.0007185158769236132
PPA	0.10593079490486033
OCBT_1	0.008010202903988892
PPM	-1.1038767659793734e-05
PPM2	-0.0007109630358931813
PPND	0.00459909919973301
RNDR4	0.0009613272663124879
RPE	-0.014655942193408841
RPI	-0.014655942193408841
SADT	0.007067965235885072
PPNDH	0.007301314824422742
PRAGSr	0.007559065899367594
PRAIS_1	0.007559065899367593
PRATPP	0.0033920971043003
PRASCSi	0.007559065899367593
PRFGS_1	0.007559065899367593
PRMICI	0.003392097104300299
OMPDC	0.0050618559597869865
SHK3Dr	0.011926682971255941
SHKK	0.011926682971255941
PRO1x	0.7105199814179266
PRPPS	0.0160095330368255
SHSL2	0.007067965235885073
OCOAT1	-0.2289627679364635
SHSL4r	0.013390398663468663
PSCVT	0.011926682971255945
PSDC_BS	0.002323951086272364
PSERT	0.03816429823090496
ORPT	-0.005061855959786986
PYK	0.5599041891277765
OIVD1r	0.0024112652485137414
SUCBZL	1.103876765979373e-05
SUCBZS	1.103876765979373e-05
OIVD2	0.000535836721892044
SUCOAS	-2.155951281698756
OIVD3	0.004554612136081511
P5CR	0.7171864841036582
OXADC	1.5230179440397796e-05
TMDPP	1.1038767659793732e-05
UAGDP	0.01356913540147893
TYRTA	-0.004599099199733009
TECA1S45	0.00015039283458305445
SULR_1	-0.007067965235885072
TALA	-0.001364629611076453
TECA4S_BS	0.00012914528179427858
THRS	0.007731992759660861
TKT1	-0.001364629611076453
TKT2	-0.013291312582332392
TMDS	0.0009613272663124879
TPI	0.678893597179415
TRDR	0.009704280247628367
TRPt2r	0.0022548965397088433
UAAGDS	0.004225316566982024
UAG2E	0.00032327819575110215
UAGPT3	0.004225316566982024
UAG4E	0.003874358453828357
UAGCVT	0.004225316566982024
UAMAGS	0.004225316566982024
UAMAS	0.0042253165669820245
UAPGR	0.0042253165669820245
UDCPDP	0.0042253165669820245
UGMDDS	0.004225316566982023
UGT1_BS	0.00035689248824897026
UGT2_BS	0.0002738942351678145
UGT_BS	0.0006473863740330158
ACLS	0.5875908847210122
ACHBS	0.015755433885016195
3NUCLE1	0.0
NTD5	1.103876765979373e-05
URIDK2r_copy2	-0.0009613272663124879
VALDHr	-0.012729193080297633
UMPK	0.01348480917634847
ALDD2x	0.5568264617400651
GLXO1	1.5230179440397794e-05
FACOAL140_ISO	8.930612031532375e-05
FACOAL150_ISO	0.0017861224063064744
ACOAD3	-0.0011609795640992087
ACOAD4_1	-0.0011609795640992087
ACOAD5_1	-0.0011609795640992085
ACOAD6	-0.0011609795640992085
ACOAD7	-0.0008930612031532371
DADNK	0.0
DHAD3	0.011200821748934688
GLCpts	0.7427157540391534
HACD3	0.0011609795640992087
HACD4	0.0011609795640992085
HACD5	0.0011609795640992085
HACD6	0.0011609795640992082
HACD7	0.0008930612031532372
ICHORS	1.1038767659793732e-05
FACOAL170_ISO	0.0006251428422072664
FACOAL170_anteiso	0.0015182040453605033
FACOAL180_2	0.0002679183609459712
KAS13	0.0002679183609459712
FACOAL150_anteiso	0.003036408090721007
FACOAL160_ISO	0.0004465306015766186
KAS3	0.0017861224063064748
KAS4	0.003036408090721007
KAS6	0.0004465306015766187
KAS11	0.0006251428422072662
PUNP1	0.0
PUNP2	0.0
KAS12	0.0015182040453605033
PAPPT3	0.0042253165669820245
PC	0.06397920338760904
PUNP4	-0.0007220018035529751
PFK	0.704048873719758
PRAMPC_1	0.0033920971043003
PSP_L	0.038164298230904954
PGAMT	-0.013569135401478931
TECA2S45	9.739844999073641e-05
RNDR1	0.0009537329261555621
PGMT	-0.010441802724507518
PGCD	0.03816429823090497
RNDR3	0.0007212548192752445
TECA3S45	7.548691117731126e-05
PGK	-1.3688629239073289
PGM	-1.3306986256764235
PHCYT_BS	0.0031871329183163852
