	fluxes
EX_ac_e	1.7133980797240227
EX_fe3_e	-0.00015366538745708862
EX_glc__D_e	-0.6219283151634516
EX_glu__L_e	-0.999202860692149
EX_ca2_e	-0.00014275291791303457
EX_so4_e	-0.0075859925014902935
EX_co2_e	3.734315160063896
EX_succ_e	-3.26275419688296e-09
EX_trp__L_e	-0.002420163041411122
EX_h2o_e	2.429834130914773
2S6HCCi	1.1847824076401619e-05
FDH	0.0003685742264560111
EX_k_e	-0.03145962525959166
FBA	0.5804274511425583
ACACT2r	0.0012460703998549317
ACACT3r	0.0012460703998549317
ACACT4r	0.0012460703998549317
ACACT5r_1	0.0012460703998549317
ACACT6r_1	0.0012460703998549317
ACACT7r	0.000958515692196101
ACACT1r	0.0012460703998549317
ACCOAC	0.045337792240875585
ACGK	0.008597288913726001
FOLD3	1.6346433970179707e-05
ACt2r	-1.7133980797240225
ACKr	-1.6943743047568351
ACLDC	0.000763071135627491
ACODA_1	-5.583448455217623e-20
ACOAD2	0.0012460703998549319
ACOAD1	0.0012460703998549319
ACOADH2	-1.1032311722447754e-16
ACOTA	-0.008597288913726001
APATi	0.019023774967187577
APSR	0.007585992501490294
APTA1i	0.019023774967187577
ACTD2	0.0007630711356274909
ADCL	1.6346433970179707e-05
ADCS	1.6346433970179707e-05
ADK1	0.06736819754122061
EX_mg2_e	-0.004530411947771105
AMMQT7	1.1847824076401616e-05
ADPDA	0.01902377496718758
ADSL2r	0.008113087050795244
ADSL1r	0.008140880442613189
ADSS	0.008140880442613189
ARGSL	0.008597288913726004
ARGSS	0.008597288913726004
AGPATr_BS	0.004792578460980504
AGPR	-0.008597288913726001
AICART	0.011753798675535814
AKGDH	0.9556943546723933
AIRC1	0.008113087050795246
ATPM	9.0
BIOMASS_BS_10	0.04454069201654744
EX_nh4_e	0.6472522894924952
ALAALAr	0.004534999639048811
AKP1	1.6346433970179707e-05
ALAR	0.015698322360540126
ALATA_L	-0.03212132178018948
CO2t	-3.734315160063896
EX_o2_e	-3.132176200128871
ASAD	-0.04928026705402826
ASNS1	0.006591443389452806
ASPCT	0.005432850908718366
ASPK	0.04928026705402826
ASPO6	0.0007711775415756927
ASPTA	-0.0935196412890468
ATPPRT	0.0036407116247405705
ATPS4r	10.63287671108772
EX_pi_e	-0.06836043053729433
DDPA	0.012800816722787772
CTPS1	0.0025525825187763104
CYOR3m	6.258132025373479
CAT	0.0031101874421321177
CAt4	-0.00014275291791303457
CYOO3	6.25813202537348
CYSTGL	0.0025383740380230386
CYSTS	0.0025383740380230386
CBPS	0.014030139822444365
CYTDK1	1.1847824076401616e-05
CDGPT_BS	0.0009264463939441866
CDPDSP_BS	0.0024942787529266563
CDPMEK	8.293476853481134e-05
CHORM	0.012772622464741194
CHORS	0.012800816722787772
CYTK1	0.02400012832342836
CYTOM	-1.1847824076401614e-05
CLPNS2_BS	2.227034600827372e-05
DAPDC	0.014488775328138767
DAPE	0.01902377496718758
FRTT	1.1847824076401619e-05
DGK1	0.0007749189597038923
DGNSK	0.0007749189597038923
DHAD1	0.032256146454923355
G3POA_BS	0.004792578460980505
DHAD2	0.016910185508926347
DHDPRy	0.019023774967187573
DHDPS	0.019023774967187577
G5SADs	0.007155105846922195
DHFR	0.001048131564533501
DHFS	1.6346433970179707e-05
DHNAOT7	1.1847824076401617e-05
GGTT	1.1847824076401617e-05
GCALDD	1.6346433970179707e-05
GAPD	1.1187444692001753
DHNPA_1	1.6346433970179703e-05
DHORTS	-0.005432850908718366
DHORDi	0.005432850908718365
GK1	0.002815595305134137
FE3t	0.00015366538745708864
DHQTi	0.012800816722787772
DHQS	0.012800816722787774
H2Ot	-2.429834130914773
HCO3E	0.05936793206331996
FTHFD	0.008448968409310897
FUM	0.9805456143422908
G1PACT	0.01456364823141858
GRTT	1.184782407640162e-05
G3PCT	0.02053103198502754
G3PD1ir	0.026227786493943958
G5SD	0.007155105846922195
GLNS	0.07027688289266722
GLUPRT	0.008113087050795244
GLU5K	0.007155105846922195
GLUDxi	0.7039545947606644
GALUi	0.011207106221743583
DMATT	1.1847824076401619e-05
GLUR	-0.00453499963904881
GLUt2r	0.999202860692149
GART	0.008113087050795246
GF6PTA	0.01456364823141858
DMPPS	1.1847824076401619e-05
GHMT2r	0.02629851711284736
GLYCTO1	1.6346433970179707e-05
GLYK	2.2270346008273725e-05
GMPS2	0.003612918232922352
IMPC	-0.011753798675535814
DRPA	-0.0007630711356274908
IPDPS	7.108694445840972e-05
DTMPK	0.0010199373064869197
GTPCI	1.6346433970179707e-05
GUAPRT	-0.0007749189597038925
HACD2	0.0012460703998549317
HACD1_1	0.0012460703998549317
HEXTT	1.1847824076401617e-05
DXPRIi	8.293476853481133e-05
HISTD	0.0036407116247405705
DXPS	8.293476853481135e-05
HISTP	0.0036407116247405714
ECOAH1_1	0.0012460703998549319
ECOAH2	0.0012460703998549317
Kt1	0.03145962525959166
HPPK	1.634643397017971e-05
ECOAH2c	-2.206462344489551e-16
HSDy	-0.030256492086840673
HSK	0.008298688114447068
HSST	0.021957803972393608
ECOAH3	0.0012460703998549317
HSTPTr	0.0036407116247405714
ECOAH4	0.0012460703998549317
IG3PS_1	0.0036407116247405714
IGPDH_1	0.0036407116247405714
IMPD	0.003612918232922352
ILETA	-0.012021755478726234
ECOAH5_1	0.0012460703998549317
ECOAH6	0.0012460703998549319
LIPO1S24_BS	3.1178484411583207e-07
IPMD	0.01801889241460225
ECOAH7	0.0009585156921961011
IPPS	0.018018892414602253
LIPO2S24_BS	2.672441520992846e-07
LIPO4S24_BS	6.681103802482115e-07
IPPMIa	-0.01801889241460225
IPPMIb	-0.018018892414602247
KARA1	-0.03225614645492336
KARA2	0.01691018550892635
LYSLG_BS	9.798952243640435e-05
KAS1	9.585156921961009e-05
ENO	1.0777830226534046
MECDPS	8.293476853481134e-05
LEUTA	-0.015430900045672777
METS	0.005047618463467254
O2t	3.1321762001288715
LIPO3S24_BS	8.017324562978538e-07
OMCDC	0.01801889241460225
MGt5	-0.004530411947771106
PAP_BS	0.0013718533141096612
MTHFC	0.02021911351881679
MTHFD	0.02021911351881679
PGPPH_BS	0.0009264463939441866
MTHFR3	0.005047618463467254
MCSNAH	-1.1847824076401616e-05
NADK	5.122179581949896e-05
NADH4	5.302437667438323
MDH	0.0935196412890468
ORNTAC_1	0.008597288913726001
ME2	0.8870259730532439
NADS1	0.0007711775415756924
MECDPDH2	8.293476853481134e-05
MEPCT	8.293476853481133e-05
NDPK7	0.0007741172272475945
NDPK3	0.02321483138248461
NDPK4	0.0010199373064869197
NDPK5	0.0007749189597038924
NDPK1	0.010948458423184348
NDPK2	0.03017182023131721
PPTGS_BS	0.004534999639048811
PPTT	1.1847824076401617e-05
PGI	0.6107212089417079
PYNP1	1.1847824076401616e-05
PHETA1	-0.00783644481269934
NDPK8	0.0010236341839242932
NH4t	-0.6472522894924952
PTAr	1.6943743047568351
NNATr	0.0007711775415756926
SO4t2	0.007585992501490295
PIt2r	0.06836043053729433
NNDPR	0.0007711775415756926
NPHS	1.1847824076401619e-05
SUCCt2r	3.2627541968829603e-09
QULNS	0.0007711775415756926
PPA	0.11369470406349994
OCBT_1	0.008597288913726004
PPM	-1.1847824076401614e-05
PPM2	-0.0007630711356274908
PPND	0.0049361776520418545
RNDR4	0.0010317851305633213
RPE	-0.01573010956773084
RPI	-0.01573010956773084
SADT	0.007585992501490294
PPNDH	0.007836444812699338
PRAGSr	0.008113087050795244
PRAIS_1	0.008113087050795246
PRATPP	0.0036407116247405705
PRASCSi	0.008113087050795244
PRFGS_1	0.008113087050795244
PRMICI	0.0036407116247405714
OMPDC	0.005432850908718365
SHK3Dr	0.012800816722787772
SHKK	0.012800816722787772
PRO1x	0.5892256590912125
PRPPS	0.017182908166125978
SHSL2	0.0075859925014902935
SHSL4r	0.014371811470903311
PSCVT	0.012800816722787774
PSDC_BS	0.002494278752926656
PSERT	0.04096144654677083
ORPT	-0.005432850908718365
PYK	0.4257180744053285
OIVD1r	0.002587992368929473
SUCBZL	1.1847824076401619e-05
SUCBZS	1.1847824076401619e-05
SUCD1	0.9556943579351542
OIVD2	0.0005751094153174399
SUCD5_BS	0.9556943579351542
SUCOAS	-0.9337365506999997
OIVD3	0.004888430030200115
P5CR	0.5963807649381297
OXADC	1.6346433970179703e-05
TMDPP	1.1847824076401614e-05
UAGDP	0.01456364823141858
TYRTA	-0.004936177652041854
TECA1S45	0.0001614154678679679
SULR_1	-0.0075859925014902935
TALA	-0.0014646464224715343
TECA4S_BS	0.00013861063355549564
THRS	0.00829868811444707
TKT1	-0.0014646464224715343
TKT2	-0.014265463145259307
TMDS	0.0010317851305633211
TPI	0.5534284871070387
TRDR	0.010415529043225503
TRPt2r	0.0024201630414111214
UAAGDS	0.004534999639048811
UAG2E	0.0003469719908089045
UAGPT3	0.00453499963904881
UAG4E	0.004158319006664869
UAGCVT	0.00453499963904881
UAMAGS	0.004534999639048811
UAMAS	0.00453499963904881
UAPGR	0.00453499963904881
UDCPDP	0.004534999639048811
UGMDDS	0.004534999639048811
UGT1_BS	0.00038304995134230793
UGT2_BS	0.00029396856730921314
UGT_BS	0.0006948347954581401
ACLS	0.033019217590550855
ACHBS	0.01691018550892635
NTD5	1.1847824076401614e-05
URIDK2r_copy2	-0.0010317851305633213
VALTA	-0.013662144625003661
UMPK	0.014473141545240946
GLXO1	1.6346433970179703e-05
FACOAL140_ISO	9.58515692196101e-05
FACOAL150_ISO	0.0019170313843922017
ACOAD3	-0.0012460703998549319
ACOAD4_1	-0.0012460703998549319
ACOAD5_1	-0.0012460703998549319
ACOAD6	-0.0012460703998549319
ACOAD7	-0.0009585156921961011
GLCpts	0.6219283151634515
HACD3	0.0012460703998549317
HACD4	0.0012460703998549317
HACD5	0.0012460703998549317
HACD6	0.0012460703998549317
HACD7	0.000958515692196101
ICHORS	1.1847824076401616e-05
FACOAL170_ISO	0.0006709609845372708
FACOAL170_anteiso	0.0016294766767333715
FACOAL180_2	0.00028755470765883033
KAS13	0.00028755470765883033
FACOAL150_anteiso	0.003258953353466745
FACOAL160_ISO	0.0004792578460980504
KAS3	0.0019170313843922017
KAS4	0.0032589533534667444
KAS6	0.0004792578460980505
KAS11	0.0006709609845372707
KAS12	0.0016294766767333715
PAPPT3	0.004534999639048811
PDH	1.800523904674131
PUNP4	-0.0007749189597038925
PFK	0.5804274511425582
PRAMPC_1	0.0036407116247405714
PSP_L	0.04096144654677083
PGAMT	-0.01456364823141858
TECA2S45	0.00010453700416283684
RNDR1	0.0010236341839242932
PGMT	-0.011207106221743585
PGCD	0.04096144654677083
RNDR3	0.0007741172272475944
TECA3S45	8.101951877809979e-05
PGK	-1.1187444692001756
PGM	-1.0777830226534046
PHCYT_BS	0.003420725146870843
