	fluxes
EX_ac_e	3.6992495377053634
EX_fe3_e	-0.0006037691586111511
EX_glc__D_e	-1.91982940112847
EX_glu__L_e	-1.0
EX_ca2_e	-0.0005608927980720982
EX_cit_e	-0.9396925655789156
EX_so4_e	-0.029806245802323716
EX_co2_e	8.603778770963153
EX_trp__L_e	-0.009509101739795798
EX_h2o_e	7.450904381577935
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	4.655147715692138e-05
FDH	0.0014481709529122547
EX_k_e	-0.12360852230636504
FBA	1.7547688884807238
FBA2	0.0
ACACT2r	0.0048959553569001635
ACACT3r	0.0048959553569001635
ACACT4r	0.0048959553569001635
ACACT5r_1	0.0048959553569001635
ACACT6r_1	0.0048959553569001635
ACACT7r	0.0037661195053078182
ACACT1r	0.004895955356900164
ACCOAC	0.1781374526010598
ACGK	0.033779746888197966
FOLD3	6.422703803196448e-05
ACt2r	-3.699249537705364
ACKr	-3.624502915869303
ACONT	0.9396925655789156
ACOAD2	0.004895955356900164
ACOAD1	0.004895955356900164
ACOADH2	2.6519917751502304e-17
ACOTA	-0.03377974688819796
ARGKr	-5.169878828456423e-26
ARGPt6	0.0
APATi	0.07474662183606051
APSR	0.029806245802323716
APTA1i	0.0747466218360605
ADNK1	-5.169878828456423e-26
ADCL	6.422703803196448e-05
ADCS	6.422703803196448e-05
ADK1	0.26769566943392437
EX_mg2_e	-0.0178005148402826
AMMQT7	4.6551477156921405e-05
ADPDA	0.07474662183606051
ADSL2r	0.03187726151912473
ADSL1r	0.0319864649843344
ADSS	0.031986464984334405
ARGSL	0.03377974688819796
ARGSS	0.03377974688819796
AGPATr_BS	0.01883059752653909
AGPR	-0.03377974688819796
AICART	0.04618204043382529
AKGDH	1.768742591048627
AIRC1	0.03187726151912474
ATPM	9.0
BIOMASS_BS_10	0.17500555322062353
EX_nh4_e	-0.38285468030538616
ALAALAr	0.017818540412264227
AKP1	6.422703803196447e-05
ALAR	0.06168053222705554
ALATA_L	-0.1262084048050106
CO2t	-8.603778770963151
ALCD19y	-5.169878828456423e-26
EX_o2_e	-6.291358063475567
ASAD	-0.19362789413883003
ASNS1	0.025898546804460413
ASPCT	0.02134630235408554
ASPK	0.19362789413883003
ASPO6	0.0030300461484619907
ASPTA	-0.36744953479189235
ATPPRT	0.014304778914700547
DADK	0.0
ATPS4r	21.455662530538447
EX_pi_e	-0.2685960730052207
DDPA	0.050295895973394546
