	fluxes
EX_ac_e	3.351396932897316
EX_fe3_e	-0.0005204615941428089
EX_glc__D_e	-1.6877071358963427
EX_alltn_e	0.0
EX_glu__L_e	-1.0
EX_ca2_e	-0.00048350127803701545
EX_cit_e	-0.7722558341474314
EX_so4_e	-0.025693604889283087
EX_co2_e	7.751260880885126
EX_succ_e	0.0
EX_glyclt_e	5.5365044942151504e-05
EX_trp__L_e	-0.008197043820099614
EX_h2o_e	6.557058278351193
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	4.012834320039979e-05
FDH	0.0011929884888228221
EX_k_e	-0.10655312158904223
FBA	1.551785648846494
FBA2	0.0
ACACT2r	0.004220415523982386
ACACT3r	0.004220415523982386
ACACT4r	0.004220415523982386
ACACT5r_1	0.004220415523982386
ACACT6r_1	0.004220415523982386
ACACT7r	0.0032464734799864496
ACACT1r	0.004220415523982385
ACCOAC	0.15355819560335912
ACGK	0.02911884561247511
FOLD3	5.53650449421515e-05
ALLTNt2r	0.0
ACt2r	-3.351396932897317
ACKr	-3.27836636544093
ACLDC	0.009546170787177628
ALLTAHr	0.0
ACONT	0.7722558341474314
ACOAD2	0.004220415523982385
ACOAD1	0.004220415523982385
ACOADH2	-5.398927004393564e-17
ACOTA	-0.029118845612475113
APATi	0.06443314535487976
APSR	0.025693604889283087
APTA1i	0.06443314535487975
ACTD2	0.009546170787177628
ADCL	5.5365044942151504e-05
ALLTN	0.0
ADCS	5.5365044942151504e-05
ADK1	0.22470770925763625
EX_mg2_e	-0.015344414662794684
AMMQT7	4.0128343200399794e-05
ADPDA	0.06443314535487975
ADSL2r	0.027478863586422
ADSL1r	0.027572999248666963
ADSS	0.027572999248666963
ARGSL	0.029118845612475117
ARGSS	0.029118845612475113
AGPATr_BS	0.016232367399932248
AGPR	-0.02911884561247511
AICART	0.039809881048346374
AKGDH	1.624893394390868
AIRC1	0.027478863586422
ATPM	9.0
BIOMASS_BS_10	0.15085843308487218
EX_nh4_e	-0.19204954594771254
ALAALAr	0.015359953081402429
AKP1	5.5365044942151504e-05
ALAR	0.0531699038823301
ALATA_L	-0.1087942744709511
CO2t	-7.751260880885126
ALCD19y	0.0
EX_o2_e	-5.745612255655901
ASAD	-0.16691127894943342
ASNS1	0.022325086936930975
ASPCT	0.018400957375527265
ASPK	0.16691127894943342
ASPO6	0.00261196291043194
ASPTA	-0.31674915473451193
ATPPRT	0.012331017461924365
