	fluxes
EX_ac_e	0.324314432603494
EX_fe3_e	-0.0026196642375080287
EX_glc__D_e	-7.490101277028184
EX_glu__L_e	-1.0000000000037723
EX_ca2_e	-0.0024336301104965893
EX_cit_e	-0.9260400726015776
EX_so4_e	-0.1293248505146138
EX_co2_e	28.113698678857176
EX_succ_e	0.007382039272114293
EX_glyclt_e	0.0
EX_trp__L_e	-0.04125857275630037
EX_h2o_e	36.098923618066046
EX_h_e	0.41972548693829753
3CMPt6	0.0
PHEt2r	0.0
2S6HCCi	0.0002019799093268834
EX_k_e	-0.5363189237457306
FBA	6.6661082911475935
FBA2	0.0
ACACT2r	0.021242819335804245
ACACT3r	0.021242819335804245
ACACT4r	0.021242819335804245
ACACT5r_1	0.021242819335804245
ACACT6r_1	0.021242819335804245
ACACT7r	0.016340630258310958
ACACT1r	0.02124281933580425
ACCOAC	0.7729118112181084
ACGK	0.14656527848928613
FOLD3	0.00027867152903373715
ACt2r	-0.324314432603494
ACLDC	0.03059843761706118
ACONT	8.343199837290491
ACOAD2	0.021242819335804245
ACOAD1	0.021242819335804245
ACOADH2	1.7674969993004308e-15
ACOTA	-0.14656527848928613
APATi	0.3243144326034941
APSR	0.1293248505146138
APTA1i	0.3243144326034941
ACTD2	0.030598437617061176
ADCL	0.00027867152903373715
ADCS	0.0002786715290337371
ADK1	1.1484828220895267
EX_mg2_e	-0.07723377630547584
AMMQT7	0.0002019799093268834
ADPDA	0.324314432603494
ADSL2r	0.13831067851071682
ADSL1r	0.1387844960423702
ADSS	0.1387844960423702
ARGSL	0.14656527848928613
ARGSS	0.14656527848928613
AGPATr_BS	0.08170315129155478
AGPR	-0.14656527848928613
AICART	0.20037697854250489
AKGDH	8.601473420347013
AIRC1	0.13831067851071685
ATPM	9.0
BIOMASS_BS_10	0.7593229673936315
EX_nh4_e	-4.999999999995862
ALAALAr	0.07731198657111739
AKP1	0.00027867152903373715
ALAR	0.26762262053491803
ALATA_L	-0.5475994257493304
CO2t	-28.113698678857176
ALCD19y	0.0
EX_o2_e	-24.480285352445282
ASAD	-0.846405921909204
ASNS1	0.11236992797568136
ASPCT	0.0926184189478381
ASPK	0.846405921909204
ASPO6	0.01314691785746255
ASPTA	-1.6005920694283609
ATPPRT	0.062066300031788056
DADK	0.0
ATPS4r	79.77877261335325
EX_pi_e	-1.1653982598341188
DDPA	0.21822638353706073
CTPS1	0.0435160399383614
CS	7.417159764688914
CYOR3m	48.854526696556235
CAT	0.053022004167167194
CAt4	-0.0024336301104965893
CYOO3	48.854526696556235
CYSTGL	0.04327381591176307
CYSTS	0.04327381591176307
CBPS	0.23918369743712423
CYTDK1	0.00020197990932688338
CDGPT_BS	0.015793917721787537
CDPDSP_BS	0.042522086174043364
CDPMEK	0.0014138593652881833
CHORM	0.2177457320987
CHORS	0.2182263835370607
CYTK1	0.40915055045851634
CYTOM	-0.0002019799093268834
CITt10	0.07723377630547583
CLPNS2_BS	0.0003796614836968159
CITt2r	0.8488062962961017
DAPDC	0.2470024460323766
DAPE	0.324314432603494
FRTT	0.0002019799093268834
DGK1	0.013210700986714403
DGNSK	0.013210700986714403
DHAD1	0.5498978963716347
G3POA_BS	0.08170315129155478
DHAD2	0.288282279831764
