	fluxes
EX_ac_e	3.318271710290502
EX_fe3_e	-0.000520461608715193
EX_glc__D_e	-1.6800759812948205
EX_alltn_e	0.0
EX_glu__L_e	-0.9999999999101153
EX_ca2_e	-0.00048350129157454907
EX_cit_e	-0.7794974743277017
EX_so4_e	-0.025693605608677342
EX_co2_e	7.705473858690236
EX_succ_e	0.027425057969342973
EX_glyclt_e	5.53650464922833e-05
EX_trp__L_e	-0.008197044049608332
EX_h2o_e	6.524213099750423
3AMPt6	0.0
EX_urea_e	0.0
PHEt2r	0.0
2S6HCCi	4.0128344323286056e-05
FDH	0.0011929885222761124
EX_k_e	-0.106553124572419
FBA	1.5395133809016877
FBA2	0.0
ACACT2r	0.004220415642149637
ACACT3r	0.004220415642149637
ACACT4r	0.004220415642149637
ACACT5r_1	0.004220415642149637
ACACT6r_1	0.004220415642149637
ACACT7r	0.0032464735708843356
ACACT1r	0.004220415642149637
ACCOAC	0.15355819990282912
ACGK	0.05335304751392497
FOLD3	5.5365046492283286e-05
ALLTNt2r	0.0
ACt2r	-3.318271710290502
ACKr	-3.2538385631315614
ACLDC	0.0025845067479743754
ALLTAHr	0.0
ACONT	0.7794974743277017
ACOAD2	0.004220415642149637
ACOAD1	0.004220415642149637
ACOADH2	-5.575624050405907e-17
ACOTA	-0.05335304751392497
ARGKr	0.0
ARGPt6	0.0
APATi	0.06443314715894091
APSR	0.02569360560867735
APTA1i	0.06443314715894091
ACTD2	0.002584506747974375
ADNK1	0.0
ADCL	5.53650464922833e-05
ALLTN	0.0
ADCS	5.53650464922833e-05
ADK1	0.22817474415534827
EX_mg2_e	-0.015344415092422362
AMMQT7	4.012834432328606e-05
ADPDA	0.06443314715894091
ADSL2r	0.027478864355751472
ADSL1r	0.027573000020632166
ADSS	0.027573000020632163
ARGSL	0.029118846427772554
ARGSS	0.029118846427772554
AGPATr_BS	0.016232367854421677
AGPR	-0.05335304751392497
AICART	0.03980988216293153
AKGDH	1.6321350303552593
AIRC1	0.027478864355751472
ATPM	9.0
BIOMASS_BS_10	0.15085843730875165
EX_nh4_e	-0.19204957941349646
ALAALAr	0.015359953511465164
AKP1	5.536504649228329e-05
