	fluxes
EX_ac_e	0.8571431383514113
EX_fe3_e	-1.4249565517964065e-10
EX_glc__D_e	-4.0478135336502e-08
EX_glu__L_e	-0.8571435203541362
EX_ca2_e	-1.3237639850746333e-10
EX_cit_e	0.0
EX_so4_e	-7.034576813790052e-09
EX_co2_e	2.5714302280737162
EX_glyclt_e	-4.0980791706582825e-09
EX_trp__L_e	-2.2442446144466543e-09
EX_h2o_e	0.8571437271200777
EX_h_e	-0.8571436931174796
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	1.098662020673135e-11
FDH	2.0913821296771e-09
EX_k_e	-2.917286701485286e-08
FBA	-7.168276341010478e-10
ACACT2r	1.1554952026972839e-09
ACACT3r	1.1554952026972839e-09
ACACT4r	1.1554952026972839e-09
ACACT5r_1	1.1554952026972839e-09
ACACT6r_1	1.1554952026972839e-09
ACACT7r	8.888424636132952e-10
ACACT1r	1.1554952026972839e-09
ACCOAC	4.204224852890885e-08
ACGK	7.972363437225919e-09
FOLD3	-4.098079170658283e-09
ACt2r	-0.8571431383514112
ACKr	-0.8571431207104492
ACLDC	-4.347875535098699e-09
ACONT	0.0
ACOAD2	1.1554952026972839e-09
ACOAD1	1.1554952026972839e-09
ACOADH2	2.3650260864735374e-17
ACOTA	-7.97236343722592e-09
ARGPt6	0.0
APATi	1.764096211123952e-08
APSR	7.034576813790054e-09
APTA1i	1.764096211123952e-08
ACTD2	-4.347875535098698e-09
ADNK1	-2.063018247004395e-26
ADCL	-4.098079170658284e-09
ADCS	-4.098079170658284e-09
ADK1	4.830870378669991e-08
EX_mg2_e	-4.201102339403469e-09
AMMQT7	1.098662020673137e-11
ADPDA	1.7640962111239517e-08
ADSL2r	0.0
ADSL1r	7.549127725553068e-09
ADSS	7.549127725553066e-09
ARGSL	7.972363437225922e-09
ARGSS	7.972363437225919e-09
AGPATr_BS	4.4442123180664756e-09
AGPR	-7.97236343722592e-09
AICART	3.3760731474575794e-09
AKGDH	0.8571434841214427
AIRC1	0.0
ATPM	9.0
BIOMASS_BS_10	4.130308845786687e-08
EX_nh4_e	0.8571432367132702
ALAALAr	4.20535655751463e-09
AKP1	-4.0980791706582825e-09
ALAR	1.4557232223886717e-08
ALATA_L	-2.978646569698292e-08
CO2t	-2.5714302280737162
ALCD19y	0.0
EX_o2_e	-2.1428583535131907
ASAD	-4.569815010066848e-08
ASNS1	6.112320151614344e-09
ASPCT	6.625190318341424e-09
ASPK	4.569815010066848e-08
ASPO6	7.151216731096501e-10
ASPTA	-8.078570874151561e-08
ATPPRT	3.3760731474575794e-09
ATPS4r	7.285718291009609
EX_pi_e	-6.339139665908732e-08
DDPA	7.757105004991724e-09
CTPS1	2.308921947799174e-09
CYOR3m	4.28571669968607
CAT	3.670155995725537e-09
CAt4	-1.3237639850746333e-10
CYOO3	4.285716699686071
CYSTGL	2.3538630112138325e-09
CYSTS	2.3538630112138325e-09
CBPS	1.4597553755567341e-08
CYTDK1	6.910337016250775e-11
CDGPT_BS	8.591042399236307e-10
CDPDSP_BS	2.312972953640544e-09
CDPMEK	7.690634144711932e-11
CHORM	1.1844197555443275e-08
CHORS	7.757105004991726e-09
CYTK1	2.2313707711654437e-08
CYTOM	-1.0986620206731363e-11
CITt10	4.201102339403469e-09
CLPNS2_BS	2.0651544228933434e-11
CITt2r	-4.201102339403469e-09
DAPDC	1.3435605553724885e-08
DAPE	1.7640962111239517e-08
FRTT	1.0986620206731356e-11
DGK1	7.185911329899677e-10
DGNSK	7.185911329899676e-10
DHAD1	2.991149019304541e-08
G3POA_BS	4.4442123180664756e-09
DHAD2	4.533096564427805e-09
DHDPRy	1.764096211123952e-08
DHDPS	1.7640962111239517e-08
G5SADs	6.635010736048651e-09
DHFR	-1.4959302742059615e-09
DHFS	-4.098079170658284e-09
DHNAOT7	1.0986620206731356e-11
GGTT	1.0986620206731356e-11
GCALDD	-4.098079170658284e-09
GAPD	0.857143030251823
DHNPA_1	-4.098079170658283e-09
DHORTS	-6.625190318341426e-09
DHORDi	6.625190318341425e-09
GK1	-1.5023039703467233e-09
FE3t	1.4249565517964065e-10
DHQTi	7.757105004991724e-09
GLYt2r	0.0
DHQS	7.757105004991724e-09
H2Ot	-0.8571437271200777
HCO3E	5.6639802284476193e-08
FTHFD	6.1894613003353835e-09
FUM	0.8571434996429341
G1PACT	1.350503604542256e-08
GRTT	1.098662020673135e-11
G3PCT	1.9038658624653727e-08
G3PD1ir	2.432132363841491e-08
G5SD	6.6350107360486515e-09
G6PDH2r	1.7297450322854318e-08
GLNS	4.007248888498682e-08
GLUPRT	0.0
GLU5K	6.6350107360486515e-09
GLUDxi	0.8571433022660028
GALUi	1.039247660232617e-08
DMATT	1.098662020673135e-11
GAPDi_nadp	0.8571430563295069
GLUR	-4.2053565575146296e-09
GLUt2r	0.8571435203541361
GF6PTA	1.3505036045422554e-08
DMPPS	1.098662020673135e-11
GHMT2r	1.686355538028554e-08
GLYCTO1	0.0
GLYCLTt2r	4.098079170658283e-09
GLYK	2.065154422893344e-11
GMPS2	-4.173054578095487e-09
IMPC	-3.3760731474575794e-09
DRPA	4.347875535098698e-09
IPDPS	6.591972124038805e-11
DTMPK	9.457994225966933e-10
GTPCI	-4.0980791706582825e-09
DURIK1	0.0
GUAPRT	2.6915260612430696e-09
HACD2	1.1554952026972839e-09
HACD1_1	1.1554952026972839e-09
HEXTT	1.098662020673135e-11
DXPRIi	7.690634144711927e-11
HISTD	3.3760731474575794e-09
DXPS	7.690634144711927e-11
HISTP	3.3760731474575794e-09
ECOAH1_1	1.1554952026972839e-09
ECOAH2	1.1554952026972839e-09
Kt1	2.917286701485286e-08
HPPK	-4.098079170658283e-09
ECOAH2c	4.7300522143061053e-17
HSDy	-2.8057187989428957e-08
HSK	7.695467532204378e-09
HSST	2.0361720457224584e-08
ECOAH3	1.1554952026972839e-09
HSTPTr	3.3760731474575794e-09
ECOAH4	1.1554952026972839e-09
ICDHyr	0.0
IG3PS_1	3.3760731474575794e-09
IGPDH_1	3.37607314745758e-09
ILEDHr	-1.1147910090220556e-08
IMPD	-4.173054578095487e-09
ECOAH5_1	1.1554952026972839e-09
ECOAH6	1.155495202697284e-09
LIPO1S24_BS	2.8912161920506804e-13
IPMD	1.670912313254158e-08
ECOAH7	8.888424636132953e-10
IPPS	1.6709123132541582e-08
LIPO2S24_BS	2.4781853074720117e-13
LIPO4S24_BS	6.195463268680031e-13
IPPMIa	-1.670912313254158e-08
IPPMIb	-1.670912313254158e-08
KARA1	-2.991149019304541e-08
KARA2	1.5681006654648358e-08
LYSLG_BS	9.086679460730709e-11
KAS1	8.888424636132953e-11
ENO	-5.653833994690748e-08
MECDPS	7.690634144711927e-11
LLEUDr	-1.4309248480785684e-08
METS	4.6807138025762206e-09
O2t	2.1428583535131907
LIPO3S24_BS	7.434555922416036e-13
OMCDC	1.670912313254158e-08
PAP_BS	1.2721351245022997e-09
PGL	1.7297450322854318e-08
MTHFC	9.580692681257002e-09
MTHFD	9.580692681257002e-09
PGPPH_BS	8.591042399236307e-10
MTHFR3	4.68071380257622e-09
MCSNAH	-1.0986620206731363e-11
NADK	4.749847285507758e-11
NADH4	3.428573215564627
MDH	1.975217505629268e-07
ORNTAC_1	7.97236343722592e-09
ME2	0.8571433021211836
NADS1	7.1512167310965e-10
MECDPDH2	7.690634144711927e-11
MEPCT	7.690634144711916e-11
NDPK7	7.17847677397726e-10
NDPK3	2.158549295905378e-08
NDPK4	9.457994225966933e-10
NDPK5	7.185911329899677e-10
NDPK1	6.039389199283926e-09
NDPK2	2.7920554069637833e-08
PPTGS_BS	4.20535655751463e-09
PPTT	1.098662020673135e-11
PSER_Lt6	0.0
PGI	1.2788208411321506e-08
PYNP1	1.098662020673135e-11
PHETA1	-7.266824080188638e-09
NDPK8	9.492275789386963e-10
NH4t	-0.8571432367132703
PTAr	0.8571431207104492
NNATr	7.151216731096502e-10
SO4t2	7.034576813790053e-09
PIt2r	6.339139665908732e-08
NNDPR	7.151216731096502e-10
NPHS	1.098662020673135e-11
QULNS	7.151216731096502e-10
PPA	9.126780121846886e-08
PPCK	1.1673604182141118e-07
OCBT_1	7.97236343722592e-09
PPM	-1.098662020673135e-11
PPM2	4.347875535098698e-09
PPND	4.577373475254638e-09
RNDR4	2.6021488964523223e-09
RPI	-1.7297450322854314e-08
SADT	7.034576813790053e-09
PPNDH	7.266824080188639e-09
PRAGSr	0.0
PRAIS_1	0.0
PRATPP	3.376073147457579e-09
PRASCSi	0.0
PRFGS_1	0.0
PRMICI	3.3760731474575794e-09
OMPDC	6.625190318341425e-09
SHK3Dr	7.757105004991722e-09
SHKK	7.757105004991722e-09
PRPPS	1.3407911200151725e-08
SHSL2	7.0345768137900534e-09
SHSL4r	1.3327143643434526e-08
PSCVT	7.757105004991722e-09
PSDC_BS	2.312972953640544e-09
PSERT	3.0460656009880686e-08
ORPT	-6.625190318341425e-09
OIVD1r	2.3998746517558965e-09
SUCBZL	1.0986620206731356e-11
SUCBZS	1.0986620206731363e-11
SUCD1	0.857143484121443
OIVD2	5.333055254684989e-10
SUCD5_BS	0.857143484121443
SUCOAS	-0.8571434637597224
OIVD3	4.533096564427805e-09
P5CR	6.63501073604865e-09
TMDPP	1.6563494738556293e-09
UAGDP	1.3505036045422558e-08
TYRTA	-4.577373475254637e-09
TECA1S45	1.4968239257130948e-10
SULR_1	-7.034576813790054e-09
TALA	3.878552502495863e-09
TECA4S_BS	1.285352112808817e-10
THRS	7.695467532204378e-09
TKT1	3.878552502495864e-09
TKT2	-3.878552502495863e-09
TMDS	2.6021488964523227e-09
TPI	-2.5753272945625603e-08
TRDR	1.1303800966578799e-08
TRPt2r	2.2442446144466543e-09
UAAGDS	4.2053565575146296e-09
UAG2E	3.2175105908678285e-10
UAGPT3	4.2053565575146296e-09
UAG4E	3.856056338426451e-09
UAGCVT	4.2053565575146296e-09
UAMAGS	4.2053565575146296e-09
UAMAS	4.2053565575146296e-09
UAPGR	4.20535655751463e-09
UDCPDP	4.20535655751463e-09
UGMDDS	4.205356557514629e-09
UGT1_BS	3.5520656073765505e-10
UGT2_BS	2.726003838219214e-10
UGT_BS	6.443281799427232e-10
ACLS	2.5563614657946714e-08
ACHBS	1.5681006654648358e-08
3NUCLE1	0.0
NTD5	1.6563494738556293e-09
URIDK2r_copy2	-2.6021488964523223e-09
VALDHr	-1.2669061535035335e-08
UMPK	1.5008354273369287e-08
GLXO1	0.0
FACOAL140_ISO	8.888424636132954e-11
FACOAL150_ISO	1.7776849272265902e-09
ACOAD3	-1.1554952026972839e-09
ACOAD4_1	-1.1554952026972839e-09
ACOAD5_1	-1.1554952026972839e-09
ACOAD6	-1.1554952026972839e-09
ACOAD7	-8.888424636132952e-10
DHAD3	1.1147910090220556e-08
GLCpts	4.0478135336502e-08
HACD3	1.1554952026972839e-09
HACD4	1.1554952026972839e-09
HACD5	1.1554952026972839e-09
HACD6	1.1554952026972839e-09
HACD7	8.888424636132952e-10
ICHORS	1.0986620206731348e-11
FACOAL170_ISO	6.221897245293068e-10
FACOAL170_anteiso	1.511032188142602e-09
FACOAL180_2	2.666527390839886e-10
KAS13	2.6665273908398863e-10
FACOAL150_anteiso	3.0220643762852037e-09
FACOAL160_ISO	4.4442123180664756e-10
KAS3	1.7776849272265902e-09
KAS4	3.0220643762852033e-09
KAS6	4.444212318066476e-10
KAS11	6.221897245293068e-10
PUNP1	0.0
PUNP2	0.0
KAS12	1.5110321881426014e-09
PAPPT3	4.205356557514629e-09
PDH	0.8571432241996562
PUNP4	2.691526061243069e-09
PFK	-7.168276341010474e-10
PRAMPC_1	3.3760731474575794e-09
PSP_L	3.046065600988069e-08
PGAMT	-1.3505036045422558e-08
TECA2S45	9.693834861061354e-11
RNDR1	9.492275789386963e-10
PGMT	-1.0392476602326172e-08
PGCD	3.046065600988069e-08
RNDR3	7.178476773977261e-10
TECA3S45	7.513031790485981e-11
GND	1.7297450322854318e-08
PGK	2.6077683937026785e-08
PGM	5.6538339946907474e-08
PHCYT_BS	3.172077193564175e-09
