	fluxes
EX_ac_e	0.04839449687195916
EX_fe3_e	-0.0003909086984810919
EX_for_e	0.0008960307210365785
EX_glc__D_e	-0.2130999112365557
EX_glu__L_e	-1.0
EX_ca2_e	-0.0003631485155454782
EX_cit_e	-0.9937872599280204
EX_so4_e	-0.019297972721885694
EX_co2_e	8.15861139434155
EX_succ_e	0.0
EX_glyclt_e	4.158362096884484e-05
EX_trp__L_e	-0.00615664204077351
EX_h2o_e	5.936308833578024
EX_h_e	-4.206999974810309
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	3.013962718756415e-05
EX_k_e	-0.08003000134538463
FBA	0.10380013953820094
ACACT2r	0.0031698729706397177
ACACT3r	0.0031698729706397177
ACACT4r	0.0031698729706397177
ACACT5r_1	0.0031698729706397177
ACACT6r_1	0.0031698729706397177
ACACT7r	0.002438363823569013
ACACT1r	0.0031698729706397177
ACCOAC	0.11533460885481435
ACGK	0.021870605185367775
FOLD3	4.158362096884484e-05
ACt2r	-0.04839449687195916
ACKr	0.0
ACLDC	0.0019411732818483884
ACONT	2.01425061158736
ACOAD2	0.003169872970639718
ACOAD1	0.0031698729706397177
ACOADH2	2.5219673536064377e-17
ACOTA	-0.021870605185367778
ARGKr	0.0
ARGPt6	0.0
APATi	0.04839449687195915
APSR	0.019297972721885694
APTA1i	0.04839449687195916
ACTD2	0.001941173281848388
ADNK1	0.0
ADCL	4.158362096884485e-05
ADCS	4.158362096884485e-05
ADK1	0.17137765931332408
EX_mg2_e	-0.011524894886175587
AMMQT7	3.0139627187564153e-05
ADPDA	0.04839449687195917
ADSL2r	0.02063884621111364
ADSL1r	0.02070954969744762
ADSS	0.02070954969744762
ARGSL	0.021870605185367778
ARGSS	0.021870605185367778
AGPATr_BS	0.012191819117845067
AGPR	-0.02187060518536778
AICART	0.02990043638651826
AKGDH	2.903569515847507
AIRC1	0.020638846211113632
ATPM	9.0
BIOMASS_BS_10	0.11330686912495416
EX_nh4_e	0.10467450091327817
ALAALAr	0.011536565493695458
AKP1	4.158362096884485e-05
ALAR	0.03993489271622097
ALATA_L	-0.08171328819310492
CO2t	-8.15861139434155
ALCD19y	0.0
EX_o2_e	-5.90755454844615
ASAD	-0.12536385306854053
ASNS1	0.016767943641194587
ASPCT	0.013820605361516268
ASPK	0.12536385306854053
ASPO6	0.001961795132030469
ASPTA	-0.23790420122387188
ATPPRT	0.009261590175404627
DADK	0.0
ATPS4r	19.712924851627143
EX_pi_e	-0.17390179643682135
DDPA	0.032563940959035635
CTPS1	0.0064935033626816775
CS	1.0204633516593398
CYOR3m	11.799326696398754
CAT	0.00789120024677337
CAt4	-0.0003631485155454782
CYOO3	11.799326696398754
CYSTGL	0.006457358471431137
CYSTS	0.006457358471431138
CBPS	0.035691210546884046
CYTDK1	3.0139627187564156e-05
CDGPT_BS	0.002356782877799046
CDPDSP_BS	0.006345184670997432
CDPMEK	0.00021097739031294914
CHORM	0.032492217710879234
CHORS	0.03256394095903564
CYTK1	0.0610538201318164
CYTOM	-3.0139627187564156e-05
CLPNS2_BS	5.6653434562477075e-05
CITt2r	0.9937872599280204
DAPDC	0.0368579313782637
DAPE	0.04839449687195917
FRTT	3.0139627187564156e-05
DGK1	0.0019713129090359527
DGNSK	0.0019713129090359527
DHAD1	0.08205626808594624
G3POA_BS	0.012191819117845067
DHAD2	0.04301774601137272
DHDPRy	0.04839449687195916
DHDPS	0.04839449687195915
G5SADs	0.01820184206997091
DHFR	0.002666337244248734
DHFS	4.1583620968844844e-05
DHNAOT7	3.0139627187564156e-05
GGTT	3.0139627187564156e-05
GCALDD	4.1583620968844844e-05
GAPD	0.1042016424289452
DHNPA_1	4.1583620968844844e-05
DHORTS	-0.01382060536151627
DHORDi	0.01382060536151627
GK1	0.007162580424864839
FE3t	0.0003909086984810919
DHQTi	0.03256394095903565
GLYt2r	0.0
DHQS	0.03256394095903565
H2Ot	-5.936308833578024
HCO3E	0.1510258194016984
FORt2	-0.0008960307210365785
FTHFD	0.0008544471000677337
FUM	2.966788516941436
G1PACT	0.037048400225262755
GRTT	3.0139627187564156e-05
G3PCT	0.052228801323147625
G3PD1ir	0.06672074988422926
G5SD	0.01820184206997091
G6PDH2r	0.01117772263918097
GLNS	0.17877705109465775
GLUPRT	0.02063884621111364
GLU5K	0.01820184206997091
GLUDxi	0.24891924411846292
GALUi	0.028509707874875338
DMATT	3.0139627187564156e-05
GLUR	-0.011536565493695456
GLUt4	0.0
GLUt2r	1.0
GARFT	0.020638846211113643
GF6PTA	0.03704840022526276
DMPPS	3.0139627187564156e-05
GHMT2r	0.06690068119240294
GLYCTO1	0.0
GLYCLTt2r	-4.158362096884484e-05
GLYK	5.6653434562477075e-05
GMPS2	0.009190886689070643
IMPC	-0.029900436386518264
DRPA	-0.0019411732818483882
IPDPS	0.00018083776312538498
DTMPK	0.0025946139960923253
GTPCI	4.158362096884485e-05
DURIK1	-2.977501365699314e-26
GUAPRT	-0.0019713129090359527
DURIPP	0.0
HACD2	0.0031698729706397177
HACD1_1	0.0031698729706397177
HEXTT	3.0139627187564156e-05
DXPRIi	0.00021097739031294914
HISTD	0.00926159017540463
DXPS	0.0002109773903129491
HISTP	0.00926159017540463
ECOAH1_1	0.003169872970639718
ECOAH2	0.0031698729706397177
Kt1	0.08003000134538463
HPPK	4.1583620968844844e-05
ECOAH2c	5.043934624494814e-17
HSDy	-0.07696935619658135
HSK	0.021110995934754087
HSST	0.05585836026182727
ECOAH3	0.003169872970639718
HSTPTr	0.00926159017540463
ECOAH4	0.003169872970639718
ICDHyr	2.01425061158736
IG3PS_1	0.009261590175404628
IGPDH_1	0.00926159017540463
IMPD	0.009190886689070643
ILETA	-0.030582090511170754
ECOAH5_1	0.003169872970639718
ECOAH6	0.0031698729706397177
LIPO1S24_BS	7.931480838746793e-07
IPMD	0.04583818059763108
ECOAH7	0.0024383638235690136
IPPS	0.04583818059763108
LIPO2S24_BS	6.79841214749725e-07
LIPO4S24_BS	1.6996030368743127e-06
IPPMIa	-0.04583818059763108
IPPMIb	-0.04583818059763108
KARA1	-0.08205626808594624
KARA2	0.04301774601137272
LYSLG_BS	0.0002492751120748992
KAS1	0.0002438363823569013
MECDPS	0.00021097739031294909
LEUTA	-0.039254598273994745
METS	0.012840614250454555
O2t	5.90755454844615
LIPO3S24_BS	2.039523644249175e-06
OMCDC	0.04583818059763108
MGt5	-0.011524894886175587
PAP_BS	0.003489851569048588
PGL	0.01117772263918097
MTHFC	0.05143531331866849
MTHFD	0.05143531331866849
PGPPH_BS	0.002356782877799046
MTHFR3	0.012840614250454557
MCSNAH	-3.0139627187564156e-05
NADK	0.00013030289949407149
NADH4	8.895757180551247
MDH	1.5481319115315335
ORNTAC_1	0.02187060518536778
ME2	1.4186566054099032
NADS1	0.0019617951320304683
MECDPDH2	0.0002109773903129491
MEPCT	0.00021097739031294914
NDPK7	0.0019692733853917026
NDPK3	0.059056106722274335
NDPK4	0.0025946139960923258
NDPK5	0.0019713129090359527
NDPK1	0.027851734885869967
NDPK2	0.07675395983837449
PPTGS_BS	0.01153656549369546
PPTT	3.0139627187564156e-05
PGI	0.17341248072249935
PYNP1	3.0139627187564163e-05
PHETA1	-0.019935097246975314
NDPK8	0.002604018466229696
PYNP2r	0.0
NH4t	-0.10467450091327817
NNATr	0.0019617951320304687
SO4t2	0.01929797272188569
PIt2r	0.17390179643682135
NNDPR	0.0019617951320304687
NPHS	3.0139627187564156e-05
SUCCt2r	0.0
QULNS	0.0019617951320304687
PPA	0.2892274540489765
PPCK	0.28976435864832245
OCBT_1	0.021870605185367778
PPM	-3.0139627187564163e-05
PPM2	-0.0019411732818483882
PPND	0.012557120463903922
RNDR4	0.0026247536232798896
RPE	-0.03256394095903564
RPI	-0.04374166359821661
SADT	0.019297972721885694
PPNDH	0.01993509724697531
PRAGSr	0.02063884621111364
PRAIS_1	0.020638846211113636
PRATPP	0.009261590175404627
PRASCSi	0.020638846211113632
PRFGS_1	0.020638846211113636
PRMICI	0.009261590175404627
OMPDC	0.013820605361516271
SHK3Dr	0.03256394095903564
SHKK	0.032563940959035635
PRO1x	2.6976897627138454
PRPPS	0.04371152397102907
SHSL2	0.01929797272188569
SHSL4r	0.036560387539941584
PSCVT	0.03256394095903564
PSDC_BS	0.0063451846709974315
PSERT	0.10420164242894518
ORPT	-0.01382060536151627
OIVD1r	0.006583582323636338
SUCBZL	3.0139627187564153e-05
SUCBZS	3.013962718756415e-05
SUCD1	2.903569515847508
OIVD2	0.0014630182941414588
SUCD5_BS	2.903569515847507
SUCOAS	-2.84771115558568
OIVD3	0.012435655500201972
P5CR	2.715891604783816
TMDPP	3.0139627187564153e-05
UAGDP	0.03704840022526275
TYRTA	-0.012557120463903922
TECA1S45	0.0004106240937088339
SULR_1	-0.019297972721885694
TECA4S_BS	0.00035261097671685735
THRS	0.021110995934754087
TKT1	0.0
TKT2	-0.03256394095903564
TMDS	0.0026247536232798896
TPI	0.03511759452194121
TRDR	0.026496018196786982
TRPt2r	0.00615664204077351
UAAGDS	0.011536565493695455
UAG2E	0.0008826605104833929
UAGPT3	0.011536565493695458
UAG4E	0.010578329301505719
UAGCVT	0.011536565493695455
UAMAGS	0.011536565493695458
UAMAS	0.011536565493695455
UAPGR	0.011536565493695455
UDCPDP	0.011536565493695458
UGMDDS	0.011536565493695455
UGT1_BS	0.0009744390744746059
UGT2_BS	0.0007478253362246977
UGT_BS	0.0017675871583492854
ACLS	0.08399744136779465
ACHBS	0.04301774601137272
3NUCLE1	0.0
NTD5	3.0139627187564153e-05
URIDK2r_copy2	-0.0026247536232798887
VALTA	-0.0347550691941737
UMPK	0.03681816066720084
GLXO1	0.0
FRUK	0.0
FACOAL140_ISO	0.00024383638235690136
FACOAL150_ISO	0.004876727647138027
ACOAD3	-0.003169872970639718
ACOAD4_1	-0.003169872970639718
ACOAD5_1	-0.0031698729706397177
ACOAD6	-0.0031698729706397173
ACOAD7	-0.0024383638235690136
DADNK	0.0
GLCpts	0.2130999112365557
HACD3	0.003169872970639718
HACD4	0.003169872970639718
HACD5	0.003169872970639718
HACD6	0.0031698729706397177
HACD7	0.0024383638235690136
ICHORS	3.0139627187564146e-05
FACOAL170_ISO	0.00170685467649831
FACOAL170_anteiso	0.0041452185000673235
FACOAL180_2	0.0007315091470707042
KAS13	0.0007315091470707041
FACOAL150_anteiso	0.008290437000134647
FACOAL160_ISO	0.0012191819117845068
KAS3	0.004876727647138029
KAS4	0.008290437000134647
KAS6	0.001219181911784507
KAS11	0.0017068546764983095
KAS12	0.004145218500067323
PAPPT3	0.011536565493695455
PDH	1.2904968486922763
PUNP4	-0.0019713129090359527
PFK	0.10380013953820094
PRAMPC_1	0.009261590175404628
PSP_L	0.10420164242894518
PGAMT	-0.037048400225262755
TECA2S45	0.00026593122183626747
RNDR1	0.002604018466229697
PGMT	-0.028509707874875338
PGCD	0.10420164242894521
RNDR3	0.001969273385391703
TECA3S45	0.0002061051949382916
GND	0.011177722639180968
PGK	-0.10420164242894521
PHCYT_BS	0.00870196754879648
