	fluxes
EX_ac_e	3.1587161476761967
EX_fe3_e	-0.000380788015939059
EX_for_e	0.0008728323565295056
EX_glc__D_e	-1.7300042469973582
EX_alltn_e	0.0
EX_glu__L_e	-1.0
EX_ca2_e	-0.0003537465481404882
EX_cit_e	-0.011226513696587085
EX_so4_e	-0.018798345426862834
EX_co2_e	5.247225741487701
EX_glyclt_e	4.05070150288732e-05
EX_trp__L_e	-0.005997245691033251
EX_h2o_e	4.944341527752479
EX_h_e	1.8322085164539887
3AMPt6	0.0
EX_urea_e	-5.169878828456423e-26
PHEt2r	0.0
2S6HCCi	2.9359307895555387e-05
EX_k_e	-0.07795801307650685
FBA	1.6271637054037555
ACACT2r	0.0030878045025829327
ACACT3r	0.0030878045025829327
ACACT4r	0.0030878045025829327
ACACT5r_1	0.0030878045025829327
ACACT6r_1	0.0030878045025829327
ACACT7r	0.0023752342327561017
ACACT1r	0.0030878045025829323
ACCOAC	0.11234857920936361
ACGK	0.021304372065093648
FOLD3	4.05070150288732e-05
ALLTNt2r	0.0
ACt2r	-3.1587161476761967
ACKr	-3.1115745913029413
ACLDC	0.001890916025816836
ALLTAHr	0.0
ACONT	0.011226513696587084
ACOAD2	0.0030878045025829327
ACOAD1	0.0030878045025829327
ACOADH2	-5.538554426920984e-18
ACOTA	-0.02130437206509365
ARGKr	0.0
ARGPt6	0.0
APATi	0.04714155637325551
APSR	0.018798345426862838
APTA1i	0.04714155637325552
ACTD2	0.001890916025816836
ADNK1	0.0
ADCL	4.05070150288732e-05
ALLTN	0.0
ADCS	4.05070150288732e-05
ADK1	0.16694066701449795
EX_mg2_e	-0.011226513696587085
AMMQT7	2.935930789555539e-05
ADPDA	0.04714155637325551
ADSL2r	0.02010450350820842
ADSL1r	0.020173376471091322
ADSS	0.020173376471091322
ARGSL	0.02130437206509365
ARGSS	0.021304372065093655
AGPATr_BS	0.011876171163780508
AGPR	-0.021304372065093648
AICART	0.029126309779177337
AKGDH	0.9034109674769681
AIRC1	0.02010450350820842
ATPM	9.0
BIOMASS_BS_10	0.11037333795335044
EX_nh4_e	0.12785460712029614
ALAALAr	0.01123788215039628
AKP1	4.0507015028873196e-05
ALAR	0.038900972588320405
ALATA_L	-0.07959771938514182
CO2t	-5.247225741487701
ALCD19y	0.0
EX_o2_e	-4.4767511859661635
ASAD	-0.12211816484496649
ASNS1	0.01633381916370247
ASPCT	0.013462787896859917
ASPK	0.12211816484496649
ASPO6	0.0019110039733256084
ASPTA	-0.2317448271670751
ATPPRT	0.00902180627096891
DADK	0.0
ATPS4r	15.220607820986103
EX_pi_e	-0.16939945386407737
DDPA	0.031720855834441064
CTPS1	0.006325385624768574
CYOR3m	8.938128580062145
CAT	0.007686895935092762
CAt4	-0.0003537465481404882
CYOO3	8.938128580062143
CYSTGL	0.006290176529961442
CYSTS	0.006290176529961442
CBPS	0.03476715996195357
CYTDK1	2.9359307895555393e-05
CDGPT_BS	0.0022957654294296892
CDPDSP_BS	0.006180906925387625
CDPMEK	0.00020551515526888775
CHORM	0.03165098951151663
CHORS	0.03172085583444107
CYTK1	0.05947312792943126
CYTOM	-2.935930789555539e-05
CITt10	0.011226513696587084
CLPNS2_BS	5.5186668976675227e-05
DAPDC	0.03590367422285923
DAPE	0.04714155637325551
FRTT	2.9359307895555393e-05
DGK1	0.001920275333712391
DGNSK	0.001920275333712391
DHAD1	0.07993181947912664
G3POA_BS	0.011876171163780508
DHAD2	0.041904010367355166
DHDPRy	0.047141556373255504
DHDPS	0.04714155637325551
