	fluxes
EX_ac_e	-8.138871724453592e-08
EX_fe3_e	-0.0025327978974102354
EX_glc__D_e	-9.507387358508055
EX_glu__L_e	-0.8489616342504187
EX_glx_e	0.0
EX_ca2_e	-0.002352932539478205
EX_cit_e	-0.9999999186113242
EX_so4_e	-0.12503652367980342
EX_co2_e	41.469120690927404
EX_glyclt_e	0.0002694309647389335
EX_trp__L_e	-0.03989046566773408
EX_h2o_e	49.20884817655562
3AMPt6	0.0
2S6HCCi	0.00019528238861331806
FDH	0.00580561326742172
EX_k_e	-0.51853494159873
FBA	8.693710984006461
ACACT2r	0.020538421442882013
ACACT3r	0.020538421442882013
ACACT4r	0.020538421442882013
ACACT5r_1	0.020538421442882013
ACACT6r_1	0.020538421442882013
ACACT7r	0.015798785725293463
ACACT1r	0.02053842144288201
ACCOAC	0.7472825648064607
ACGK	0.1417052704220351
FOLD3	0.00026943096473893346
ACt2r	8.138871724453592e-08
ACKr	0.3135604610881044
ACLDC	0.012577360457515173
ACONT	13.003927734717474
ACOAD2	0.020538421442882013
ACOAD1	0.020538421442882013
ACOADH2	0.0
ACOTA	-0.1417052704220351
APATi	0.31356037969938716
APSR	0.12503652367980342
APTA1i	0.31356037969938716
ACTD2	0.01257736045751517
ADNK1	0.0
ADCL	0.00026943096473893346
ADCS	0.00026943096473893346
ADK1	1.1103998884099378
EX_mg2_e	-0.07467275517019846
AMMQT7	0.00019528238861331803
ADPDA	0.31356037969938716
ADSL2r	0.1337243875401115
ADSL1r	0.13418249359459972
ADSS	0.13418249359459972
ARGSL	0.1417052704220351
ARGSS	0.1417052704220351
AGPATr_BS	0.07899392862647575
AGPR	-0.1417052704220351
AICART	0.19373260995646374
AKGDH	13.135758111305382
AIRC1	0.1337243875401115
ATPM	9.0
BIOMASS_BS_10	0.7341443180899233
EX_nh4_e	-4.9520823189690635
ALAALAr	0.07474837203496172
AKP1	0.00026943096473893346
ALAR	0.25874843076647536
ALATA_L	-0.5294413895882737
CO2t	-41.469120690927404
ALCD19y	0.0
EX_o2_e	-37.85469446939397
ASAD	-0.8122646149778721
ASNS1	0.1086438152011735
ASPCT	0.08954725319901853
ASPK	0.8122646149778721
ASPO6	0.012710974723409174
ASPTA	-1.5414424467559815
ATPPRT	0.06000822241635224
ATPS4r	68.25474648484338
EX_pi_e	-1.126754421384043
DDPA	0.21099014044177303
CTPS1	0.04207307672541408
CS	12.00392781610615
CAT	0.051129113961213855
CAt4	-0.002352932539478205
CYSTGL	0.041838884687944736
CYSTS	0.041838884687944736
CYTB_B3	75.6071307108655
CBPS	0.23125252362105364
CYTDK1	0.000195282388613318
CDGPT_BS	0.015270201816270408
CDPDSP_BS	0.04111208181303571
CDPMEK	0.0013669767202932257
CHORM	0.21052542708842073
CHORS	0.21099014044177303
CYTK1	0.39558338778231317
CYTOM	-0.000195282388613318
CITt10	0.07467275517019846
CLPNS2_BS	0.00036707215904496174
CITt2r	0.9253271634411256
DAPDC	0.23881200766442542
DAPE	0.31356037969938716
FRTT	0.000195282388613318
DGK1	0.012772642846128487
DGNSK	0.01277264284612849
DHAD1	0.5316636444391318
G3POA_BS	0.07899392862647575
DHDPRy	0.3135603796993871
DHDPS	0.3135603796993871
G5SADs	0.11793441154660024
DHFR	0.017275884093293406
DHFS	0.00026943096473893346
DHNAOT7	0.00019528238861331803
GGTT	0.000195282388613318
GCALDD	0.00026943096473893346
GAPD	16.822970704183568
DHNPA_1	0.00026943096473893346
DHORTS	-0.08954725319901856
DHORDi	0.08954725319901854
GK1	0.04640819892373632
GLXt2	0.0
FE3t	0.0025327978974102354
DHQTi	0.210990140441773
DHQS	0.210990140441773
H2Ot	-49.20884817655562
HCO3E	0.9785350884275145
FTHFD	0.005536182302682786
FUM	13.545370262862132
G1PACT	0.24004610426313464
GRTT	0.00019528238861331798
G3PCT	0.33840382342355024
G3PD1ir	0.43230088170725145
G5SD	0.11793441154660024
G6PDH2r	0.3889085476422628
GLNS	1.1583424489584802
GLUPRT	0.13372438754011154
GLU5K	0.11793441154660023
GALUi	0.18472172259619607
DMATT	0.00019528238861331798
GLUR	-0.0747483720349617
GLUt2r	0.8489616342504187
GARFT	0.13372438754011154
GF6PTA	0.24004610426313458
DMPPS	0.00019528238861331803
GHMT2r	0.4334667028844102
GLYCLTt2r	-0.0002694309647389335
GLYK	0.0003670721590449618
GMPS2	0.05955011636186404
IMPC	-0.19373260995646377
DRPA	-0.01257736045751517
IPDPS	0.001171694331679908
DTMPK	0.016811170739941154
HXPRT	0.0
GTPCI	0.00026943096473893346
GUAPRT	-0.012772642846128491
HACD2	0.020538421442882013
HACD1_1	0.020538421442882013
HEXTT	0.00019528238861331798
DXPRIi	0.0013669767202932257
HISTD	0.060008222416352244
DXPS	0.0013669767202932257
HISTP	0.060008222416352265
ECOAH1_1	0.020538421442882013
ECOAH2	0.020538421442882013
Kt1	0.51853494159873
HPPK	0.00026943096473893346
ECOAH2c	0.0
HSDy	-0.49870423527848495
HSK	0.13678356691356025
HSST	0.36192066836492476
ECOAH3	0.020538421442882013
HSTPTr	0.06000822241635226
ECOAH4	0.020538421442882013
ICDHyr	13.003927734717474
IG3PS_1	0.06000822241635225
IGPDH_1	0.06000822241635226
ILEDHr	-0.2787230293730661
IMPD	0.05955011636186403
ILETA	0.0805738071990053
ECOAH5_1	0.020538421442882013
ECOAH6	0.020538421442882013
LIPO1S24_BS	5.139010226629464e-06
IPMD	0.2969973497389602
ECOAH7	0.015798785725293467
IPPS	0.29699734973896014
LIPO2S24_BS	4.404865908539542e-06
LIPO4S24_BS	1.1012164771348852e-05
IPPMIa	-0.2969973497389602
IPPMIb	-0.2969973497389602
KARA1	-0.5316636444391318
KARA2	0.27872302937306603
LYSLG_BS	0.0016151174997978315
KAS1	0.0015798785725295152
ENO	16.147821489351
MECDPS	0.0013669767202932257
LLEUDr	-3.5135735129081516
LEUTA	3.259232884627488
METS	0.08319763899185867
O2t	37.85469446939397
LIPO3S24_BS	1.3214597725618622e-05
OMCDC	0.2969973497389602
PAP_BS	0.022611644997169646
PGL	0.3889085476422628
MTHFC	0.33326261076399705
MTHFD	0.33326261076399705
PGPPH_BS	0.015270201816270406
MTHFR3	0.08319763899185866
MCSNAH	-0.000195282388613318
NADK	0.0008442659658015187
NADH4	62.47137259956013
MDH	13.545370262862132
ORNTAC_1	0.1417052704220351
NADS1	0.012710974723409171
MECDPDH2	0.0013669767202932259
MEPCT	0.0013669767202932259
NDPK7	0.012759428248402871
NDPK3	0.3826396893100697
NDPK4	0.016811170739941154
NDPK5	0.01277264284612849
NDPK1	0.18045854654107985
NDPK2	0.49730862692979466
PPTGS_BS	0.07474837203496174
PPTT	0.00019528238861331798
PGI	8.933757088269598
PYNP1	0.000195282388613318
PHETA1	-0.12916461718042302
NDPK8	0.01687210471834262
NH4t	4.952082318969064
PTAr	-0.31356046108810437
NNATr	0.012710974723409174
SO4t2	0.12503652367980345
PIt2r	1.126754421384043
NNDPR	0.012710974723409173
NPHS	0.00019528238861331803
QULNS	0.012710974723409174
PPA	1.873978988789347
OCBT_1	0.1417052704220351
PPM	-0.000195282388613318
PPM2	-0.01257736045751517
PPND	0.08136080990799767
RNDR4	0.01700645312855447
RPI	-0.38890854764226285
SADT	0.12503652367980342
PPNDH	0.12916461718042305
PRAGSr	0.13372438754011154
PRAIS_1	0.1337243875401115
PRATPP	0.06000822241635224
PRASCSi	0.1337243875401115
PRFGS_1	0.1337243875401115
PRMICI	0.06000822241635225
OMPDC	0.08954725319901854
SHK3Dr	0.210990140441773
SHKK	0.210990140441773
PRO1x	8.873235363211883
PRPPS	0.283218195032763
SHSL2	0.12503652367980342
SHSL4r	0.23688414468512134
PSCVT	0.21099014044177297
PSDC_BS	0.04111208181303571
PSERT	0.6751492148325673
ORPT	-0.08954725319901854
PYK	6.143705477924437
OIVD1r	0.042656721458296916
SUCBZL	0.00019528238861331803
SUCBZS	0.00019528238861331803
SUCD1	13.135758111305387
OIVD2	0.009479271435177093
SUCD5_BS	13.135758111305385
SUCOAS	-12.77383744294046
OIVD3	0.0805738071990053
P5CR	8.991169774758482
OXADC	0.0
TMDPP	0.00019528238861331798
UAGDP	0.24004610426313464
TYRTA	-0.08136080990799767
TECA1S45	0.0026605390087578824
SULR_1	-0.12503652367980342
TALA	0.1054950702208865
TECA4S_BS	0.0022846571178958422
THRS	0.13678356691356025
TKT1	0.10549507022088651
TKT2	-0.1054950702208865
TMDS	0.01700645312855447
TPI	8.2486991275758
TRDR	0.1716745097751034
TRPt2r	0.03989046566773408
UAAGDS	0.07474837203496172
UAG2E	0.0057189842379205035
UAGPT3	0.07474837203496172
UAG4E	0.06853971353687524
UAGCVT	0.07474837203496171
UAMAGS	0.07474837203496171
UAMAS	0.07474837203496171
UAPGR	0.07474837203496171
UDCPDP	0.07474837203496174
UGMDDS	0.07474837203496172
UGT1_BS	0.006313641135573341
UGT2_BS	0.004845352499393496
UGT_BS	0.011452651362202807
ACLS	0.5442410048966471
ACHBS	0.27872302937306603
3NUCLE1	0.0
NTD5	0.00019528238861331798
XPPT	0.0
URIDK2r_copy2	-0.01700645312855447
VALDHr	-0.2251870232649946
