	fluxes
EX_ac_e	1.6363636363636371
EX_fe3_e	0.0
EX_glc__D_e	-0.8181818181818192
EX_glu__L_e	-1.0191093054994269e-30
EX_ca2_e	0.0
EX_cit_e	0.0
EX_so4_e	0.0
EX_co2_e	1.6363636363636387
EX_glyclt_e	4.36531425174444e-31
EX_trp__L_e	0.0
EX_h2o_e	1.6363636363636371
EX_h_e	1.63636363636364
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	0.0
FDH	4.365314251744441e-31
EX_k_e	0.0
FBA	0.8181818181818192
ACACT2r	0.0
ACACT3r	0.0
ACACT4r	0.0
ACACT5r_1	0.0
ACACT6r_1	0.0
ACACT7r	0.0
ACACT1r	0.0
ACCOAC	0.0
ACGK	0.0
FOLD3	0.0
ACt2r	-1.6363636363636371
ACKr	-1.636363636363637
ACLDC	0.0
ACONT	0.0
ACOAD2	0.0
ACOAD1	0.0
ACOADH2	0.0
ACOTA	0.0
APATi	0.0
APSR	0.0
APTA1i	0.0
ACTD2	0.0
ADCL	4.36531425174444e-31
ADCS	4.36531425174444e-31
ADK1	1.4771417596253471e-15
EX_mg2_e	0.0
AMMQT7	0.0
ADPDA	0.0
ADSL2r	0.0
ADSL1r	0.0
ADSS	0.0
ARGSL	0.0
ARGSS	0.0
AGPATr_BS	0.0
AGPR	0.0
AICART	0.0
AKGDH	9.11271919785025e-31
AIRC1	0.0
ATPM	9.0
BIOMASS_BS_10	0.0
EX_nh4_e	1.4771417596253475e-15
ALAALAr	0.0
AKP1	4.36531425174444e-31
ALAR	0.0
ALATA_L	0.0
CO2t	-1.6363636363636387
EX_o2_e	-1.6363636363636365
ASAD	3.8078637603539743e-31
ASNS1	0.0
ASPCT	-1.477141759625347e-15
ASPK	-1.988365279378194e-31
ASPO6	1.477141759625347e-15
ASPTA	1.9883652793781962e-31
ATPPRT	0.0
ATPS4r	5.727272727272727
CYSS_2	0.0
EX_pi_e	0.0
DDPA	0.0
CTPS1	-1.4771417596253473e-15
CS	0.0
CYOR3m	3.2727272727272725
CAT	9.898752018478091e-32
CAt4	0.0
CYOO3	3.272727272727273
CBPS	-1.477141759625347e-15
CYTD	0.0
CYTDK1	1.4771417596253475e-15
CDGPT_BS	0.0
CDPDSP_BS	0.0
CDPMEK	0.0
CHORM	0.0
CHORS	4.365314251744441e-31
CYTK1	1.4771417596253473e-15
CYTOM	0.0
CLPNS2_BS	0.0
CITt2r	0.0
DAPDC	0.0
DAPE	0.0
FRTT	0.0
DGK1	0.0
DGNSK	0.0
DHAD1	0.0
G3POA_BS	0.0
DHDPRy	0.0
DHDPS	0.0
G5SADs	0.0
DHFR	4.3653142517444395e-31
DHFS	4.36531425174444e-31
DHNAOT7	0.0
GGTT	0.0
GCALDD	4.36531425174444e-31
GAPD	1.6363636363636367
DHNPA_1	4.36531425174444e-31
DHORTS	1.4771417596253471e-15
DHORDi	-1.477141759625347e-15
GK1	-1.1324349368175199e-31
GK2	0.0
FE3t	0.0
DHQTi	4.539650693357654e-31
GLYt2r	0.0
DHQS	0.0
H2Ot	-1.6363636363636371
HCO3E	-1.477141759625347e-15
FTHFD	0.0
FUM	9.112719197850252e-31
G1PACT	0.0
GRTT	0.0
G3PCT	0.0
G3PD1ir	0.0
G5SD	0.0
GLNS	-1.4771417596253467e-15
GLUPRT	0.0
GLU5K	0.0
GALUi	0.0
DMATT	0.0
GLUR	0.0
GLUt2r	1.0191093054994269e-30
GF6PTA	0.0
DMPPS	0.0
GHMT2r	0.0
GLYCLTt2r	-4.36531425174444e-31
GMPS2	0.0
IMPC	0.0
DRPA	-3.20716950183076e-31
IPDPS	0.0
DTMPK	0.0
GTPCI	4.365314251744442e-31
DURIK1	0.0
GUAPRT	-3.207169501830761e-31
HACD2	0.0
HACD1_1	0.0
HEXTT	0.0
DXPRIi	0.0
HISTD	0.0
DXPS	0.0
HISTP	0.0
ECOAH1_1	0.0
ECOAH2	0.0
Kt1	0.0
HPPK	4.365314251744441e-31
ECOAH2c	0.0
HSDy	3.0264337955717687e-31
HSK	0.0
