	fluxes
EX_ac_e	1.7130564637347836
EX_fe3_e	-0.0001538407406462856
EX_glc__D_e	-0.6220597197317018
EX_alltn_e	0.0
EX_glu__L_e	-0.9992025156080311
EX_ca2_e	-0.00014291581848444797
EX_cit_e	0.0
EX_so4_e	-0.007594649154757328
EX_co2_e	3.733966148216669
EX_succ_e	-3.3921741532955684e-07
EX_glyclt_e	1.6365087483238247e-05
EX_trp__L_e	-0.0024229247779004566
EX_h2o_e	2.430277336110535
3AMPt6	0.0
EX_urea_e	0.0
PHEt2r	0.0
2S6HCCi	1.1861344061423761e-05
FDH	0.00035262973245401213
EX_k_e	-0.03149552498764038
FBA	0.5805114975582364
FBA2	0.0
ACACT2r	0.0012474923363248417
ACACT3r	0.0012474923363248417
ACACT4r	0.0012474923363248417
ACACT5r_1	0.0012474923363248417
ACACT6r_1	0.0012474923363248417
ACACT7r	0.0009596094894806617
ACACT1r	0.0012474923363248415
ACCOAC	0.045389528852432345
ACGK	0.01577037039396734
FOLD3	1.6365087483238247e-05
ALLTNt2r	0.0
ACt2r	-1.7130564637347834
ACKr	-1.6940109800427736
ACLDC	0.000763941903986135
ALLTAHr	0.0
ACOAD2	0.0012474923363248417
ACOAD1	0.0012474923363248417
ACOADH2	0.0
ACOTA	-0.015770370393967337
ARGKr	0.0
ARGPt6	0.0
APATi	0.01904548369201016
APSR	0.0075946491547573295
APTA1i	0.01904548369201016
ACTD2	0.0007639419039861352
ADNK1	0.0
ADCL	1.6365087483238247e-05
ALLTN	0.0
ADCS	1.6365087483238247e-05
ADK1	0.06744507385342192
EX_mg2_e	-0.004535581766404724
AMMQT7	1.1861344061423761e-05
ADPDA	0.01904548369201016
ADSL2r	0.008122345190952293
ADSL1r	0.008150170298825712
ADSS	0.008150170298825712
ARGSL	0.008607099594285999
ARGSS	0.008607099594285999
AGPATr_BS	0.0047980474474029955
AGPR	-0.015770370393967337
AICART	0.011767211364774537
AKGDH	0.955644360442075
AIRC1	0.008122345190952295
ATPM	9.0
BIOMASS_BS_10	0.04459151902790887
EX_nh4_e	0.6468503207496626
ALAALAr	0.004540174692864597
AKP1	1.6365087483238247e-05
ALAR	0.01571623628986745
ALATA_L	-0.03215797659431899
CO2t	-3.733966148216669
ALCD19y	0.0
EX_o2_e	-3.131718366069915
ASAD	-0.04933650256766865
ASNS1	0.006598965126383151
ASPCT	0.005439050533429177
ASPK	0.04933650256766866
ASPO6	0.0007720575604497727
ASPTA	-0.0936263599693917
ATPPRT	0.0036448661738222427
ATPS4r	10.63121171144063
EX_pi_e	-0.06843843912281262
DDPA	0.0128154242025449
CTPS1	0.0025554953639704233
CS	0.0
CYOR3m	6.257225624045951
CAT	0.0031055540469394744
CAt4	-0.00014291581848444797
CYOO3	6.257225624045952
CYSTGL	0.002541270669400527
CYSTS	0.002541270669400527
CBPS	0.014046150127715176
CYTDK1	1.1861344061423761e-05
CDGPT_BS	0.0009275035957805046
CDPDSP_BS	0.002497125065562897
CDPMEK	8.302940842996634e-05
CHORM	0.012787197771000236
CHORS	0.012815424202544898
CYTK1	0.02402751574692231
CYTOM	-1.1861344061423761e-05
CLPNS2_BS	2.229575951395444e-05
DAPDC	0.014505308999145565
DAPE	0.01904548369201016
FRTT	1.1861344061423763e-05
DGK1	0.0007758032480475586
DGNSK	0.0007758032480475586
DHAD1	0.03229295512241647
G3POA_BS	0.004798047447402996
DHAD2	0.0169294823395788
DHDPRy	0.019045483692010156
DHDPS	0.019045483692010156
G5SADs	0.00716327079968134
DHFR	0.0010493276257647472
DHFS	1.6365087483238247e-05
DHNAOT7	1.1861344061423761e-05
GGTT	1.186134406142376e-05
GCALDD	1.6365087483238247e-05
GAPD	1.1188645082774373
DHNPA_1	1.6365087483238244e-05
DHORTS	-0.0054390505334291775
DHORDi	0.005439050533429177
GK1	0.0028188082838302275
FE3t	0.0001538407406462856
DHQTi	0.012815424202544898
GLYt2r	0.0
DHQS	0.0128154242025449
H2Ot	-2.430277336110535
HCO3E	0.059435678980147524
FTHFD	0.00033626464497077386
FUM	0.9805243147435523
G1PACT	0.014580267342631476
GRTT	1.1861344061423763e-05
G3PCT	0.0205544606959146
G3PD1ir	0.02625771597958414
GLNS	0.07035707841201935
GLUPRT	0.008122345190952292
GLUDxi	0.7036173310905849
GALUi	0.011219895060207293
DMATT	1.1861344061423763e-05
GLUR	-0.004540174692864597
GLUt4	0.0
GLUt2r	0.9992025156080311
GARFT	0.008122345190952293
GF6PTA	0.014580267342631476
DMPPS	1.1861344061423763e-05
GHMT2r	0.02632852731181916
GLYCLTt2r	-1.636508748323825e-05
GLYK	2.229575951395444e-05
GMPS2	0.0036170410659488246
IMPC	-0.011767211364774538
DRPA	-0.000763941903986135
IPDPS	7.116806436854258e-05
DTMPK	0.0010211011942200853
GTPCI	1.636508748323825e-05
DURIK1	0.0
GUAPRT	-0.0007758032480475587
DURIPP	0.0
HACD2	0.0012474923363248417
HACD1_1	0.0012474923363248417
HEXTT	1.186134406142376e-05
DXPRIi	8.302940842996633e-05
HISTD	0.003644866173822244
DXPS	8.302940842996636e-05
HISTP	0.0036448661738222444
ECOAH1_1	0.0012474923363248417
ECOAH2	0.0012474923363248417
Kt1	0.03149552498764038
HPPK	1.6365087483238247e-05
ECOAH2c	0.0
HSDy	-0.030291018875658503
HSK	0.008308158050722898
HSST	0.021982860824935606
ECOAH3	0.0012474923363248417
HSTPTr	0.003644866173822244
ECOAH4	0.0012474923363248417
IG3PS_1	0.003644866173822243
IGPDH_1	0.0036448661738222436
IMPD	0.0036170410659488246
ILETA	-0.012035473943227744
ECOAH5_1	0.0012474923363248417
ECOAH6	0.0012474923363248417
LIPO1S24_BS	3.121406331953621e-07
IPMD	0.01803945443122151
ECOAH7	0.0009596094894806618
IPPS	0.01803945443122151
LIPO2S24_BS	2.675491141674533e-07
LIPO4S24_BS	6.688727854186332e-07
IPPMIa	-0.01803945443122151
IPPMIb	-0.01803945443122151
KARA1	-0.03229295512241648
KARA2	0.016929482339578802
LYSLG_BS	9.810134186139953e-05
KAS1	9.596094894805991e-05
ENO	1.0778563191270734
MECDPS	8.302940842996634e-05
LEUTA	-0.01544850880962389
METS	0.005053378485356801
O2t	3.1317183660699155
LIPO3S24_BS	8.026473425023597e-07
METabc	0.0
OMCDC	0.01803945443122151
MGt5	-0.004535581766404724
PAP_BS	0.0013734187860595937
MTHFC	0.020242186288180843
MTHFD	0.020242186288180843
PGPPH_BS	0.0009275035957805046
MTHFR3	0.0050533784853568015
MCSNAH	-1.1861344061423761e-05
NADK	5.12802468821208e-05
NADH4	5.301580924386464
MDH	0.6823841699604392
ORNTAC_1	0.01577037039396734
ME2	0.2981401447831129
NADS1	0.0007720575604497726
MECDPDH2	8.302940842996634e-05
MEPCT	8.302940842996634e-05
NDPK7	0.0007750006007050563
NDPK3	0.023241322674941247
NDPK4	0.0010211011942200853
NDPK5	0.0007758032480475586
NDPK1	0.010960952109230915
NDPK2	0.03020625039798644
PPTGS_BS	0.004540174692864598
PPTT	1.186134406142376e-05
PGI	0.6108398246714946
PYNP1	1.1861344061423763e-05
PHETA1	-0.00784538726625126
NDPK8	0.0010248022902994017
PYNP2r	0.0
NH4t	-0.6468503207496628
PTAr	1.6940109800427732
NNATr	0.0007720575604497728
SO4t2	0.007594649154757327
PIt2r	0.06843843912281262
NNDPR	0.0007720575604497727
NPHS	1.1861344061423761e-05
SUCCt2r	3.3921741532955684e-07
QULNS	0.0007720575604497727
PPA	0.11382444524521762
PPCK	0.5887578099910475
OCBT_1	0.008607099594285999
PPM	-1.1861344061423761e-05
PPM2	-0.000763941903986135
PPND	0.004941810504748974
RNDR4	0.001032962538281509
RPE	-0.015748059770626537
RPI	-0.015748059770626537
SADT	0.007594649154757328
PPNDH	0.007845387266251261
PRAGSr	0.008122345190952292
PRAIS_1	0.008122345190952293
PRATPP	0.003644866173822242
PRASCSi	0.008122345190952293
PRFGS_1	0.008122345190952292
PRMICI	0.003644866173822243
OMPDC	0.005439050533429176
SHK3Dr	0.012815424202544898
SHKK	0.012815424202544898
PRPPS	0.017202516210605926
SHSL2	0.007594649154757329
SHSL4r	0.014388211670178275
PSCVT	0.012815424202544896
PSDC_BS	0.002497125065562897
ORNTA_1	0.007163270799681338
PSERT	0.04100818915036385
ORPT	-0.005439050533429177
PYK	1.0143833862884648
OIVD1r	0.0025909456215976183
SUCBZL	1.1861344061423761e-05
SUCBZS	1.1861344061423763e-05
SUCD1	0.9556446996594887
OIVD2	0.0005757656936883595
SUCD5_BS	0.9556446996594887
SUCOAS	-0.9336614996171394
OIVD3	0.004894008396351055
P5CR	0.007163270799681339
UREAt	0.0
UGLYCH	0.0
TMDPP	1.1861344061423761e-05
UAGDP	0.014580267342631476
TYRTA	-0.004941810504748974
TECA1S45	0.00016159966495714177
SULR_1	-0.0075946491547573295
TALA	-0.0014663177840408181
TECA4S_BS	0.00013876880721485244
THRS	0.008308158050722898
TKT1	-0.0014663177840408181
TKT2	-0.014281741986585716
TMDS	0.0010329625382815091
TPI	0.5534817240182024
TRDR	0.0104274145840433
TRPt2r	0.002422924777900457
UAAGDS	0.004540174692864598
UAG2E	0.0003473679332274101
UAGPT3	0.004540174692864597
UAG4E	0.004163064216445573
UAGCVT	0.004540174692864597
UAMAGS	0.004540174692864597
UAMAS	0.004540174692864597
UAPGR	0.004540174692864597
UDCPDP	0.004540174692864598
UGMDDS	0.004540174692864597
UGT1_BS	0.0003834870636400164
UGT2_BS	0.00029430402558419867
UGT_BS	0.0006956276968353786
ACLS	0.03305689702640262
ACHBS	0.016929482339578802
3NUCLE1	0.0
NTD5	1.186134406142376e-05
URIDK2r_copy2	-0.001032962538281509
VALTA	-0.013677734997506602
UMPK	0.014489657375966756
GLXO1	0.0
FACOAL140_ISO	9.596094894805992e-05
FACOAL150_ISO	0.0019192189789611982
ACOAD3	-0.0012474923363248415
ACOAD4_1	-0.0012474923363248415
ACOAD5_1	-0.0012474923363248415
ACOAD6	-0.0012474923363248417
ACOAD7	-0.0009596094894805991
DADNK	0.0
GLCpts	0.6220597197317019
HACD3	0.0012474923363248417
HACD4	0.0012474923363248417
HACD5	0.0012474923363248417
HACD6	0.0012474923363248417
HACD7	0.0009596094894806617
ICHORS	1.1861344061423761e-05
FACOAL170_ISO	0.0006717266426364195
FACOAL170_anteiso	0.0016313361321170187
FACOAL180_2	0.00028788284684417984
KAS13	0.0002878828468441798
FACOAL150_anteiso	0.0032626722642340373
FACOAL160_ISO	0.0004798047447402995
KAS3	0.0019192189789611984
KAS4	0.0032626722642340377
KAS6	0.0004798047447402996
KAS11	0.0006717266426364194
PUNP1	0.0
PUNP2	0.0
KAS12	0.0016313361321170184
PAPPT3	0.004540174692864597
PDH	1.8002817111476812
PUNP4	-0.0007758032480475586
PFK	0.5805114975582364
PRAMPC_1	0.003644866173822243
PSP_L	0.04100818915036384
PGAMT	-0.014580267342631474
TECA2S45	0.00010465629515850214
RNDR1	0.0010248022902994017
PGMT	-0.011219895060207291
PGCD	0.04100818915036385
RNDR3	0.0007750006007050563
TECA3S45	8.111197311176625e-05
PGK	-1.1188645082774373
PGM	-1.0778563191270734
PHCYT_BS	0.0034246286613434014
