	fluxes
EX_ac_e	3.329636638543688
EX_fe3_e	-0.0005204615987293543
EX_glc__D_e	-1.6792934335798932
EX_glu__L_e	-1.0
EX_ca2_e	-0.00048350128229784954
EX_cit_e	-0.7650024055319715
EX_so4_e	-0.02569360511570688
EX_co2_e	7.70077863724449
EX_glyclt_e	5.53650454299755e-05
EX_trp__L_e	-0.008197043892335712
EX_h2o_e	6.521082912653482
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	4.0128343554117574e-05
FDH	0.0011929884993386872
EX_k_e	-0.10655312252803703
FBA	1.5387308358836338
FBA2	0.0
ACACT2r	0.004220415561174615
ACACT3r	0.004220415561174615
ACACT4r	0.004220415561174615
ACACT5r_1	0.004220415561174615
ACACT6r_1	0.004220415561174615
ACACT7r	0.003246473508595857
ACACT1r	0.004220415561174615
ACCOAC	0.15355819695658407
ACGK	0.029118845869083677
FOLD3	5.536504542997551e-05
ACt2r	-3.3296366385436884
ACKr	-3.265203492620995
ACLDC	0.002584506698385972
ACONT	0.7650024055319715
ACOAD2	0.004220415561174615
ACOAD1	0.004220415561174615
ACOADH2	-1.946466652933355e-16
ACOTA	-0.029118845869083677
ARGKr	0.0
APATi	0.06443314592269409
APSR	0.02569360511570688
APTA1i	0.06443314592269409
ACTD2	0.002584506698385972
ADNK1	0.0
ADCL	5.5365045429975526e-05
ADCS	5.5365045429975526e-05
ADK1	0.22817473977756766
EX_mg2_e	-0.015344414798016678
AMMQT7	4.0128343554117574e-05
ADPDA	0.06443314592269409
ADSL2r	0.02747886382857548
ADSL1r	0.027572999491650096
ADSS	0.027572999491650096
ARGSL	0.02911884586908368
ARGSS	0.02911884586908368
AGPATr_BS	0.016232367542979284
AGPR	-0.02911884586908368
AICART	0.039809881399166414
AKGDH	1.617639964476783
AIRC1	0.027478863828575482
ATPM	9.0
BIOMASS_BS_10	0.1508584344143056
EX_nh4_e	-0.19204955645258404
ALAALAr	0.015359953216761353
AKP1	5.536504542997551e-05
ALAR	0.053169904350887594
ALATA_L	-0.10879427542969593
CO2t	-7.70077863724449
ALCD19y	0.0
EX_o2_e	-5.706010151878193
ASAD	-0.1669112804203319
ASNS1	0.022325087133669843
ASPCT	0.01840095753768494
ASPK	0.16691128042033193
ASPO6	0.002611962933449974
ASPTA	-0.31674915752584487
ATPPRT	0.012331017570590925
DADK	0.0
ATPS4r	19.450258822492813
EX_pi_e	-0.23153541312104114
DDPA	0.04335611061693362
CTPS1	0.008645546017849521
CYOR3m	11.39100738328525
CAT	0.010506460235567455
CYOO3	11.391007383285253
