	fluxes
EX_ac_e	0.0
EX_fe3_e	0.0
EX_glc__D_e	-0.3750000000000002
EX_glu__L_e	-3.0523549019486835e-15
EX_ca2_e	0.0
EX_cit_e	2.7752408653845487e-15
EX_so4_e	0.0
EX_co2_e	2.249999999999998
EX_glyclt_e	0.0
EX_trp__L_e	0.0
EX_h2o_e	2.249999999999998
PHEt2r	0.0
2S6HCCi	0.0
FDH	0.0
EX_k_e	0.0
FBA	0.3750000000000002
FBA2	0.0
ACACT2r	0.0
ACACT3r	0.0
ACACT4r	0.0
ACACT5r_1	0.0
ACACT6r_1	0.0
ACACT7r	0.0
ACACT1r	0.0
ACCOAC	0.0
ACGK	0.0
FOLD3	0.0
ACt2r	0.0
ACKr	0.0
ACLDC	6.814959790876719e-32
ACONT	0.7499999999999973
ACOAD2	0.0
ACOAD1	0.0
ACOADH2	0.0
ACOTA	0.0
APATi	0.0
APSR	0.0
APTA1i	0.0
ACTD2	6.814959790876719e-32
ADNK1	0.0
ADCL	0.0
ADCS	0.0
ADK1	1.0844143012706858e-30
EX_mg2_e	0.0
AMMQT7	0.0
ADPDA	0.0
ADSL2r	0.0
ADSL1r	0.0
ADSS	0.0
ARGSL	0.0
ARGSS	0.0
AGPATr_BS	0.0
AGPR	0.0
AICART	0.0
AKGDH	0.7500000000000002
AIRC1	0.0
ATPM	9.0
BIOMASS_BS_10	0.0
EX_nh4_e	3.0523549019486828e-15
ALAALAr	0.0
AKP1	0.0
ALAR	0.0
ALATA_L	0.0
CO2t	-2.249999999999998
EX_o2_e	-2.250000000000001
ASAD	0.0
ASNS1	0.0
ASPCT	-6.814959790876716e-32
ASPK	0.0
ASPO6	5.762819495897264e-31
ASPTA	-5.081323516809594e-31
ATPPRT	0.0
ATPS4r	7.499999999999998
EX_pi_e	-2.049739652742323e-14
DDPA	0.0
CTPS1	0.0
CS	0.7500000000000001
CYOR3m	4.500000000000002
CAT	2.5406617584047964e-31
CYOO3	4.500000000000002
CYSTGL	0.0
CYSTS	0.0
CBPS	-6.814959790876716e-32
CYTDK1	0.0
CDGPT_BS	0.0
CDPDSP_BS	0.0
CDPMEK	0.0
CHORM	0.0
CHORS	0.0
CYTK1	0.0
CYTOM	0.0
CITt10	0.0
CLPNS2_BS	0.0
CITt2r	-2.7752408653845483e-15
DAPDC	0.0
DAPE	0.0
FRTT	0.0
DGK1	0.0
DGNSK	0.0
DHAD1	0.0
G3POA_BS	0.0
DHDPRy	0.0
DHDPS	0.0
G5SADs	0.0
DHFR	0.0
DHFS	0.0
DHNAOT7	0.0
GGTT	0.0
GCALDD	0.0
GAPD	1.4999999999999971
DHNPA_1	0.0
DHORTS	6.814959790876718e-32
DHORDi	-6.814959790876716e-32
GK1	0.0
FE3t	0.0
DHQTi	0.0
DHQS	0.0
H2Ot	-2.249999999999998
HCO3E	-6.814959790876716e-32
FUM	0.7500000000000004
G1PACT	0.0
GRTT	0.0
G3PCT	0.0
G3PD1ir	0.0
GLNS	-6.814959790876716e-32
GLUPRT	0.0
GALUi	0.0
DMATT	0.0
GAPDi_nadp	0.7499999999999969
GLUR	0.0
GLUt2r	3.0523549019486835e-15
GARFT	0.0
GF6PTA	0.0
DMPPS	0.0
GHMT2r	0.0
GLYCLTt2r	0.0
GLYK	0.0
GMPS2	0.0
IMPC	0.0
DRPA	-6.814959790876719e-32
IPDPS	0.0
DTMPK	0.0
HXPRT	0.0
GTPCI	0.0
DURIK1	6.81495979087672e-32
GUAPRT	0.0
DURIPP	-6.814959790876721e-32
HACD2	0.0
HACD1_1	0.0
HEXTT	0.0
DXPRIi	0.0
HISTD	0.0
DXPS	0.0
HISTP	0.0
ECOAH1_1	0.0
ECOAH2	0.0
Kt1	0.0
HPPK	0.0
ECOAH2c	0.0
HSDy	0.0
HSK	0.0
HSST	0.0
ECOAH3	0.0
HSTPTr	0.0
ECOAH4	0.0
ICDHyr	0.7499999999999973
IG3PS_1	0.0
IGPDH_1	0.0
ILEDHr	0.0
ILETA	0.0
ECOAH5_1	0.0
ECOAH6	0.0
LIPO1S24_BS	0.0
IPMD	0.0
ECOAH7	0.0
IPPS	0.0
LIPO2S24_BS	0.0
LIPO4S24_BS	0.0
IPPMIa	0.0
IPPMIb	0.0
KARA1	0.0
KARA2	0.0
LYSLG_BS	0.0
KAS1	0.0
ENO	0.7500000000000003
MECDPS	0.0
LLEUDr	3.052354901948683e-15
LEUTA	-3.052354901948683e-15
METS	0.0
O2t	2.250000000000001
LIPO3S24_BS	0.0
OMCDC	0.0
PAP_BS	0.0
MTHFC	7.750720504041478e-32
MTHFD	-4.998705185488461e-32
PGPPH_BS	0.0
MTHFR3	0.0
MCSNAH	0.0
NADK	2.972750383129907e-16
NADH4	3.7500000000000013
MDH	0.7500000000000007
ORNTAC_1	0.0
ME2	0.0
NADS1	5.762819495897264e-31
MECDPDH2	0.0
MEPCT	0.0
NDPK7	0.0
NDPK3	0.0
NDPK4	0.0
NDPK5	0.0
NDPK1	0.0
NDPK2	0.0
PPTGS_BS	0.0
PPTT	0.0
PGI	0.3750000000000002
PYNP1	0.0
PHETA1	0.0
NDPK8	0.0
PYNP2r	6.81495979087672e-32
NH4t	-3.052354901948683e-15
NNATr	5.762819495897265e-31
SO4t2	0.0
PIt2r	2.049739652742323e-14
NNDPR	5.7628194958972655e-31
NPHS	0.0
QULNS	5.762819495897265e-31
PPA	1.660696250860412e-30
OCBT_1	0.0
PPM	6.81495979087672e-32
PPM2	-6.814959790876719e-32
PPND	0.0
RNDR4	0.0
RPE	-2.9332183584812813e-31
RPI	-2.9332183584812813e-31
SADT	0.0
PPNDH	0.0
PRAGSr	0.0
PRAIS_1	0.0
PRATPP	0.0
PRASCSi	0.0
PRFGS_1	0.0
PRMICI	0.0
OMPDC	-6.814959790876718e-32
SHK3Dr	0.0
SHKK	0.0
PRPPS	5.0813235168095945e-31
SHSL2	0.0
PSCVT	0.0
PSDC_BS	0.0
PSERT	0.0
ORPT	6.814959790876718e-32
PYK	0.37500000000000006
OIVD1r	0.0
SUCBZL	0.0
SUCBZS	0.0
SUCD1	0.7500000000000004
OIVD2	0.0
SUCD5_BS	0.7500000000000003
SUCOAS	-0.7500000000000003
OIVD3	0.0
P5CR	0.0
OXADC	0.0
TMDPP	0.0
UAGDP	0.0
TYRTA	0.0
TECA1S45	0.0
SULR_1	0.0
TALA	-1.4666091792406407e-31
TECA4S_BS	0.0
THRS	0.0
TKT1	-1.4666091792406407e-31
TKT2	-1.4666091792406407e-31
TMDS	0.0
TPI	0.3750000000000002
TRDR	0.0
TRPt2r	0.0
UAAGDS	0.0
UAG2E	0.0
UAGPT3	0.0
UAG4E	0.0
UAGCVT	0.0
UAMAGS	0.0
UAMAS	0.0
UAPGR	0.0
UDCPDP	0.0
UGMDDS	0.0
UGT1_BS	0.0
UGT2_BS	0.0
UGT_BS	0.0
ACLS	6.814959790876719e-32
ACHBS	0.0
3NUCLE1	0.0
NTD5	0.0
XPPT	0.0
HXAND	0.0
URIDK2r_copy2	0.0
VALDHr	0.0
UMPK	-6.814959790876718e-32
GLXO1	0.0
FACOAL140_ISO	0.0
FACOAL150_ISO	0.0
ACOAD3	0.0
ACOAD4_1	0.0
ACOAD5_1	0.0
ACOAD6	0.0
ACOAD7	0.0
DADNK	0.0
DHAD3	0.0
GLCpts	0.3750000000000002
HACD3	0.0
HACD4	0.0
HACD5	0.0
HACD6	0.0
HACD7	0.0
ICHORS	0.0
FACOAL170_ISO	0.0
FACOAL170_anteiso	0.0
FACOAL180_2	0.0
KAS13	0.0
FACOAL150_anteiso	0.0
FACOAL160_ISO	0.0
KAS3	0.0
KAS4	0.0
KAS6	0.0
KAS11	0.0
KAS12	0.0
PAPPT3	0.0
PDH	0.7500000000000001
PUNP4	0.0
PFK	0.37500000000000017
PRAMPC_1	0.0
PSP_L	0.0
PGAMT	0.0
TECA2S45	0.0
RNDR1	0.0
PGMT	0.0
PGCD	0.0
RNDR3	0.0
