	fluxes
EX_ac_e	9.261814653696835
EX_fe3_e	-0.002619664237508099
EX_glc__D_e	-9.824373857829132
EX_glu__L_e	-1.0
EX_glx_e	0.0
EX_ca2_e	-0.0024336301104966552
EX_cit_e	-0.9988376291349342
EX_so4_e	-0.12932485051461726
EX_co2_e	24.710089874686673
EX_glyclt_e	0.00027867152903339384
EX_trp__L_e	-0.04125857275630149
EX_h2o_e	32.54233766156522
EX_h_e	9.124347631424166
3AMPt6	0.0
2S6HCCi	0.00020197990932897255
FDH	0.006004726026136151
EX_k_e	-0.5363189237457451
FBA	9.017831632385123
FBA2	0.0
ACACT2r	0.02124281933580481
ACACT3r	0.02124281933580481
ACACT4r	0.02124281933580481
ACACT5r_1	0.02124281933580481
ACACT6r_1	0.02124281933580481
ACACT7r	0.01634063025831139
ACACT1r	0.02124281933580481
ACCOAC	0.7729118112181289
ACGK	0.1465652784892901
FOLD3	0.00027867152903339384
ALLTNt2r	0.0
ACt2r	-9.261814653696833
ACKr	-8.937500221093332
ACLDC	0.04804919805370291
ALLTAHr	0.0
ACONT	4.220938532578509
ACOAD2	0.021242819335804814
ACOAD1	0.021242819335804814
ACOADH2	-1.8344599840208728e-15
ACOTA	-0.1465652784892901
APATi	0.32431443260350273
APSR	0.12932485051461726
APTA1i	0.32431443260350273
ACTD2	0.04804919805370291
ADCL	0.00027867152903339384
ADCS	0.0002786715290333939
ADK1	1.131032061652996
EX_mg2_e	-0.07723377630547791
AMMQT7	0.0002019799093289726
ADPDA	0.32431443260350273
ADSL2r	0.13831067851076426
ADSL1r	0.138784496042418
ADSS	0.13878449604241802
ARGSL	0.1465652784892901
ARGSS	0.1465652784892901
AGPATr_BS	0.08170315129155695
AGPR	-0.1465652784892901
AICART	0.20037697854255393
AKGDH	4.479212115631234
AIRC1	0.13831067851076423
ATPM	9.0
BIOMASS_BS_10	0.7593229673936519
EX_nh4_e	-5.0000000000000036
ALAALAr	0.07731198657111946
AKP1	0.00027867152903339384
ALAR	0.26762262053492525
ALATA_L	-0.5475994257493451
CO2t	-24.710089874686673
ALCD19y	0.0
