	fluxes
EX_ac_e	3.2327762191509595
EX_fe3_e	-0.0005160014286508994
EX_for_e	0.001182765013859814
EX_glc__D_e	-2.3173351940527067
EX_alltn_e	0.0
EX_glu__L_e	-0.9961712443262398
EX_ca2_e	-0.000479357848935111
EX_cit_e	-0.9999999999999886
EX_so4_e	-0.025473420093364233
EX_co2_e	6.679931964289919
EX_succ_e	1.619486312704654
EX_glyclt_e	5.489058675791924e-05
EX_trp__L_e	-0.008126798152804428
EX_h2o_e	6.637243565084674
EX_h_e	2.4376868177903583
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	3.97844579771418e-05
EX_k_e	-0.10564000031109394
FBA	2.177977167633047
ACACT2r	0.004184248106648698
ACACT3r	0.004184248106648698
ACACT4r	0.004184248106648698
ACACT5r_1	0.004184248106648698
ACACT6r_1	0.004184248106648698
ACACT7r	0.003218652389729797
ACACT1r	0.004184248106648698
ACCOAC	0.15224225803421332
ACGK	0.028869307756413113
FOLD3	5.489058675791922e-05
ALLTNt2r	0.0
ACt2r	-3.2327762191509595
ACKr	-3.1688952422839787
ACLDC	0.0025623583987383226
ALLTAHr	0.0
ACONT	0.9999999999999886
ACOAD2	0.004184248106648698
ACOAD1	0.004184248106648698
ACOADH2	0.0
ACOTA	-0.028869307756413116
ARGKr	0.0
ARGPt6	0.0
APATi	0.06388097686698137
APSR	0.025473420093364237
APTA1i	0.06388097686698137
ACTD2	0.0025623583987383226
ADNK1	0.0
ADCL	5.489058675791922e-05
ALLTN	0.0
ADCS	5.489058675791922e-05
ADK1	0.2262193637238409
EX_mg2_e	-0.015212918641680458
AMMQT7	3.97844579771418e-05
ADPDA	0.06388097686698135
ADSL2r	0.027243379776439515
ADSL1r	0.027336708730491162
ADSS	0.027336708730491162
ARGSL	0.028869307756413113
ARGSS	0.028869307756413113
AGPATr_BS	0.01609326194864834
AGPR	-0.02886930775641312
AICART	0.039468724929046996
AKGDH	1.8500716467774334
AIRC1	0.02724337977643952
ATPM	9.0
BIOMASS_BS_10	0.1495656314930143
EX_nh4_e	-0.18566287303003884
ALAALAr	0.01522832390172424
AKP1	5.489058675791922e-05
ALAR	0.052714257254081395
ALATA_L	-0.10786194733255414
CO2t	-6.679931964289919
ALCD19y	0.0
EX_o2_e	-5.147891939928669
ASAD	-0.165480910340186
ASNS1	0.02213376910775671
ASPCT	0.018243267901360414
ASPK	0.165480910340186
ASPO6	0.0025895793436697696
ASPTA	-0.31403473033612367
ATPPRT	0.012225345152607498
ATPS4r	17.9051141469466
EX_pi_e	-0.22955123729659832
DDPA	0.04298456422856634
CTPS1	0.00857145677523316
CYOR3m	10.274951032612307
CAT	0.01041642362251509
CAt4	-0.000479357848935111
CYOO3	10.274951032612307
CYSTGL	0.008523745338786887
CYSTS	0.008523745338786887
CBPS	0.04711257565777352
CYTDK1	3.9784457977141817e-05
CDGPT_BS	0.0031109651350546973
CDPDSP_BS	0.008375675363608802
CDPMEK	0.00027849120583999263
CHORM	0.04288988918383127
CHORS	0.04298456422856635
CYTK1	0.08059134661116987
CYTOM	-3.97844579771418e-05
CLPNS2_BS	7.478281574650718e-05
CITt2r	0.9999999999999886
DAPDC	0.048652652965257115
DAPE	0.06388097686698134
FRTT	3.97844579771418e-05
DGK1	0.0026021428567154638
DGNSK	0.0026021428567154638
DHAD1	0.10831468249908352
G3POA_BS	0.01609326194864834
DHAD2	0.05678363895574336
DHDPRy	0.06388097686698137
DHDPS	0.06388097686698135
G5SADs	0.024026522174300815
DHFR	0.003519578440293596
DHFS	5.489058675791922e-05
DHNAOT7	3.978445797714181e-05
GGTT	3.97844579771418e-05
GCALDD	5.4890586757919214e-05
GAPD	4.214549403469027
DHNPA_1	5.4890586757919214e-05
DHORTS	-0.018243267901360414
DHORDi	0.01824326790136041
GK1	0.009454641829199393
FE3t	0.0005160014286508994
DHQTi	0.04298456422856634
GLYt2r	0.0
DHQS	0.04298456422856634
H2Ot	-6.637243565084673
HCO3E	0.19935483369198684
FORt2	-0.0011827650138598138
FTHFD	0.02837125420354141
FUM	0.31403473033612367
G1PACT	0.048904072791796864
GRTT	3.978445797714181e-05
G3PCT	0.06894227783670495
G3PD1ir	0.08807172210466148
G5SD	0.024026522174300815
GLNS	0.2359865977228613
GLUPRT	0.027243379776439515
GLU5K	0.024026522174300815
GLUDxi	0.004740906313959109
GALUi	0.037632956368114805
DMATT	3.978445797714181e-05
GLUR	-0.01522832390172424
GLUt4	0.0
GLUt2r	0.99617124432624
GART	0.02724337977643952
GF6PTA	0.04890407279179687
DMPPS	3.9784457977141817e-05
GHMT2r	0.08830923232745934
GLYCLTt2r	-5.489058675791923e-05
GLYK	7.478281574650718e-05
GMPS2	0.01213201619855584
IMPC	-0.039468724929047
DRPA	-0.002562358398738322
IPDPS	0.00023870674786285087
DTMPK	0.003424903395558535
HXPRT	0.0
GTPCI	5.489058675791922e-05
DURIK1	0.0
GUAPRT	-0.0026021428567154638
HACD2	0.004184248106648698
HACD1_1	0.004184248106648698
HEXTT	3.9784457977141796e-05
DXPRIi	0.00027849120583999263
HISTD	0.012225345152607498
DXPS	0.00027849120583999263
HISTP	0.012225345152607498
ECOAH1_1	0.004184248106648699
ECOAH2	0.004184248106648699
Kt1	0.10564000031109394
HPPK	5.489058675791923e-05
ECOAH2c	-8.271806125530277e-25
HSDy	-0.10159993347320465
HSK	0.02786661976288395
HSST	0.07373331371032069
ECOAH3	0.004184248106648699
HSTPTr	0.012225345152607498
ECOAH4	0.004184248106648699
ICDHyr	0.9999999999999886
IG3PS_1	0.0122253451526075
IGPDH_1	0.0122253451526075
IMPD	0.012132016198555839
ILETA	-0.04036851176812203
ECOAH5_1	0.004184248106648699
ECOAH6	0.004184248106648698
LIPO1S24_BS	1.0469594204511004e-06
IPMD	0.060506626654867474
ECOAH7	0.003218652389729797
IPPS	0.06050662665486748
LIPO2S24_BS	8.973937889580861e-07
LIPO4S24_BS	2.2434844723952148e-06
IPPMIa	-0.060506626654867474
IPPMIb	-0.06050662665486747
KARA1	-0.10831468249908355
KARA2	0.05678363895574335
LYSLG_BS	0.0003290443892846315
KAS1	0.0003218652389729668
ENO	4.077002716557173
MECDPS	0.00027849120583999263
LEUTA	-0.05181626520259735
METS	0.01694967475457734
O2t	5.147891939928669
LIPO3S24_BS	2.6921813668742576e-06
OMCDC	0.060506626654867474
MGt5	-0.015212918641680458
PAP_BS	0.004606621449984841
