	fluxes
EX_ac_e	3.3224025057523288
EX_fe3_e	-0.0005179919090660135
EX_glc__D_e	-1.6733892100424481
EX_alltn_e	0.0
EX_glu__L_e	-1.0
EX_ca2_e	-0.0004812069763932098
EX_cit_e	-0.761064072027691
EX_so4_e	-0.02557168405347455
EX_co2_e	7.6813682298619455
EX_glyclt_e	5.5102327717963e-05
EX_trp__L_e	-0.008158147353916206
EX_h2o_e	6.498396506894318
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	3.993792690190128e-05
FDH	0.0011873275411088463
EX_k_e	-0.10604750761629977
FBA	1.5334936087113895
FBA2	0.0
ACACT2r	0.004200388883487188
ACACT3r	0.004200388883487188
ACACT4r	0.004200388883487188
ACACT5r_1	0.004200388883487188
ACACT6r_1	0.004200388883487188
ACACT7r	0.003231068371913221
ACACT1r	0.004200388883487188
ACCOAC	0.1528295339914954
ACGK	0.028980671385458255
FOLD3	5.510232771796299e-05
ALLTNt2r	0.0
ACt2r	-3.3224025057523288
ACKr	-3.2582751074099567
ACLDC	0.002572242720614187
ALLTAHr	0.0
ACONT	0.7610640720276909
ACOAD2	0.004200388883487189
ACOAD1	0.004200388883487189
ACOADH2	1.1477374131753905e-16
ACOTA	-0.02898067138545826
APATi	0.0641273983423725
APSR	0.025571684053474545
APTA1i	0.06412739834237248
ACTD2	0.002572242720614187
ADNK1	0.0
ADCL	5.5102327717963e-05
ALLTN	0.0
ADCS	5.5102327717963e-05
ADK1	0.2270920070694681
EX_mg2_e	-0.015271602619924775
AMMQT7	3.9937926901901296e-05
ADPDA	0.0641273983423725
ADSL2r	0.027348471372881985
ADSL1r	0.027442160344260964
ADSS	0.02744216034426096
ARGSL	0.028980671385458262
ARGSS	0.028980671385458262
AGPATr_BS	0.016155341859566106
AGPR	-0.02898067138545826
AICART	0.039620975910605725
AKGDH	1.614400893892817
AIRC1	0.027348471372881985
ATPM	9.0
BIOMASS_BS_10	0.15014258233797495
EX_nh4_e	-0.18639305369633372
ALAALAr	0.015287067305905594
AKP1	5.5102327717962985e-05
ALAR	0.05291760300243693
ALATA_L	-0.1082780258195127
CO2t	-7.681368229861946
ALCD19y	0.0
EX_o2_e	-5.694155082900825
ASAD	-0.1661192545245589
ASNS1	0.022219150332449897
ASPCT	0.018313641480674506
ASPK	0.1661192545245589
ASPO6	0.0025995686705998647
ASPTA	-0.31524612229305743
ATPPRT	0.012272504537723734
ATPS4r	19.38353909135485
EX_pi_e	-0.23043673337624682
DDPA	0.043150377593604586
CTPS1	0.008604521251206998
CYOR3m	11.367396955650374
CAT	0.010456605075637181
CYOO3	11.367396955650376
CYSTGL	0.008556625767441194
CYSTS	0.008556625767441192
CBPS	0.047294312866132754
CYTDK1	3.9937926901901296e-05
CDGPT_BS	0.003122965712629879
CDPDSP_BS	0.008407984610926596
CDPMEK	0.000279565488313309
CHORM	0.04305533733898471
CHORS	0.043150377593604586
CYTK1	0.08090222849666506
CYTOM	-3.993792690190129e-05
CITt10	0.6545353574349979
CLPNS2_BS	7.50712911689875e-05
CITt14	0.0004812069763932098
DAPDC	0.048840331036466886
DAPE	0.0641273983423725
FRTT	3.9937926901901296e-05
DGK1	0.002612180647516088
DGNSK	0.002612180647516088
DHAD1	0.10873250741625003
G3POA_BS	0.016155341859566106
DHAD2	0.05700268238268856
DHDPRy	0.06412739834237248
DHDPS	0.06412739834237248
G5SADs	0.024119204711936962
DHFR	0.0035331552475771524
DHFS	5.510232771796299e-05
DHNAOT7	3.993792690190128e-05
GGTT	3.9937926901901296e-05
GCALDD	5.5102327717962985e-05
GAPD	2.9250368147573766
DHNPA_1	5.5102327717962985e-05
DHORTS	-0.018313641480674506
DHORDi	0.018313641480674502
GK1	0.009491113199912672
FE3t	0.0005179919090660135
DHQTi	0.043150377593604586
GLYt2r	0.0
DHQS	0.043150377593604586
H2Ot	-6.498396506894318
HCO3E	0.20012384685762818
FTHFD	0.0011322252133908835
FUM	1.6981721969954187
G1PACT	0.04909272071737704
GRTT	3.9937926901901296e-05
G3PCT	0.06920822332868956
G3PD1ir	0.08841145960971653
G5SD	0.024119204711936962
GLNS	0.2368969182664669
GLUPRT	0.02734847137288199
GLU5K	0.024119204711936962
GLUDxi	0.004745210036153387
GALUi	0.03777812585496958
DMATT	3.9937926901901296e-05
GLUR	-0.015287067305905594
GLUt4	0.0
GLUt2r	1.0000000000000002
GARFT	0.02734847137288199
GF6PTA	0.04909272071737704
DMPPS	3.9937926901901296e-05
GHMT2r	0.08864988603048914
GLYCLTt2r	-5.510232771796299e-05
GLYK	7.50712911689875e-05
GMPS2	0.012178815566344764
IMPC	-0.039620975910605725
DRPA	-0.002572242720614187
IPDPS	0.00023962756141140777
DTMPK	0.003438114992957288
HXPRT	0.0
GTPCI	5.510232771796299e-05
DURIK1	0.0
GUAPRT	-0.0026121806475160885
HACD2	0.004200388883487189
HACD1_1	0.004200388883487189
HEXTT	3.993792690190128e-05
DXPRIi	0.00027956548831330907
HISTD	0.012272504537723737
DXPS	0.00027956548831330907
HISTP	0.012272504537723737
ECOAH1_1	0.004200388883487189
ECOAH2	0.004200388883487189
HPPK	5.5102327717962985e-05
ECOAH2c	2.295474826350781e-16
HSDy	-0.10199185618218638
HSK	0.02797411551346448
HSST	0.07401774066872192
ECOAH3	0.004200388883487189
HSTPTr	0.012272504537723737
ECOAH4	0.004200388883487189
ICDHyr	0.7610640720276909
IG3PS_1	0.012272504537723735
IGPDH_1	0.012272504537723737
IMPD	0.012178815566344764
ILETA	-0.040524233685931124
ECOAH5_1	0.004200388883487189
ECOAH6	0.004200388883487189
LIPO1S24_BS	1.0509980763658246e-06
IPMD	0.06074003154224545
ECOAH7	0.0032310683719132213
IPPS	0.06074003154224545
LIPO2S24_BS	9.008554940278496e-07
LIPO4S24_BS	2.252138735069624e-06
IPPMIa	-0.06074003154224545
IPPMIb	-0.06074003154224545
KARA1	-0.10873250741625003
KARA2	0.05700268238268856
LYSLG_BS	0.0003303136811435449
KAS1	0.00032310683719132205
ENO	2.7869595401934792
MECDPS	0.000279565488313309
LEUTA	-0.05201614693807973
METS	0.01701505828603335
O2t	5.694155082900825
LIPO3S24_BS	2.7025664820835487e-06
OMCDC	0.06074003154224545
MGt5	0.6392637548150732
PAP_BS	0.0046243915360096284
MTHFC	0.06815677482459662
MTHFD	0.06815677482459662
PGPPH_BS	0.0031229657126298784
MTHFR3	0.017015058286033346
MCSNAH	-3.993792690190129e-05
NADK	0.0001726639696884283
NADH4	9.752996061757559
MDH	0.31524612229305743
ORNTAC_1	0.028980671385458262
ME2	1.382926074702361
NADS1	0.0025995686705998647
MECDPDH2	0.000279565488313309
MEPCT	0.000279565488313309
NDPK7	0.0026094780810340043
NDPK3	0.07825506462746425
NDPK4	0.003438114992957289
NDPK5	0.0026121806475160885
NDPK1	0.0369062478793528
NDPK2	0.10170643513316191
PPTGS_BS	0.015287067305905596
PPTT	3.9937926901901296e-05
PGI	1.6356110841874785
PYNP1	3.9937926901901296e-05
PHETA1	-0.02641593579396098
NDPK8	0.00345057682729134
NH4t	0.18639305369633372
PTAr	3.2582751074099563
NNATr	0.0025995686705998647
SO4t2	0.02557168405347455
PIt2r	0.23043673337624682
NNDPR	0.002599568670599865
NPHS	3.993792690190129e-05
QULNS	0.0025995686705998647
PPA	0.3832544061036821
OCBT_1	0.028980671385458262
PPM	-3.9937926901901296e-05
PPM2	-0.002572242720614187
PPND	0.016639401545023736
RNDR4	0.003478052919859189
RPE	-0.05302475475871215
RPI	-0.05302475475871215
SADT	0.025571684053474545
PPNDH	0.02641593579396097
PRAGSr	0.02734847137288199
PRAIS_1	0.027348471372881985
PRATPP	0.012272504537723732
PRASCSi	0.02734847137288198
PRFGS_1	0.027348471372881985
PRMICI	0.012272504537723734
OMPDC	0.01831364148067451
SHK3Dr	0.043150377593604586
SHKK	0.04315037759360458
PRO1x	1.1401326372260658
PRPPS	0.05792200541436401
SHSL2	0.02557168405347454
SHSL4r	0.048446056615247375
PSCVT	0.04315037759360458
PSDC_BS	0.008407984610926596
PSERT	0.1380772745638975
ORPT	-0.018313641480674506
PYK	1.0119825076579159
OIVD1r	0.0087238846041657
SUCBZL	3.993792690190129e-05
SUCBZS	3.993792690190128e-05
SUCD1	1.6144008938928174
OIVD2	0.0019386410231481623
SUCD5_BS	1.6144008938928174
SUCOAS	-1.5403831532240955
OIVD3	0.01647844869675743
P5CR	1.1642518419380028
UGLYCH	0.0
TMDPP	3.993792690190129e-05
UAGDP	0.04909272071737704
TYRTA	-0.01663940154502374
TECA1S45	0.0005441167183928211
SULR_1	-0.025571684053474545
TALA	-0.004937188582553783
TECA4S_BS	0.00046724371623577804
THRS	0.027974115513464477
TKT1	-0.004937188582553783
TKT2	-0.048087566176158364
TMDS	0.0034780529198591894
TPI	1.442482580431073
TRDR	0.03510979188165908
TRPt2r	0.008158147353916208
UAAGDS	0.015287067305905596
UAG2E	0.0011696107164128246
UAGPT3	0.015287067305905594
UAG4E	0.014017311487073343
UAGCVT	0.015287067305905594
UAMAGS	0.015287067305905594
UAMAS	0.015287067305905596
UAPGR	0.015287067305905594
UDCPDP	0.015287067305905597
UGMDDS	0.015287067305905594
UGT1_BS	0.0012912262081065846
UGT2_BS	0.0009909410434306347
UGT_BS	0.0023422242844724096
ACLS	0.1113047501368642
ACHBS	0.05700268238268856
3NUCLE1	0.0
NTD5	3.993792690190128e-05
ZN2t4	0.10604750761629975
URIK1	0.0
XPPT	0.0
URIDK2r_copy2	-0.003478052919859189
VALTA	-0.0460538348508564
UMPK	0.04878763099006627
UREA	0.0
GLXO1	0.0
FACOAL140_ISO	0.0003231068371913221
FACOAL150_ISO	0.0064621367438264425
ACOAD3	-0.004200388883487189
ACOAD4_1	-0.004200388883487189
ACOAD5_1	-0.004200388883487189
ACOAD6	-0.004200388883487189
ACOAD7	-0.003231068371913221
DADNK	0.0
CITt15	0.10604750761629975
GLCpts	1.6733892100424481
HACD3	0.004200388883487189
HACD4	0.004200388883487189
HACD5	0.004200388883487189
HACD6	0.004200388883487189
HACD7	0.003231068371913221
ICHORS	3.993792690190128e-05
FACOAL170_ISO	0.0022617478603392553
FACOAL170_anteiso	0.005492816232252476
FACOAL180_2	0.0009693205115739664
KAS13	0.0009693205115739664
FACOAL150_anteiso	0.010985632464504952
FACOAL160_ISO	0.0016155341859566106
KAS3	0.006462136743826444
KAS4	0.010985632464504954
KAS6	0.0016155341859566109
KAS11	0.0022617478603392553
PUNP1	0.0
PUNP2	0.0
