	fluxes
EX_ac_e	3.1272500053184595
EX_fe3_e	-0.0003748144668389086
EX_glc__D_e	-1.7095894712617454
EX_glu__L_e	-0.9999999999999948
EX_ca2_e	-0.0003481972075996238
EX_cit_e	0.0
EX_so4_e	-0.018503449488155237
EX_co2_e	5.1820790605882845
EX_glyclt_e	3.9871567921713236e-05
EX_trp__L_e	-0.005903164889901141
EX_h2o_e	4.874672422526165
EX_h_e	1.8224691327199318
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	2.8898738602652082e-05
FDH	0.0008591399431289901
EX_k_e	-0.07673505962374587
FBA	1.6083622236768438
FBA2	0.0
ACACT2r	0.0030393650795029884
ACACT3r	0.0030393650795029884
ACACT4r	0.0030393650795029884
ACACT5r_1	0.0030393650795029884
ACACT6r_1	0.0030393650795029884
ACACT7r	0.0023379731380792214
ACACT1r	0.0030393650795029884
ACCOAC	0.11058612943114718
ACGK	0.020970163247453037
FOLD3	3.9871567921713236e-05
ACt2r	-3.1272500053184595
ACKr	-3.0808479743238033
ACLDC	0.0018612525930099086
ALLTAHr	0.0
ACOAD2	0.003039365079502988
ACOAD1	0.003039365079502988
ACOADH2	4.534400546577957e-16
ACOTA	-0.020970163247453037
APATi	0.046402030994656895
APSR	0.018503449488155237
APTA1i	0.046402030994656895
ACTD2	0.0018612525930099084
ADNK1	0.0
ADCL	3.987156792171324e-05
ADCS	3.987156792171324e-05
ADK1	0.16432181287651867
EX_mg2_e	-0.011050399617406597
AMMQT7	2.8898738602652086e-05
ADPDA	0.046402030994656895
ADSL2r	0.019789117430340383
ADSL1r	0.01985690995999473
ADSS	0.01985690995999473
ARGSL	0.020970163247453037
ARGSS	0.020970163247453034
AGPATr_BS	0.011689865690396107
AGPR	-0.020970163247453034
AICART	0.02866939560568692
AKGDH	0.8938757923523473
AIRC1	0.01978911743034038
ATPM	9.0
BIOMASS_BS_10	0.10864187444606045
EX_nh4_e	0.1415362439071472
ALAALAr	0.011061589730474539
AKP1	3.987156792171324e-05
ALAR	0.038290720006639564
ALATA_L	-0.07834904331051654
CO2t	-5.182079060588285
ALCD19y	0.0
EX_o2_e	-4.431993559433078
ASAD	-0.12020245630586576
ASNS1	0.016077585073649148
