	fluxes
EX_ac_e	10.122862462455291
EX_fe3_e	-0.002575214486569166
EX_glc__D_e	-9.99893815339591
EX_glu__L_e	-1.0
EX_ca2_e	-0.0023923369360736753
EX_cit_e	-0.8922183702434057
EX_so4_e	-0.1271305015926128
EX_co2_e	23.848796988488175
EX_glyclt_e	0.00027394310625236657
EX_trp__L_e	-0.04055850850499196
EX_h2o_e	31.693556373472134
EX_h_e	10.222806246969299
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	0.00019855276910864887
FDH	0.0059028394666275725
EX_k_e	-0.5272188099819249
FBA	9.064373408806455
ACACT2r	0.020882376949640298
ACACT3r	0.020882376949640298
ACACT4r	0.020882376949640298
ACACT5r_1	0.020882376949640295
ACACT6r_1	0.02088237694964029
ACACT7r	0.01606336688433868
ACACT1r	0.020882376949640298
ACCOAC	0.7597972536292198
ACGK	0.14407839867016442
FOLD3	0.0002739431062523665
ALLTNt2r	0.0
ACt2r	-10.12286246245529
ACKr	-9.804050909018029
ACLDC	0.012787992633016092
ALLTAHr	0.0
ACONT	3.5440056672974807
ACOAD2	0.020882376949640298
ACOAD1	0.020882376949640298
ACOADH2	1.3798912743643136e-15
ACOTA	-0.14407839867016442
APATi	0.3188115534372628
APSR	0.1271305015926128
APTA1i	0.3188115534372628
ACTD2	0.01278799263301609
ADNK1	0.0
ADCL	0.0002739431062523665
ADCS	0.0002739431062523665
ADK1	1.1289956776423615
EX_mg2_e	-0.07592329457591193
AMMQT7	0.0001985527691086494
ADPDA	0.3188115534372628
ADSL2r	0.1359638605010145
ADSL1r	0.13642963842554187
ADSS	0.13642963842554187
ARGSL	0.1440783986701644
ARGSS	0.1440783986701644
AGPATr_BS	0.0803168344216934
AGPR	-0.14407839867016442
AICART	0.1969770364191818
AKGDH	3.81486466264316
AIRC1	0.1359638605010145
ATPM	9.0
BIOMASS_BS_10	0.7464389816142512
EX_nh4_e	-4.8981936303838385
ALAALAr	0.0760001777910182
AKP1	0.0002739431062523665
ALAR	0.26308167263096116
ALATA_L	-0.5383079074927861
CO2t	-23.848796988488175
ALCD19y	0.0
EX_o2_e	-20.29222250715115
ASAD	-0.8258675536478236
ASNS1	0.11046326557214817
ASPCT	0.09104689478239827
ASPK	0.8258675536478236
ASPO6	0.012923844527676817
ASPTA	-1.5672568755514196
ATPPRT	0.06101317591816727
ATPS4r	68.1076954040027
EX_pi_e	-1.1456240988357216
DDPA	0.2145235775600085
